# B8 + He3 > C10 + p   [B8_He3__C10_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=18.56 beta=0 gamma=-172.501  Q=14.865
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   9.994498e-36   1.000000e+02
1.037605e-03   9.989483e-36   1.000000e+02
1.056935e-03   9.984939e-36   1.000000e+02
1.076624e-03   9.980849e-36   1.000000e+02
1.096681e-03   9.977197e-36   1.000000e+02
1.117111e-03   9.973967e-36   1.000000e+02
1.137921e-03   9.971145e-36   1.000000e+02
1.159120e-03   9.968713e-36   1.000000e+02
1.180713e-03   9.966656e-36   1.000000e+02
1.202708e-03   9.964960e-36   1.000000e+02
1.225114e-03   9.963607e-36   1.000000e+02
1.247936e-03   9.962583e-36   1.000000e+02
1.271184e-03   9.961872e-36   1.000000e+02
1.294865e-03   9.961459e-36   1.000000e+02
1.318987e-03   9.961328e-36   1.000000e+02
1.343558e-03   9.961464e-36   1.000000e+02
1.368587e-03   9.961852e-36   1.000000e+02
1.394083e-03   9.962476e-36   1.000000e+02
1.420053e-03   9.963320e-36   1.000000e+02
1.446507e-03   9.964371e-36   1.000000e+02
1.473454e-03   9.965611e-36   1.000000e+02
1.500903e-03   9.967026e-36   1.000000e+02
1.528864e-03   9.968601e-36   1.000000e+02
1.557345e-03   9.970320e-36   1.000000e+02
1.586357e-03   9.972168e-36   1.000000e+02
1.615909e-03   9.974130e-36   1.000000e+02
1.646012e-03   9.976189e-36   1.000000e+02
1.676675e-03   9.978332e-36   1.000000e+02
1.707910e-03   9.980543e-36   1.000000e+02
1.739726e-03   9.982806e-36   1.000000e+02
1.772136e-03   9.985105e-36   1.000000e+02
1.805149e-03   9.987426e-36   1.000000e+02
1.838777e-03   9.989753e-36   1.000000e+02
1.873032e-03   9.992071e-36   1.000000e+02
1.907924e-03   9.994364e-36   1.000000e+02
1.943467e-03   9.996617e-36   1.000000e+02
1.979672e-03   9.998814e-36   1.000000e+02
2.016551e-03   1.000094e-35   1.000000e+02
2.054117e-03   1.000298e-35   1.000000e+02
2.092383e-03   1.000492e-35   1.000000e+02
2.131362e-03   1.000673e-35   1.000000e+02
2.171068e-03   1.000842e-35   1.000000e+02
2.211512e-03   1.000996e-35   1.000000e+02
2.252711e-03   1.001133e-35   1.000000e+02
2.294676e-03   1.001253e-35   1.000000e+02
2.337424e-03   1.001352e-35   1.000000e+02
2.380968e-03   1.001431e-35   1.000000e+02
2.425323e-03   1.001487e-35   1.000000e+02
2.470504e-03   1.001519e-35   1.000000e+02
2.516527e-03   1.001525e-35   1.000000e+02
2.563407e-03   1.001504e-35   1.000000e+02
2.611161e-03   1.001455e-35   1.000000e+02
2.659804e-03   1.001374e-35   1.000000e+02
2.709354e-03   1.001262e-35   1.000000e+02
2.759826e-03   1.001117e-35   1.000000e+02
2.811239e-03   1.000936e-35   1.000000e+02
2.863610e-03   1.000719e-35   1.000000e+02
2.916956e-03   1.000464e-35   1.000000e+02
2.971296e-03   1.000170e-35   1.000000e+02
3.026648e-03   9.998343e-36   1.000000e+02
3.083031e-03   9.994656e-36   1.000000e+02
3.140465e-03   9.990793e-36   1.000000e+02
3.198969e-03   9.986918e-36   1.000000e+02
3.258562e-03   9.983195e-36   1.000000e+02
3.319266e-03   9.979787e-36   1.000000e+02
3.381101e-03   9.976857e-36   1.000000e+02
3.444087e-03   9.974569e-36   1.000000e+02
3.508247e-03   9.973084e-36   1.000000e+02
3.573602e-03   9.972566e-36   1.000000e+02
3.640175e-03   9.973178e-36   1.000000e+02
3.707988e-03   9.975085e-36   1.000000e+02
3.777064e-03   9.978448e-36   1.000000e+02
3.847427e-03   9.983435e-36   1.000000e+02
3.919100e-03   9.990211e-36   1.000000e+02
3.992109e-03   9.998943e-36   1.000000e+02
4.066478e-03   1.000967e-35   1.000000e+02
4.142232e-03   1.002170e-35   1.000000e+02
4.219398e-03   1.003411e-35   1.000000e+02
4.298001e-03   1.004594e-35   1.000000e+02
4.378069e-03   1.005625e-35   1.000000e+02
4.459628e-03   1.006410e-35   1.000000e+02
4.542706e-03   1.006852e-35   1.000000e+02
4.627332e-03   1.006856e-35   1.000000e+02
4.713535e-03   1.006329e-35   1.000000e+02
4.801343e-03   1.005177e-35   1.000000e+02
4.890787e-03   1.003307e-35   1.000000e+02
4.981898e-03   1.000629e-35   1.000000e+02
5.074705e-03   9.970783e-36   1.000000e+02
5.169242e-03   9.927550e-36   1.000000e+02
5.265540e-03   9.878305e-36   1.000000e+02
5.363631e-03   9.824748e-36   1.000000e+02
5.463550e-03   9.768550e-36   1.000000e+02
5.565331e-03   9.711350e-36   1.000000e+02
5.669007e-03   9.654751e-36   1.000000e+02
5.774615e-03   9.600317e-36   1.000000e+02
5.882190e-03   9.549580e-36   1.000000e+02
5.991770e-03   9.504038e-36   1.000000e+02
6.103390e-03   9.464799e-36   1.000000e+02
6.217090e-03   9.431106e-36   1.000000e+02
6.332908e-03   9.401647e-36   1.000000e+02
6.450884e-03   9.375130e-36   1.000000e+02
6.571058e-03   9.350285e-36   1.000000e+02
6.693470e-03   9.325852e-36   1.000000e+02
6.818162e-03   9.300589e-36   1.000000e+02
6.945178e-03   9.273265e-36   1.000000e+02
7.074559e-03   9.242863e-36   1.000000e+02
7.206351e-03   9.211675e-36   1.000000e+02
7.340598e-03   9.184669e-36   1.000000e+02
7.477346e-03   9.166838e-36   1.000000e+02
7.616642e-03   9.163156e-36   1.000000e+02
7.758532e-03   9.178643e-36   1.000000e+02
7.903066e-03   9.218452e-36   1.000000e+02
8.050292e-03   9.287827e-36   1.000000e+02
8.200261e-03   9.382521e-36   1.000000e+02
8.353023e-03   9.483078e-36   1.000000e+02
8.508632e-03   9.567971e-36   1.000000e+02
8.667139e-03   9.614962e-36   1.000000e+02
8.828599e-03   9.601714e-36   1.000000e+02
8.993067e-03   9.506921e-36   1.000000e+02
9.160598e-03   9.328940e-36   1.000000e+02
9.331251e-03   9.144122e-36   1.000000e+02
9.505083e-03   9.044952e-36   1.000000e+02
9.682153e-03   9.121418e-36   1.000000e+02
9.862522e-03   9.474311e-36   1.000000e+02
1.004625e-02   1.023942e-35   1.000000e+02
1.023340e-02   1.155525e-35   1.000000e+02
1.042404e-02   1.348960e-35   1.000000e+02
1.061823e-02   1.611503e-35   1.000000e+02
1.081604e-02   1.948827e-35   1.000000e+02
1.101753e-02   2.360057e-35   1.000000e+02
1.122277e-02   2.839872e-35   1.000000e+02
1.143184e-02   3.401037e-35   1.000000e+02
1.164481e-02   4.067785e-35   1.000000e+02
1.186174e-02   4.875696e-35   1.000000e+02
1.208271e-02   5.876632e-35   1.000000e+02
1.230780e-02   7.134556e-35   1.000000e+02
1.253708e-02   8.718443e-35   1.000000e+02
1.277063e-02   1.071404e-34   1.000000e+02
1.300854e-02   1.322876e-34   1.000000e+02
1.325087e-02   1.640033e-34   1.000000e+02
1.349772e-02   2.041999e-34   1.000000e+02
1.374917e-02   2.554560e-34   1.000000e+02
1.400531e-02   3.212349e-34   1.000000e+02
1.426621e-02   4.061957e-34   1.000000e+02
1.453198e-02   5.165443e-34   1.000000e+02
1.480269e-02   6.606446e-34   1.000000e+02
1.507845e-02   8.498553e-34   1.000000e+02
1.535935e-02   1.099713e-33   1.000000e+02
1.564548e-02   1.431632e-33   1.000000e+02
1.593694e-02   1.875276e-33   1.000000e+02
1.623382e-02   2.471992e-33   1.000000e+02
1.653624e-02   3.279976e-33   1.000000e+02
