# B8 + t > C10 + n   [B8_t__C10_n]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=18.537 beta=0 gamma=-163.638  Q=14.1013
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.028363e-35   1.000000e+02
1.037605e-03   1.055313e-35   1.000000e+02
1.056935e-03   1.080826e-35   1.000000e+02
1.076624e-03   1.104894e-35   1.000000e+02
1.096681e-03   1.127528e-35   1.000000e+02
1.117111e-03   1.148752e-35   1.000000e+02
1.137921e-03   1.168608e-35   1.000000e+02
1.159120e-03   1.187151e-35   1.000000e+02
1.180713e-03   1.204450e-35   1.000000e+02
1.202708e-03   1.220585e-35   1.000000e+02
1.225114e-03   1.235649e-35   1.000000e+02
1.247936e-03   1.249743e-35   1.000000e+02
1.271184e-03   1.262978e-35   1.000000e+02
1.294865e-03   1.275474e-35   1.000000e+02
1.318987e-03   1.287358e-35   1.000000e+02
1.343558e-03   1.298761e-35   1.000000e+02
1.368587e-03   1.309825e-35   1.000000e+02
1.394083e-03   1.320692e-35   1.000000e+02
1.420053e-03   1.331515e-35   1.000000e+02
1.446507e-03   1.342446e-35   1.000000e+02
1.473454e-03   1.353647e-35   1.000000e+02
1.500903e-03   1.365284e-35   1.000000e+02
1.528864e-03   1.377527e-35   1.000000e+02
1.557345e-03   1.390555e-35   1.000000e+02
1.586357e-03   1.404552e-35   1.000000e+02
1.615909e-03   1.419712e-35   1.000000e+02
1.646012e-03   1.436238e-35   1.000000e+02
1.676675e-03   1.454345e-35   1.000000e+02
1.707910e-03   1.474261e-35   1.000000e+02
1.739726e-03   1.496229e-35   1.000000e+02
1.772136e-03   1.520511e-35   1.000000e+02
1.805149e-03   1.547391e-35   1.000000e+02
1.838777e-03   1.577177e-35   1.000000e+02
1.873032e-03   1.610206e-35   1.000000e+02
1.907924e-03   1.646852e-35   1.000000e+02
1.943467e-03   1.687526e-35   1.000000e+02
1.979672e-03   1.732688e-35   1.000000e+02
2.016551e-03   1.782852e-35   1.000000e+02
2.054117e-03   1.838595e-35   1.000000e+02
2.092383e-03   1.900569e-35   1.000000e+02
2.131362e-03   1.969515e-35   1.000000e+02
2.171068e-03   2.046275e-35   1.000000e+02
2.211512e-03   2.131810e-35   1.000000e+02
2.252711e-03   2.227225e-35   1.000000e+02
2.294676e-03   2.333790e-35   1.000000e+02
2.337424e-03   2.452971e-35   1.000000e+02
2.380968e-03   2.586467e-35   1.000000e+02
2.425323e-03   2.736256e-35   1.000000e+02
2.470504e-03   2.904641e-35   1.000000e+02
2.516527e-03   3.094321e-35   1.000000e+02
2.563407e-03   3.308462e-35   1.000000e+02
2.611161e-03   3.550800e-35   1.000000e+02
2.659804e-03   3.825748e-35   1.000000e+02
2.709354e-03   4.138543e-35   1.000000e+02
2.759826e-03   4.495426e-35   1.000000e+02
2.811239e-03   4.903852e-35   1.000000e+02
2.863610e-03   5.372767e-35   1.000000e+02
2.916956e-03   5.912944e-35   1.000000e+02
2.971296e-03   6.537410e-35   1.000000e+02
3.026648e-03   7.261950e-35   1.000000e+02
3.083031e-03   8.105045e-35   1.000000e+02
3.140465e-03   9.088212e-35   1.000000e+02
3.198969e-03   1.023733e-34   1.000000e+02
3.258562e-03   1.158362e-34   1.000000e+02
3.319266e-03   1.316484e-34   1.000000e+02
3.381101e-03   1.502674e-34   1.000000e+02
3.444087e-03   1.722487e-34   1.000000e+02
3.508247e-03   1.982686e-34   1.000000e+02
3.573602e-03   2.291513e-34   1.000000e+02
3.640175e-03   2.659046e-34   1.000000e+02
3.707988e-03   3.097622e-34   1.000000e+02
3.777064e-03   3.622385e-34   1.000000e+02
3.847427e-03   4.251953e-34   1.000000e+02
3.919100e-03   5.009269e-34   1.000000e+02
3.992109e-03   5.922655e-34   1.000000e+02
4.066478e-03   7.029094e-34   1.000000e+02
4.142232e-03   8.388271e-34   1.000000e+02
4.219398e-03   1.008819e-33   1.000000e+02
4.298001e-03   1.225462e-33   1.000000e+02
4.378069e-03   1.506990e-33   1.000000e+02
4.459628e-03   1.880278e-33   1.000000e+02
4.542706e-03   2.385686e-33   1.000000e+02
4.627332e-03   3.085047e-33   1.000000e+02
4.713535e-03   4.075167e-33   1.000000e+02
4.801343e-03   5.511148e-33   1.000000e+02
4.890787e-03   7.647681e-33   1.000000e+02
4.981898e-03   1.091406e-32   1.000000e+02
5.074705e-03   1.604781e-32   1.000000e+02
5.169242e-03   2.428584e-32   1.000000e+02
5.265540e-03   3.773718e-32   1.000000e+02
5.363631e-03   6.006667e-32   1.000000e+02
5.463550e-03   9.770438e-32   1.000000e+02
5.565331e-03   1.620242e-31   1.000000e+02
5.669007e-03   2.732747e-31   1.000000e+02
5.774615e-03   4.676723e-31   1.000000e+02
5.882190e-03   8.101684e-31   1.000000e+02
5.991770e-03   1.417324e-30   1.000000e+02
6.103390e-03   2.499381e-30   1.000000e+02
6.217090e-03   4.447134e-30   1.000000e+02
6.332908e-03   7.998392e-30   1.000000e+02
6.450884e-03   1.456769e-29   1.000000e+02
6.571058e-03   2.691753e-29   1.000000e+02
6.693470e-03   5.055067e-29   1.000000e+02
6.818162e-03   9.666214e-29   1.000000e+02
6.945178e-03   1.885448e-28   1.000000e+02
7.074559e-03   3.757863e-28   1.000000e+02
7.206351e-03   7.651106e-28   1.000000e+02
7.340598e-03   1.588371e-27   1.000000e+02
7.477346e-03   3.355757e-27   1.000000e+02
7.616642e-03   7.201231e-27   1.000000e+02
7.758532e-03   1.566632e-26   1.000000e+02
7.903066e-03   3.448560e-26   1.000000e+02
8.050292e-03   7.666937e-26   1.000000e+02
8.200261e-03   1.726587e-25   1.000000e+02
8.353023e-03   3.978854e-25   1.000000e+02
8.508632e-03   9.484531e-25   1.000000e+02
8.667139e-03   2.364000e-24   1.000000e+02
8.828599e-03   6.227853e-24   1.000000e+02
8.993067e-03   1.752967e-23   1.000000e+02
9.160598e-03   5.286812e-23   1.000000e+02
9.331251e-03   1.652786e-22   1.000000e+02
9.505083e-03   5.129018e-22   1.000000e+02
9.682153e-03   1.512999e-21   1.000000e+02
9.862522e-03   4.062768e-21   1.000000e+02
1.004625e-02   9.512057e-21   1.000000e+02
1.023340e-02   1.911546e-20   1.000000e+02
1.042404e-02   3.423337e-20   1.000000e+02
1.061823e-02   5.707176e-20   1.000000e+02
1.081604e-02   9.252340e-20   1.000000e+02
1.101753e-02   1.523666e-19   1.000000e+02
1.122277e-02   2.630259e-19   1.000000e+02
1.143184e-02   4.730272e-19   1.000000e+02
1.164481e-02   8.743947e-19   1.000000e+02
1.186174e-02   1.639148e-18   1.000000e+02
1.208271e-02   3.074950e-18   1.000000e+02
1.230780e-02   5.735639e-18   1.000000e+02
1.253708e-02   1.067212e-17   1.000000e+02
1.277063e-02   1.988648e-17   1.000000e+02
1.300854e-02   3.725772e-17   1.000000e+02
1.325087e-02   7.039008e-17   1.000000e+02
1.349772e-02   1.340270e-16   1.000000e+02
1.374917e-02   2.568400e-16   1.000000e+02
1.400531e-02   4.946817e-16   1.000000e+02
1.426621e-02   9.565358e-16   1.000000e+02
1.453198e-02   1.856703e-15   1.000000e+02
1.480269e-02   3.618303e-15   1.000000e+02
1.507845e-02   7.080173e-15   1.000000e+02
1.535935e-02   1.391089e-14   1.000000e+02
1.564548e-02   2.743650e-14   1.000000e+02
1.593694e-02   5.430558e-14   1.000000e+02
1.623382e-02   1.078386e-13   1.000000e+02
1.653624e-02   2.147506e-13   1.000000e+02
1.684430e-02   4.286606e-13   1.000000e+02
1.715809e-02   8.572380e-13   1.000000e+02
1.747773e-02   1.716670e-12   1.000000e+02
1.780332e-02   3.440800e-12   1.000000e+02
1.813498e-02   6.899387e-12   1.000000e+02
1.847281e-02   1.383647e-11   1.000000e+02
1.881694e-02   2.775290e-11   1.000000e+02
1.916748e-02   5.567658e-11   1.000000e+02
1.952456e-02   1.117198e-10   1.000000e+02
1.988828e-02   2.242301e-10   1.000000e+02
2.025878e-02   4.501308e-10   1.000000e+02
2.063618e-02   9.029153e-10   1.000000e+02
2.102061e-02   1.807037e-09   1.000000e+02
2.141220e-02   3.602831e-09   1.000000e+02
2.181109e-02   7.145342e-09   1.000000e+02
2.221741e-02   1.407504e-08   1.000000e+02
2.263130e-02   2.749597e-08   1.000000e+02
2.305289e-02   5.318958e-08   1.000000e+02
2.348235e-02   1.017343e-07   1.000000e+02
2.391980e-02   1.921040e-07   1.000000e+02
2.436540e-02   3.575850e-07   1.000000e+02
2.481930e-02   6.551508e-07   1.000000e+02
2.528166e-02   1.179833e-06   1.000000e+02
2.575263e-02   2.089244e-06   1.000000e+02
2.623238e-02   3.644204e-06   1.000000e+02
2.672106e-02   6.272372e-06   1.000000e+02
2.721885e-02   1.067203e-05   1.000000e+02
2.772591e-02   1.798122e-05   1.000000e+02
2.824241e-02   3.005510e-05   1.000000e+02
2.876854e-02   4.992463e-05   1.000000e+02
2.930447e-02   8.256191e-05   1.000000e+02
2.985038e-02   1.361706e-04   1.000000e+02
3.040646e-02   2.242330e-04   1.000000e+02
3.097291e-02   3.667214e-04   1.000000e+02
3.154990e-02   5.904631e-04   1.000000e+02
3.213764e-02   9.277973e-04   1.000000e+02
3.273634e-02   1.410267e-03   1.000000e+02
3.334618e-02   2.055521e-03   1.000000e+02
3.396739e-02   2.847730e-03   1.000000e+02
3.460016e-02   3.717201e-03   1.000000e+02
3.524473e-02   4.531666e-03   1.000000e+02
3.590130e-02   5.114562e-03   1.000000e+02
3.657011e-02   5.297266e-03   1.000000e+02
3.725137e-02   4.990822e-03   1.000000e+02
3.794533e-02   4.239880e-03   1.000000e+02
3.865221e-02   3.219439e-03   1.000000e+02
3.937226e-02   2.165889e-03   1.000000e+02
4.010573e-02   1.279716e-03   1.000000e+02
4.085286e-02   6.642058e-04   1.000000e+02
4.161391e-02   3.101129e-04   1.000000e+02
4.238913e-02   1.338868e-04   1.000000e+02
4.317880e-02   5.494504e-05   1.000000e+02
4.398317e-02   2.203255e-05   1.000000e+02
4.480254e-02   8.873996e-06   1.000000e+02
4.563716e-02   3.690320e-06   1.000000e+02
4.648734e-02   1.628815e-06   1.000000e+02
4.735335e-02   7.843591e-07   1.000000e+02
4.823549e-02   4.236098e-07   1.000000e+02
4.913407e-02   2.637529e-07   1.000000e+02
5.004939e-02   1.946171e-07   1.000000e+02
5.098176e-02   1.731276e-07   1.000000e+02
5.193150e-02   1.823010e-07   1.000000e+02
5.289893e-02   2.214129e-07   1.000000e+02
5.388438e-02   3.022469e-07   1.000000e+02
5.488820e-02   4.518766e-07   1.000000e+02
5.591071e-02   7.209925e-07   1.000000e+02
5.695227e-02   1.196324e-06   1.000000e+02
5.801323e-02   2.011534e-06   1.000000e+02
5.909396e-02   3.339804e-06   1.000000e+02
6.019482e-02   5.335763e-06   1.000000e+02
6.131619e-02   8.066057e-06   1.000000e+02
6.245845e-02   1.159412e-05   1.000000e+02
6.362198e-02   1.597441e-05   1.000000e+02
6.480720e-02   2.126776e-05   1.000000e+02
6.601449e-02   2.758213e-05   1.000000e+02
6.724427e-02   3.512708e-05   1.000000e+02
6.849697e-02   4.428573e-05   1.000000e+02
6.977300e-02   5.571755e-05   1.000000e+02
7.107280e-02   7.045186e-05   1.000000e+02
7.239681e-02   8.954937e-05   1.000000e+02
7.374549e-02   1.141186e-04   1.000000e+02
7.511929e-02   1.454200e-04   1.000000e+02
7.651869e-02   1.848059e-04   1.000000e+02
7.794416e-02   2.336044e-04   1.000000e+02
7.939618e-02   2.929342e-04   1.000000e+02
8.087525e-02   3.634180e-04   1.000000e+02
8.238187e-02   4.444263e-04   1.000000e+02
8.391656e-02   5.333750e-04   1.000000e+02
