# B8 + t > a + a + He3   [B8_t__a_a_He3]   ref=TALYS2
# detailed balance: alpha=3.5922e-10 beta=-1.5 gamma=-209.929  Q=18.0903
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.033434e-35 1.000000e+02
1.037605e-03 1.066255e-35 1.000000e+02
1.056935e-03 1.098462e-35 1.000000e+02
1.076624e-03 1.130068e-35 1.000000e+02
1.096681e-03 1.161101e-35 1.000000e+02
1.117111e-03 1.191604e-35 1.000000e+02
1.137921e-03 1.221631e-35 1.000000e+02
1.159120e-03 1.251251e-35 1.000000e+02
1.180713e-03 1.280548e-35 1.000000e+02
1.202708e-03 1.309615e-35 1.000000e+02
1.225114e-03 1.338563e-35 1.000000e+02
1.247936e-03 1.367512e-35 1.000000e+02
1.271184e-03 1.396596e-35 1.000000e+02
1.294865e-03 1.425962e-35 1.000000e+02
1.318987e-03 1.455770e-35 1.000000e+02
1.343558e-03 1.486195e-35 1.000000e+02
1.368587e-03 1.517423e-35 1.000000e+02
1.394083e-03 1.549658e-35 1.000000e+02
1.420053e-03 1.583119e-35 1.000000e+02
1.446507e-03 1.618042e-35 1.000000e+02
1.473454e-03 1.654683e-35 1.000000e+02
1.500903e-03 1.693319e-35 1.000000e+02
1.528864e-03 1.734250e-35 1.000000e+02
1.557345e-03 1.777805e-35 1.000000e+02
1.586357e-03 1.824342e-35 1.000000e+02
1.615909e-03 1.874251e-35 1.000000e+02
1.646012e-03 1.927965e-35 1.000000e+02
1.676675e-03 1.985961e-35 1.000000e+02
1.707910e-03 2.048766e-35 1.000000e+02
1.739726e-03 2.116969e-35 1.000000e+02
1.772136e-03 2.191226e-35 1.000000e+02
1.805149e-03 2.272273e-35 1.000000e+02
1.838777e-03 2.360939e-35 1.000000e+02
1.873032e-03 2.458160e-35 1.000000e+02
1.907924e-03 2.564996e-35 1.000000e+02
1.943467e-03 2.682654e-35 1.000000e+02
1.979672e-03 2.812512e-35 1.000000e+02
2.016551e-03 2.956146e-35 1.000000e+02
2.054117e-03 3.115368e-35 1.000000e+02
2.092383e-03 3.292266e-35 1.000000e+02
2.131362e-03 3.489256e-35 1.000000e+02
2.171068e-03 3.709140e-35 1.000000e+02
2.211512e-03 3.955180e-35 1.000000e+02
2.252711e-03 4.231187e-35 1.000000e+02
2.294676e-03 4.541624e-35 1.000000e+02
2.337424e-03 4.891740e-35 1.000000e+02
2.380968e-03 5.287726e-35 1.000000e+02
2.425323e-03 5.736911e-35 1.000000e+02
2.470504e-03 6.247999e-35 1.000000e+02
2.516527e-03 6.831369e-35 1.000000e+02
2.563407e-03 7.499436e-35 1.000000e+02
2.611161e-03 8.267110e-35 1.000000e+02
