# B8 + n > Li6 + He3   [B8nTOLi6He3]   ref=TALYS2
# detailed balance: alpha=0.49669 beta=0 gamma=-22.9167  Q=1.9748
# T9                 rate                error
1.000000e-03 8.165400e+07 1.000000e+02
1.018629e-03 8.160729e+07 1.000000e+02
1.037605e-03 8.156113e+07 1.000000e+02
1.056935e-03 8.151553e+07 1.000000e+02
1.076624e-03 8.147050e+07 1.000000e+02
1.096681e-03 8.142604e+07 1.000000e+02
1.117111e-03 8.138215e+07 1.000000e+02
1.137921e-03 8.133884e+07 1.000000e+02
1.159120e-03 8.129612e+07 1.000000e+02
1.180713e-03 8.125400e+07 1.000000e+02
1.202708e-03 8.121247e+07 1.000000e+02
1.225114e-03 8.117155e+07 1.000000e+02
1.247936e-03 8.113123e+07 1.000000e+02
1.271184e-03 8.109154e+07 1.000000e+02
1.294865e-03 8.105246e+07 1.000000e+02
1.318987e-03 8.101401e+07 1.000000e+02
1.343558e-03 8.097620e+07 1.000000e+02
1.368587e-03 8.093902e+07 1.000000e+02
1.394083e-03 8.090249e+07 1.000000e+02
1.420053e-03 8.086661e+07 1.000000e+02
1.446507e-03 8.083139e+07 1.000000e+02
1.473454e-03 8.079682e+07 1.000000e+02
1.500903e-03 8.076293e+07 1.000000e+02
1.528864e-03 8.072971e+07 1.000000e+02
1.557345e-03 8.069716e+07 1.000000e+02
1.586357e-03 8.066530e+07 1.000000e+02
1.615909e-03 8.063414e+07 1.000000e+02
1.646012e-03 8.060366e+07 1.000000e+02
1.676675e-03 8.057389e+07 1.000000e+02
1.707910e-03 8.054483e+07 1.000000e+02
1.739726e-03 8.051648e+07 1.000000e+02
1.772136e-03 8.048885e+07 1.000000e+02
1.805149e-03 8.046195e+07 1.000000e+02
1.838777e-03 8.043577e+07 1.000000e+02
1.873032e-03 8.041034e+07 1.000000e+02
1.907924e-03 8.038564e+07 1.000000e+02
1.943467e-03 8.036170e+07 1.000000e+02
1.979672e-03 8.033851e+07 1.000000e+02
2.016551e-03 8.031608e+07 1.000000e+02
2.054117e-03 8.029442e+07 1.000000e+02
2.092383e-03 8.027352e+07 1.000000e+02
2.131362e-03 8.025341e+07 1.000000e+02
2.171068e-03 8.023408e+07 1.000000e+02
2.211512e-03 8.021554e+07 1.000000e+02
2.252711e-03 8.019780e+07 1.000000e+02
2.294676e-03 8.018085e+07 1.000000e+02
2.337424e-03 8.016472e+07 1.000000e+02
2.380968e-03 8.014940e+07 1.000000e+02
2.425323e-03 8.013490e+07 1.000000e+02
2.470504e-03 8.012123e+07 1.000000e+02
2.516527e-03 8.010839e+07 1.000000e+02
2.563407e-03 8.009638e+07 1.000000e+02
2.611161e-03 8.008523e+07 1.000000e+02
2.659804e-03 8.007492e+07 1.000000e+02
2.709354e-03 8.006547e+07 1.000000e+02
