# Be10 + d > B11 + n   [Be10_d__B11_n]   ref=TALYS2
# detailed balance: alpha=0.91786 beta=0 gamma=-104.478  Q=9.0032
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.075969e-35 1.000000e+02
1.037605e-03 1.161513e-35 1.000000e+02
1.056935e-03 1.258071e-35 1.000000e+02
1.076624e-03 1.367335e-35 1.000000e+02
1.096681e-03 1.491300e-35 1.000000e+02
1.117111e-03 1.632326e-35 1.000000e+02
1.137921e-03 1.793217e-35 1.000000e+02
1.159120e-03 1.977307e-35 1.000000e+02
1.180713e-03 2.188582e-35 1.000000e+02
1.202708e-03 2.431815e-35 1.000000e+02
1.225114e-03 2.712747e-35 1.000000e+02
1.247936e-03 3.038299e-35 1.000000e+02
1.271184e-03 3.416853e-35 1.000000e+02
1.294865e-03 3.858586e-35 1.000000e+02
1.318987e-03 4.375907e-35 1.000000e+02
1.343558e-03 4.983995e-35 1.000000e+02
1.368587e-03 5.701494e-35 1.000000e+02
1.394083e-03 6.551384e-35 1.000000e+02
1.420053e-03 7.562100e-35 1.000000e+02
1.446507e-03 8.768970e-35 1.000000e+02
1.473454e-03 1.021606e-34 1.000000e+02
1.500903e-03 1.195855e-34 1.000000e+02
1.528864e-03 1.406584e-34 1.000000e+02
1.557345e-03 1.662557e-34 1.000000e+02
1.586357e-03 1.974892e-34 1.000000e+02
1.615909e-03 2.357749e-34 1.000000e+02
1.646012e-03 2.829247e-34 1.000000e+02
1.676675e-03 3.412677e-34 1.000000e+02
1.707910e-03 4.138111e-34 1.000000e+02
1.739726e-03 5.044564e-34 1.000000e+02
1.772136e-03 6.182889e-34 1.000000e+02
1.805149e-03 7.619690e-34 1.000000e+02
1.838777e-03 9.442629e-34 1.000000e+02
1.873032e-03 1.176766e-33 1.000000e+02
1.907924e-03 1.474894e-33 1.000000e+02
1.943467e-03 1.859244e-33 1.000000e+02
1.979672e-03 2.357485e-33 1.000000e+02
2.016551e-03 3.006978e-33 1.000000e+02
2.054117e-03 3.858441e-33 1.000000e+02
2.092383e-03 4.981105e-33 1.000000e+02
2.131362e-03 6.469988e-33 1.000000e+02
2.171068e-03 8.456235e-33 1.000000e+02
2.211512e-03 1.112188e-32 1.000000e+02
2.252711e-03 1.472104e-32 1.000000e+02
2.294676e-03 1.961055e-32 1.000000e+02
2.337424e-03 2.629444e-32 1.000000e+02
2.380968e-03 3.548892e-32 1.000000e+02
2.425323e-03 4.821786e-32 1.000000e+02
2.470504e-03 6.595400e-32 1.000000e+02
2.516527e-03 9.082896e-32 1.000000e+02
2.563407e-03 1.259474e-31 1.000000e+02
2.611161e-03 1.758601e-31 1.000000e+02
2.659804e-03 2.472810e-31 1.000000e+02
2.709354e-03 3.501799e-31 1.000000e+02
2.759826e-03 4.994597e-31 1.000000e+02
2.811239e-03 7.175466e-31 1.000000e+02
2.863610e-03 1.038418e-30 1.000000e+02
2.916956e-03 1.513903e-30 1.000000e+02
2.971296e-03 2.223617e-30 1.000000e+02
3.026648e-03 3.290819e-30 1.000000e+02
3.083031e-03 4.911908e-30 1.000000e+02
3.140465e-03 7.408195e-30 1.000000e+02
3.198969e-03 1.131159e-29 1.000000e+02
3.258562e-03 1.751929e-29 1.000000e+02
3.319266e-03 2.757553e-29 1.000000e+02
3.381101e-03 4.419559e-29 1.000000e+02
3.444087e-03 7.226272e-29 1.000000e+02
3.508247e-03 1.207711e-28 1.000000e+02
3.573602e-03 2.067081e-28 1.000000e+02
3.640175e-03 3.630205e-28 1.000000e+02
3.707988e-03 6.554152e-28 1.000000e+02
3.777064e-03 1.218840e-27 1.000000e+02
3.847427e-03 2.339129e-27 1.000000e+02
3.919100e-03 4.641647e-27 1.000000e+02
3.992109e-03 9.541865e-27 1.000000e+02
4.066478e-03 2.033735e-26 1.000000e+02
4.142232e-03 4.470746e-26 1.000000e+02
4.219398e-03 1.006263e-25 1.000000e+02
4.298001e-03 2.302018e-25 1.000000e+02
4.378069e-03 5.313636e-25 1.000000e+02
4.459628e-03 1.228516e-24 1.000000e+02
4.542706e-03 2.824206e-24 1.000000e+02
4.627332e-03 6.408525e-24 1.000000e+02
4.713535e-03 1.424906e-23 1.000000e+02
4.801343e-03 3.081775e-23 1.000000e+02
4.890787e-03 6.436094e-23 1.000000e+02
4.981898e-03 1.288459e-22 1.000000e+02
5.074705e-03 2.457621e-22 1.000000e+02
5.169242e-03 4.480605e-22 1.000000e+02
5.265540e-03 7.864993e-22 1.000000e+02
5.363631e-03 1.338968e-21 1.000000e+02
5.463550e-03 2.227014e-21 1.000000e+02
5.565331e-03 3.645246e-21 1.000000e+02
5.669007e-03 5.914964e-21 1.000000e+02
5.774615e-03 9.584496e-21 1.000000e+02
5.882190e-03 1.562244e-20 1.000000e+02
5.991770e-03 2.580245e-20 1.000000e+02
6.103390e-03 4.344192e-20 1.000000e+02
6.217090e-03 7.451730e-20 1.000000e+02
6.332908e-03 1.298924e-19 1.000000e+02
6.450884e-03 2.294918e-19 1.000000e+02
6.571058e-03 4.099069e-19 1.000000e+02
6.693470e-03 7.382717e-19 1.000000e+02
6.818162e-03 1.337329e-18 1.000000e+02
6.945178e-03 2.430129e-18 1.000000e+02
7.074559e-03 4.418798e-18 1.000000e+02
7.206351e-03 8.031219e-18 1.000000e+02
7.340598e-03 1.459078e-17 1.000000e+02
7.477346e-03 2.649887e-17 1.000000e+02
7.616642e-03 4.811273e-17 1.000000e+02
7.758532e-03 8.733903e-17 1.000000e+02
7.903066e-03 1.585275e-16 1.000000e+02
8.050292e-03 2.877299e-16 1.000000e+02
8.200261e-03 5.225522e-16 1.000000e+02
8.353023e-03 9.510227e-16 1.000000e+02
8.508632e-03 1.737209e-15 1.000000e+02
8.667139e-03 3.190042e-15 1.000000e+02
