# Be10 + p > Li7 + a   [Be10_p__Li7_a]   ref=TALYS2
# detailed balance: alpha=0.10772 beta=0 gamma=-29.7379  Q=2.5626
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.086360e-35 1.000000e+02
1.037605e-03 1.184471e-35 1.000000e+02
1.056935e-03 1.296251e-35 1.000000e+02
1.076624e-03 1.423982e-35 1.000000e+02
1.096681e-03 1.570390e-35 1.000000e+02
1.117111e-03 1.738742e-35 1.000000e+02
1.137921e-03 1.932964e-35 1.000000e+02
1.159120e-03 2.157796e-35 1.000000e+02
1.180713e-03 2.418977e-35 1.000000e+02
1.202708e-03 2.723484e-35 1.000000e+02
1.225114e-03 3.079828e-35 1.000000e+02
1.247936e-03 3.498431e-35 1.000000e+02
1.271184e-03 3.992108e-35 1.000000e+02
1.294865e-03 4.576676e-35 1.000000e+02
1.318987e-03 5.271737e-35 1.000000e+02
1.343558e-03 6.101686e-35 1.000000e+02
1.368587e-03 7.097009e-35 1.000000e+02
1.394083e-03 8.295968e-35 1.000000e+02
1.420053e-03 9.746793e-35 1.000000e+02
1.446507e-03 1.151055e-34 1.000000e+02
1.473454e-03 1.366493e-34 1.000000e+02
1.500903e-03 1.630917e-34 1.000000e+02
1.528864e-03 1.957072e-34 1.000000e+02
1.557345e-03 2.361395e-34 1.000000e+02
1.586357e-03 2.865196e-34 1.000000e+02
1.615909e-03 3.496237e-34 1.000000e+02
1.646012e-03 4.290866e-34 1.000000e+02
1.676675e-03 5.296918e-34 1.000000e+02
1.707910e-03 6.577680e-34 1.000000e+02
1.739726e-03 8.217321e-34 1.000000e+02
1.772136e-03 1.032839e-33 1.000000e+02
1.805149e-03 1.306220e-33 1.000000e+02
1.838777e-03 1.662336e-33 1.000000e+02
1.873032e-03 2.129003e-33 1.000000e+02
1.907924e-03 2.744263e-33 1.000000e+02
1.943467e-03 3.560445e-33 1.000000e+02
1.979672e-03 4.649951e-33 1.000000e+02
2.016551e-03 6.113572e-33 1.000000e+02
2.054117e-03 8.092467e-33 1.000000e+02
2.092383e-03 1.078557e-32 1.000000e+02
