# Be11 + p > B12 + g   [Be11_p__B12_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.1697e+10 beta=1.5 gamma=-163.555  Q=14.0941
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.062928e-35   1.000000e+02
1.037605e-03   1.131538e-35   1.000000e+02
1.056935e-03   1.206526e-35   1.000000e+02
1.076624e-03   1.288685e-35   1.000000e+02
1.096681e-03   1.378923e-35   1.000000e+02
1.117111e-03   1.478280e-35   1.000000e+02
1.137921e-03   1.587953e-35   1.000000e+02
1.159120e-03   1.709319e-35   1.000000e+02
1.180713e-03   1.843968e-35   1.000000e+02
1.202708e-03   1.993743e-35   1.000000e+02
1.225114e-03   2.160782e-35   1.000000e+02
1.247936e-03   2.347573e-35   1.000000e+02
1.271184e-03   2.557021e-35   1.000000e+02
1.294865e-03   2.792523e-35   1.000000e+02
1.318987e-03   3.058067e-35   1.000000e+02
1.343558e-03   3.358347e-35   1.000000e+02
1.368587e-03   3.698903e-35   1.000000e+02
1.394083e-03   4.086293e-35   1.000000e+02
1.420053e-03   4.528308e-35   1.000000e+02
1.446507e-03   5.034224e-35   1.000000e+02
1.473454e-03   5.615129e-35   1.000000e+02
1.500903e-03   6.284319e-35   1.000000e+02
1.528864e-03   7.057782e-35   1.000000e+02
1.557345e-03   7.954821e-35   1.000000e+02
1.586357e-03   8.998812e-35   1.000000e+02
1.615909e-03   1.021817e-34   1.000000e+02
1.646012e-03   1.164754e-34   1.000000e+02
1.676675e-03   1.332937e-34   1.000000e+02
1.707910e-03   1.531579e-34   1.000000e+02
1.739726e-03   1.767113e-34   1.000000e+02
1.772136e-03   2.047503e-34   1.000000e+02
1.805149e-03   2.382652e-34   1.000000e+02
1.838777e-03   2.784923e-34   1.000000e+02
1.873032e-03   3.269810e-34   1.000000e+02
1.907924e-03   3.856819e-34   1.000000e+02
1.943467e-03   4.570605e-34   1.000000e+02
1.979672e-03   5.442476e-34   1.000000e+02
2.016551e-03   6.512354e-34   1.000000e+02
2.054117e-03   7.831388e-34   1.000000e+02
2.092383e-03   9.465405e-34   1.000000e+02
2.131362e-03   1.149952e-33   1.000000e+02
2.171068e-03   1.404433e-33   1.000000e+02
2.211512e-03   1.724422e-33   1.000000e+02
2.252711e-03   2.128862e-33   1.000000e+02
2.294676e-03   2.642735e-33   1.000000e+02
2.337424e-03   3.299151e-33   1.000000e+02
2.380968e-03   4.142227e-33   1.000000e+02
2.425323e-03   5.231052e-33   1.000000e+02
2.470504e-03   6.645202e-33   1.000000e+02
2.516527e-03   8.492425e-33   1.000000e+02
2.563407e-03   1.091944e-32   1.000000e+02
2.611161e-03   1.412714e-32   1.000000e+02
2.659804e-03   1.839221e-32   1.000000e+02
2.709354e-03   2.409794e-32   1.000000e+02
2.759826e-03   3.177846e-32   1.000000e+02
2.811239e-03   4.218258e-32   1.000000e+02
2.863610e-03   5.636650e-32   1.000000e+02
2.916956e-03   7.582935e-32   1.000000e+02
