# Be11 + p > Be9 + t   [Be11_p__Be9_t]   ref=TALYS2
# detailed balance: alpha=0.13062 beta=0 gamma=-13.5527  Q=1.1656
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.081468e-35 1.000000e+02
1.037605e-03 1.173321e-35 1.000000e+02
1.056935e-03 1.277164e-35 1.000000e+02
1.076624e-03 1.394893e-35 1.000000e+02
1.096681e-03 1.528751e-35 1.000000e+02
1.117111e-03 1.681405e-35 1.000000e+02
1.137921e-03 1.856028e-35 1.000000e+02
1.159120e-03 2.056417e-35 1.000000e+02
1.180713e-03 2.287125e-35 1.000000e+02
1.202708e-03 2.553632e-35 1.000000e+02
1.225114e-03 2.862553e-35 1.000000e+02
1.247936e-03 3.221910e-35 1.000000e+02
1.271184e-03 3.641459e-35 1.000000e+02
1.294865e-03 4.133112e-35 1.000000e+02
1.318987e-03 4.711466e-35 1.000000e+02
1.343558e-03 5.394481e-35 1.000000e+02
1.368587e-03 6.204340e-35 1.000000e+02
1.394083e-03 7.168549e-35 1.000000e+02
1.420053e-03 8.321360e-35 1.000000e+02
1.446507e-03 9.705597e-35 1.000000e+02
1.473454e-03 1.137503e-34 1.000000e+02
1.500903e-03 1.339747e-34 1.000000e+02
1.528864e-03 1.585881e-34 1.000000e+02
1.557345e-03 1.886833e-34 1.000000e+02
1.586357e-03 2.256570e-34 1.000000e+02
1.615909e-03 2.713027e-34 1.000000e+02
1.646012e-03 3.279345e-34 1.000000e+02
1.676675e-03 3.985523e-34 1.000000e+02
1.707910e-03 4.870642e-34 1.000000e+02
1.739726e-03 5.985871e-34 1.000000e+02
1.772136e-03 7.398544e-34 1.000000e+02
1.805149e-03 9.197725e-34 1.000000e+02
1.838777e-03 1.150184e-33 1.000000e+02
1.873032e-03 1.446921e-33 1.000000e+02
1.907924e-03 1.831260e-33 1.000000e+02
1.943467e-03 2.331959e-33 1.000000e+02
1.979672e-03 2.988096e-33 1.000000e+02
2.016551e-03 3.853087e-33 1.000000e+02
2.054117e-03 5.000357e-33 1.000000e+02
2.092383e-03 6.531439e-33 1.000000e+02
