# Be11 + t > B13 + n   [Be11_t__B13_n]   ref=TALYS2
# detailed balance: alpha=2.0141 beta=0 gamma=-121.735  Q=10.4903
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.062376e-35 1.000000e+02
1.037605e-03 1.131001e-35 1.000000e+02
1.056935e-03 1.206668e-35 1.000000e+02
1.076624e-03 1.290286e-35 1.000000e+02
1.096681e-03 1.382901e-35 1.000000e+02
1.117111e-03 1.485719e-35 1.000000e+02
1.137921e-03 1.600134e-35 1.000000e+02
1.159120e-03 1.727760e-35 1.000000e+02
1.180713e-03 1.870474e-35 1.000000e+02
1.202708e-03 2.030459e-35 1.000000e+02
1.225114e-03 2.210267e-35 1.000000e+02
1.247936e-03 2.412887e-35 1.000000e+02
1.271184e-03 2.641826e-35 1.000000e+02
1.294865e-03 2.901215e-35 1.000000e+02
1.318987e-03 3.195934e-35 1.000000e+02
1.343558e-03 3.531760e-35 1.000000e+02
1.368587e-03 3.915558e-35 1.000000e+02
1.394083e-03 4.355507e-35 1.000000e+02
1.420053e-03 4.861383e-35 1.000000e+02
1.446507e-03 5.444908e-35 1.000000e+02
1.473454e-03 6.120183e-35 1.000000e+02
1.500903e-03 6.904225e-35 1.000000e+02
1.528864e-03 7.817637e-35 1.000000e+02
1.557345e-03 8.885457e-35 1.000000e+02
1.586357e-03 1.013821e-34 1.000000e+02
1.615909e-03 1.161324e-34 1.000000e+02
1.646012e-03 1.335640e-34 1.000000e+02
1.676675e-03 1.542423e-34 1.000000e+02
1.707910e-03 1.788663e-34 1.000000e+02
1.739726e-03 2.083043e-34 1.000000e+02
1.772136e-03 2.436387e-34 1.000000e+02
1.805149e-03 2.862239e-34 1.000000e+02
1.838777e-03 3.377621e-34 1.000000e+02
1.873032e-03 4.004004e-34 1.000000e+02
1.907924e-03 4.768595e-34 1.000000e+02
1.943467e-03 5.706004e-34 1.000000e+02
1.979672e-03 6.860456e-34 1.000000e+02
2.016551e-03 8.288705e-34 1.000000e+02
2.054117e-03 1.006391e-33 1.000000e+02
2.092383e-03 1.228079e-33 1.000000e+02
2.131362e-03 1.506258e-33 1.000000e+02
2.171068e-03 1.857032e-33 1.000000e+02
2.211512e-03 2.301545e-33 1.000000e+02
2.252711e-03 2.867698e-33 1.000000e+02
2.294676e-03 3.592483e-33 1.000000e+02
2.337424e-03 4.525191e-33 1.000000e+02
2.380968e-03 5.731831e-33 1.000000e+02
2.425323e-03 7.301259e-33 1.000000e+02
2.470504e-03 9.353701e-33 1.000000e+02
2.516527e-03 1.205269e-32 1.000000e+02
2.563407e-03 1.562187e-32 1.000000e+02
2.611161e-03 2.036873e-32 1.000000e+02
2.659804e-03 2.671839e-32 1.000000e+02
2.709354e-03 3.526188e-32 1.000000e+02
2.759826e-03 4.682558e-32 1.000000e+02
2.811239e-03 6.257152e-32 1.000000e+02
2.863610e-03 8.414333e-32 1.000000e+02
2.916956e-03 1.138795e-31 1.000000e+02
2.971296e-03 1.551272e-31 1.000000e+02
3.026648e-03 2.127116e-31 1.000000e+02
3.083031e-03 2.938151e-31 1.000000e+02
3.140465e-03 4.093976e-31 1.000000e+02
3.198969e-03 5.762722e-31 1.000000e+02
3.258562e-03 8.206230e-31 1.000000e+02
3.319266e-03 1.183903e-30 1.000000e+02
3.381101e-03 1.732877e-30 1.000000e+02
3.444087e-03 2.577039e-30 1.000000e+02
3.508247e-03 3.899407e-30 1.000000e+02
3.573602e-03 6.012060e-30 1.000000e+02
3.640175e-03 9.458401e-30 1.000000e+02
3.707988e-03 1.520563e-29 1.000000e+02
3.777064e-03 2.501533e-29 1.000000e+02
3.847427e-03 4.217410e-29 1.000000e+02
3.919100e-03 7.297023e-29 1.000000e+02
3.992109e-03 1.297563e-28 1.000000e+02
4.066478e-03 2.372902e-28 1.000000e+02
4.142232e-03 4.446511e-28 1.000000e+02
4.219398e-03 8.494298e-28 1.000000e+02
4.298001e-03 1.645824e-27 1.000000e+02
4.378069e-03 3.217852e-27 1.000000e+02
4.459628e-03 6.316189e-27 1.000000e+02
4.542706e-03 1.238311e-26 1.000000e+02
4.627332e-03 2.412510e-26 1.000000e+02
4.713535e-03 4.646785e-26 1.000000e+02
4.801343e-03 8.803581e-26 1.000000e+02
4.890787e-03 1.632183e-25 1.000000e+02
4.981898e-03 2.946186e-25 1.000000e+02
5.074705e-03 5.155791e-25 1.000000e+02
5.169242e-03 8.766633e-25 1.000000e+02
5.265540e-03 1.455701e-24 1.000000e+02
5.363631e-03 2.372570e-24 1.000000e+02
5.463550e-03 3.814858e-24 1.000000e+02
5.565331e-03 6.082128e-24 1.000000e+02
5.669007e-03 9.663975e-24 1.000000e+02
5.774615e-03 1.538100e-23 1.000000e+02
5.882190e-03 2.464603e-23 1.000000e+02
5.991770e-03 3.996210e-23 1.000000e+02
6.103390e-03 6.584299e-23 1.000000e+02
6.217090e-03 1.102119e-22 1.000000e+02
6.332908e-03 1.871128e-22 1.000000e+02
6.450884e-03 3.216853e-22 1.000000e+02
6.571058e-03 5.591260e-22 1.000000e+02
6.693470e-03 9.809263e-22 1.000000e+02
6.818162e-03 1.734238e-21 1.000000e+02
6.945178e-03 3.084782e-21 1.000000e+02
7.074559e-03 5.511875e-21 1.000000e+02
7.206351e-03 9.884517e-21 1.000000e+02
7.340598e-03 1.778553e-20 1.000000e+02
7.477346e-03 3.210075e-20 1.000000e+02
7.616642e-03 5.810082e-20 1.000000e+02
7.758532e-03 1.054265e-19 1.000000e+02
7.903066e-03 1.917340e-19 1.000000e+02
8.050292e-03 3.493989e-19 1.000000e+02
8.200261e-03 6.386363e-19 1.000000e+02
8.353023e-03 1.174255e-18 1.000000e+02
8.508632e-03 2.178642e-18 1.000000e+02
8.667139e-03 4.091293e-18 1.000000e+02
8.828599e-03 7.800536e-18 1.000000e+02
8.993067e-03 1.514658e-17 1.000000e+02
9.160598e-03 2.996353e-17 1.000000e+02
9.331251e-03 5.967485e-17 1.000000e+02
9.505083e-03 1.178235e-16 1.000000e+02
9.682153e-03 2.271100e-16 1.000000e+02
9.862522e-03 4.208490e-16 1.000000e+02
1.004625e-02 7.383485e-16 1.000000e+02
1.023340e-02 1.220474e-15 1.000000e+02
1.042404e-02 1.930223e-15 1.000000e+02
1.061823e-02 2.972958e-15 1.000000e+02
1.081604e-02 4.539028e-15 1.000000e+02
1.101753e-02 6.992285e-15 1.000000e+02
1.122277e-02 1.100777e-14 1.000000e+02
1.143184e-02 1.766453e-14 1.000000e+02
1.164481e-02 2.873727e-14 1.000000e+02
1.186174e-02 4.713539e-14 1.000000e+02
1.208271e-02 7.752670e-14 1.000000e+02
1.230780e-02 1.275308e-13 1.000000e+02
1.253708e-02 2.100828e-13 1.000000e+02
1.277063e-02 3.471016e-13 1.000000e+02
1.300854e-02 5.760921e-13 1.000000e+02
1.325087e-02 9.616136e-13 1.000000e+02
1.349772e-02 1.613837e-12 1.000000e+02
1.374917e-02 2.721479e-12 1.000000e+02
1.400531e-02 4.608639e-12 1.000000e+02
1.426621e-02 7.833273e-12 1.000000e+02
1.453198e-02 1.336179e-11 1.000000e+02
1.480269e-02 2.287308e-11 1.000000e+02
1.507845e-02 3.929255e-11 1.000000e+02
1.535935e-02 6.773098e-11 1.000000e+02
1.564548e-02 1.171345e-10 1.000000e+02
1.593694e-02 2.032018e-10 1.000000e+02
1.623382e-02 3.535353e-10 1.000000e+02
1.653624e-02 6.166864e-10 1.000000e+02
1.684430e-02 1.078103e-09 1.000000e+02
1.715809e-02 1.888244e-09 1.000000e+02
1.747773e-02 3.312046e-09 1.000000e+02
1.780332e-02 5.815843e-09 1.000000e+02
1.813498e-02 1.021991e-08 1.000000e+02
1.847281e-02 1.796846e-08 1.000000e+02
1.881694e-02 3.160888e-08 1.000000e+02
1.916748e-02 5.563548e-08 1.000000e+02
1.952456e-02 9.798271e-08 1.000000e+02
1.988828e-02 1.726682e-07 1.000000e+02
2.025878e-02 3.044543e-07 1.000000e+02
2.063618e-02 5.367348e-07 1.000000e+02
2.102061e-02 9.449898e-07 1.000000e+02
2.141220e-02 1.659678e-06 1.000000e+02
2.181109e-02 2.904354e-06 1.000000e+02
2.221741e-02 5.058288e-06 1.000000e+02
2.263130e-02 8.757610e-06 1.000000e+02
