# Be11 + t > B14 + g   [Be11_t__B14_g]   ref=TALYS2
# detailed balance: alpha=2.8807e+10 beta=1.5 gamma=-132.985  Q=11.4598
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.036104e-35 1.000000e+02
1.037605e-03 1.073148e-35 1.000000e+02
1.056935e-03 1.111238e-35 1.000000e+02
1.076624e-03 1.150491e-35 1.000000e+02
1.096681e-03 1.191039e-35 1.000000e+02
1.117111e-03 1.233028e-35 1.000000e+02
1.137921e-03 1.276620e-35 1.000000e+02
1.159120e-03 1.321996e-35 1.000000e+02
1.180713e-03 1.369356e-35 1.000000e+02
1.202708e-03 1.418919e-35 1.000000e+02
1.225114e-03 1.470930e-35 1.000000e+02
1.247936e-03 1.525658e-35 1.000000e+02
1.271184e-03 1.583402e-35 1.000000e+02
1.294865e-03 1.644490e-35 1.000000e+02
1.318987e-03 1.709289e-35 1.000000e+02
1.343558e-03 1.778204e-35 1.000000e+02
1.368587e-03 1.851685e-35 1.000000e+02
1.394083e-03 1.930235e-35 1.000000e+02
1.420053e-03 2.014412e-35 1.000000e+02
1.446507e-03 2.104842e-35 1.000000e+02
1.473454e-03 2.202222e-35 1.000000e+02
1.500903e-03 2.307338e-35 1.000000e+02
1.528864e-03 2.421072e-35 1.000000e+02
1.557345e-03 2.544415e-35 1.000000e+02
1.586357e-03 2.678489e-35 1.000000e+02
1.615909e-03 2.824563e-35 1.000000e+02
1.646012e-03 2.984077e-35 1.000000e+02
1.676675e-03 3.158665e-35 1.000000e+02
1.707910e-03 3.350194e-35 1.000000e+02
1.739726e-03 3.560795e-35 1.000000e+02
1.772136e-03 3.792906e-35 1.000000e+02
1.805149e-03 4.049332e-35 1.000000e+02
1.838777e-03 4.333296e-35 1.000000e+02
1.873032e-03 4.648523e-35 1.000000e+02
1.907924e-03 4.999319e-35 1.000000e+02
1.943467e-03 5.390684e-35 1.000000e+02
1.979672e-03 5.828431e-35 1.000000e+02
2.016551e-03 6.319346e-35 1.000000e+02
2.054117e-03 6.871364e-35 1.000000e+02
2.092383e-03 7.493796e-35 1.000000e+02
2.131362e-03 8.197599e-35 1.000000e+02
2.171068e-03 8.995704e-35 1.000000e+02
