# Be12 + He3 > C15 + g   [Be12He3TOC15g]   ref=TALYS2
# detailed balance: alpha=3.7071e+10 beta=1.5 gamma=-349.703  Q=30.1351
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995020e-36 1.000000e+02
1.037605e-03 9.990480e-36 1.000000e+02
1.056935e-03 9.986366e-36 1.000000e+02
1.076624e-03 9.982662e-36 1.000000e+02
1.096681e-03 9.979356e-36 1.000000e+02
1.117111e-03 9.976432e-36 1.000000e+02
1.137921e-03 9.973876e-36 1.000000e+02
1.159120e-03 9.971675e-36 1.000000e+02
1.180713e-03 9.969813e-36 1.000000e+02
1.202708e-03 9.968276e-36 1.000000e+02
1.225114e-03 9.967051e-36 1.000000e+02
1.247936e-03 9.966124e-36 1.000000e+02
1.271184e-03 9.965481e-36 1.000000e+02
1.294865e-03 9.965106e-36 1.000000e+02
1.318987e-03 9.964988e-36 1.000000e+02
1.343558e-03 9.965111e-36 1.000000e+02
1.368587e-03 9.965462e-36 1.000000e+02
1.394083e-03 9.966027e-36 1.000000e+02
1.420053e-03 9.966792e-36 1.000000e+02
1.446507e-03 9.967743e-36 1.000000e+02
1.473454e-03 9.968866e-36 1.000000e+02
1.500903e-03 9.970147e-36 1.000000e+02
1.528864e-03 9.971573e-36 1.000000e+02
1.557345e-03 9.973130e-36 1.000000e+02
1.586357e-03 9.974803e-36 1.000000e+02
1.615909e-03 9.976579e-36 1.000000e+02
1.646012e-03 9.978444e-36 1.000000e+02
1.676675e-03 9.980384e-36 1.000000e+02
1.707910e-03 9.982386e-36 1.000000e+02
1.739726e-03 9.984434e-36 1.000000e+02
1.772136e-03 9.986516e-36 1.000000e+02
1.805149e-03 9.988617e-36 1.000000e+02
1.838777e-03 9.990724e-36 1.000000e+02
1.873032e-03 9.992822e-36 1.000000e+02
1.907924e-03 9.994898e-36 1.000000e+02
1.943467e-03 9.996937e-36 1.000000e+02
1.979672e-03 9.998926e-36 1.000000e+02
2.016551e-03 1.000085e-35 1.000000e+02
2.054117e-03 1.000270e-35 1.000000e+02
2.092383e-03 1.000445e-35 1.000000e+02
2.131362e-03 1.000610e-35 1.000000e+02
2.171068e-03 1.000762e-35 1.000000e+02
2.211512e-03 1.000901e-35 1.000000e+02
2.252711e-03 1.001026e-35 1.000000e+02
2.294676e-03 1.001134e-35 1.000000e+02
2.337424e-03 1.001224e-35 1.000000e+02
2.380968e-03 1.001295e-35 1.000000e+02
2.425323e-03 1.001346e-35 1.000000e+02
2.470504e-03 1.001375e-35 1.000000e+02
2.516527e-03 1.001381e-35 1.000000e+02
2.563407e-03 1.001362e-35 1.000000e+02
2.611161e-03 1.001317e-35 1.000000e+02
2.659804e-03 1.001244e-35 1.000000e+02
2.709354e-03 1.001142e-35 1.000000e+02
2.759826e-03 1.001011e-35 1.000000e+02
2.811239e-03 1.000847e-35 1.000000e+02
2.863610e-03 1.000651e-35 1.000000e+02
2.916956e-03 1.000420e-35 1.000000e+02
2.971296e-03 1.000153e-35 1.000000e+02
3.026648e-03 9.998500e-36 1.000000e+02
3.083031e-03 9.995162e-36 1.000000e+02
3.140465e-03 9.991665e-36 1.000000e+02
3.198969e-03 9.988157e-36 1.000000e+02
3.258562e-03 9.984787e-36 1.000000e+02
3.319266e-03 9.981702e-36 1.000000e+02
3.381101e-03 9.979049e-36 1.000000e+02
3.444087e-03 9.976977e-36 1.000000e+02
3.508247e-03 9.975632e-36 1.000000e+02
3.573602e-03 9.975164e-36 1.000000e+02
3.640175e-03 9.975718e-36 1.000000e+02
3.707988e-03 9.977444e-36 1.000000e+02
3.777064e-03 9.980490e-36 1.000000e+02
3.847427e-03 9.985004e-36 1.000000e+02
3.919100e-03 9.991139e-36 1.000000e+02
3.992109e-03 9.999043e-36 1.000000e+02
4.066478e-03 1.000875e-35 1.000000e+02
4.142232e-03 1.001964e-35 1.000000e+02
4.219398e-03 1.003087e-35 1.000000e+02
4.298001e-03 1.004158e-35 1.000000e+02
4.378069e-03 1.005091e-35 1.000000e+02
4.459628e-03 1.005800e-35 1.000000e+02
4.542706e-03 1.006200e-35 1.000000e+02
4.627332e-03 1.006204e-35 1.000000e+02
4.713535e-03 1.005728e-35 1.000000e+02
4.801343e-03 1.004685e-35 1.000000e+02
4.890787e-03 1.002993e-35 1.000000e+02
4.981898e-03 1.000569e-35 1.000000e+02
5.074705e-03 9.973549e-36 1.000000e+02
5.169242e-03 9.934396e-36 1.000000e+02
5.265540e-03 9.889780e-36 1.000000e+02
5.363631e-03 9.841233e-36 1.000000e+02
5.463550e-03 9.790268e-36 1.000000e+02
5.565331e-03 9.738368e-36 1.000000e+02
5.669007e-03 9.686987e-36 1.000000e+02
5.774615e-03 9.637548e-36 1.000000e+02
5.882190e-03 9.591447e-36 1.000000e+02
5.991770e-03 9.550053e-36 1.000000e+02
6.103390e-03 9.514379e-36 1.000000e+02
6.217090e-03 9.483742e-36 1.000000e+02
6.332908e-03 9.456950e-36 1.000000e+02
6.450884e-03 9.432829e-36 1.000000e+02
6.571058e-03 9.410221e-36 1.000000e+02
6.693470e-03 9.387978e-36 1.000000e+02
6.818162e-03 9.364966e-36 1.000000e+02
6.945178e-03 9.340059e-36 1.000000e+02
7.074559e-03 9.312328e-36 1.000000e+02
7.206351e-03 9.283863e-36 1.000000e+02
7.340598e-03 9.259202e-36 1.000000e+02
7.477346e-03 9.242912e-36 1.000000e+02
7.616642e-03 9.239544e-36 1.000000e+02
7.758532e-03 9.253685e-36 1.000000e+02
7.903066e-03 9.290036e-36 1.000000e+02
8.050292e-03 9.353353e-36 1.000000e+02
8.200261e-03 9.439709e-36 1.000000e+02
8.353023e-03 9.531312e-36 1.000000e+02
8.508632e-03 9.608554e-36 1.000000e+02
8.667139e-03 9.651239e-36 1.000000e+02
8.828599e-03 9.639092e-36 1.000000e+02
8.993067e-03 9.552689e-36 1.000000e+02
9.160598e-03 9.390325e-36 1.000000e+02
9.331251e-03 9.221418e-36 1.000000e+02
