# Be12 + He3 > Be11 + a   [Be12_He3__Be11_a]   ref=TALYS2
# detailed balance: alpha=0.74559 beta=0 gamma=-202.026  Q=17.4093
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.001754e-35 1.000000e+02
1.037605e-03 1.002968e-35 1.000000e+02
1.056935e-03 1.003658e-35 1.000000e+02
1.076624e-03 1.003842e-35 1.000000e+02
1.096681e-03 1.003539e-35 1.000000e+02
1.117111e-03 1.002770e-35 1.000000e+02
1.137921e-03 1.001554e-35 1.000000e+02
1.159120e-03 9.999116e-36 1.000000e+02
1.180713e-03 9.978646e-36 1.000000e+02
1.202708e-03 9.954343e-36 1.000000e+02
1.225114e-03 9.926426e-36 1.000000e+02
1.247936e-03 9.895116e-36 1.000000e+02
1.271184e-03 9.860632e-36 1.000000e+02
1.294865e-03 9.823198e-36 1.000000e+02
1.318987e-03 9.783035e-36 1.000000e+02
1.343558e-03 9.740364e-36 1.000000e+02
1.368587e-03 9.695405e-36 1.000000e+02
1.394083e-03 9.648377e-36 1.000000e+02
1.420053e-03 9.599494e-36 1.000000e+02
1.446507e-03 9.548971e-36 1.000000e+02
1.473454e-03 9.497018e-36 1.000000e+02
1.500903e-03 9.443842e-36 1.000000e+02
1.528864e-03 9.389647e-36 1.000000e+02
1.557345e-03 9.334631e-36 1.000000e+02
1.586357e-03 9.278991e-36 1.000000e+02
1.615909e-03 9.222919e-36 1.000000e+02
1.646012e-03 9.166601e-36 1.000000e+02
1.676675e-03 9.110221e-36 1.000000e+02
1.707910e-03 9.053957e-36 1.000000e+02
1.739726e-03 8.997985e-36 1.000000e+02
1.772136e-03 8.942473e-36 1.000000e+02
1.805149e-03 8.887588e-36 1.000000e+02
1.838777e-03 8.833492e-36 1.000000e+02
1.873032e-03 8.780341e-36 1.000000e+02
1.907924e-03 8.728292e-36 1.000000e+02
1.943467e-03 8.677492e-36 1.000000e+02
1.979672e-03 8.628090e-36 1.000000e+02
2.016551e-03 8.580229e-36 1.000000e+02
2.054117e-03 8.534050e-36 1.000000e+02
2.092383e-03 8.489691e-36 1.000000e+02
2.131362e-03 8.447288e-36 1.000000e+02
2.171068e-03 8.406975e-36 1.000000e+02
2.211512e-03 8.368884e-36 1.000000e+02
2.252711e-03 8.333146e-36 1.000000e+02
2.294676e-03 8.299891e-36 1.000000e+02
2.337424e-03 8.269249e-36 1.000000e+02
2.380968e-03 8.241349e-36 1.000000e+02
2.425323e-03 8.216323e-36 1.000000e+02
2.470504e-03 8.194301e-36 1.000000e+02
2.516527e-03 8.175416e-36 1.000000e+02
2.563407e-03 8.159802e-36 1.000000e+02
2.611161e-03 8.147597e-36 1.000000e+02
2.659804e-03 8.138942e-36 1.000000e+02
2.709354e-03 8.133981e-36 1.000000e+02
2.759826e-03 8.132863e-36 1.000000e+02
2.811239e-03 8.135742e-36 1.000000e+02
2.863610e-03 8.142778e-36 1.000000e+02
2.916956e-03 8.154138e-36 1.000000e+02
2.971296e-03 8.169997e-36 1.000000e+02
3.026648e-03 8.190520e-36 1.000000e+02
3.083031e-03 8.215450e-36 1.000000e+02
3.140465e-03 8.244074e-36 1.000000e+02
3.198969e-03 8.275653e-36 1.000000e+02
3.258562e-03 8.309438e-36 1.000000e+02
3.319266e-03 8.344672e-36 1.000000e+02
3.381101e-03 8.380585e-36 1.000000e+02
3.444087e-03 8.416393e-36 1.000000e+02
3.508247e-03 8.451300e-36 1.000000e+02
3.573602e-03 8.484496e-36 1.000000e+02
3.640175e-03 8.515159e-36 1.000000e+02
3.707988e-03 8.542459e-36 1.000000e+02
3.777064e-03 8.565558e-36 1.000000e+02
3.847427e-03 8.583614e-36 1.000000e+02
3.919100e-03 8.595789e-36 1.000000e+02
3.992109e-03 8.601248e-36 1.000000e+02
4.066478e-03 8.600009e-36 1.000000e+02
4.142232e-03 8.596729e-36 1.000000e+02
4.219398e-03 8.597657e-36 1.000000e+02
4.298001e-03 8.609046e-36 1.000000e+02
4.378069e-03 8.637213e-36 1.000000e+02
4.459628e-03 8.688635e-36 1.000000e+02
4.542706e-03 8.770096e-36 1.000000e+02
4.627332e-03 8.888892e-36 1.000000e+02
4.713535e-03 9.053095e-36 1.000000e+02
4.801343e-03 9.271889e-36 1.000000e+02
4.890787e-03 9.556012e-36 1.000000e+02
4.981898e-03 9.918319e-36 1.000000e+02
5.074705e-03 1.037325e-35 1.000000e+02
5.169242e-03 1.092899e-35 1.000000e+02
5.265540e-03 1.159136e-35 1.000000e+02
5.363631e-03 1.236737e-35 1.000000e+02
5.463550e-03 1.326504e-35 1.000000e+02
5.565331e-03 1.429316e-35 1.000000e+02
5.669007e-03 1.546094e-35 1.000000e+02
5.774615e-03 1.677765e-35 1.000000e+02
5.882190e-03 1.825214e-35 1.000000e+02
5.991770e-03 1.989223e-35 1.000000e+02
6.103390e-03 2.170709e-35 1.000000e+02
6.217090e-03 2.372120e-35 1.000000e+02
6.332908e-03 2.596892e-35 1.000000e+02
6.450884e-03 2.849167e-35 1.000000e+02
6.571058e-03 3.133962e-35 1.000000e+02
6.693470e-03 3.457371e-35 1.000000e+02
6.818162e-03 3.826836e-35 1.000000e+02
6.945178e-03 4.251478e-35 1.000000e+02
7.074559e-03 4.742497e-35 1.000000e+02
7.206351e-03 5.312905e-35 1.000000e+02
7.340598e-03 5.977897e-35 1.000000e+02
7.477346e-03 6.755971e-35 1.000000e+02
7.616642e-03 7.669761e-35 1.000000e+02
