# Be12 + a > C16 + g   [Be12_a__C16_g]   ref=TALYS2
# detailed balance: alpha=5.143e+10 beta=1.5 gamma=-160.234  Q=13.8079
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995495e-36 1.000000e+02
1.037605e-03 9.991388e-36 1.000000e+02
1.056935e-03 9.987665e-36 1.000000e+02
1.076624e-03 9.984315e-36 1.000000e+02
1.096681e-03 9.981323e-36 1.000000e+02
1.117111e-03 9.978678e-36 1.000000e+02
1.137921e-03 9.976365e-36 1.000000e+02
1.159120e-03 9.974373e-36 1.000000e+02
1.180713e-03 9.972688e-36 1.000000e+02
1.202708e-03 9.971298e-36 1.000000e+02
1.225114e-03 9.970189e-36 1.000000e+02
1.247936e-03 9.969350e-36 1.000000e+02
1.271184e-03 9.968768e-36 1.000000e+02
1.294865e-03 9.968429e-36 1.000000e+02
1.318987e-03 9.968322e-36 1.000000e+02
1.343558e-03 9.968433e-36 1.000000e+02
1.368587e-03 9.968751e-36 1.000000e+02
1.394083e-03 9.969262e-36 1.000000e+02
1.420053e-03 9.969954e-36 1.000000e+02
1.446507e-03 9.970815e-36 1.000000e+02
1.473454e-03 9.971831e-36 1.000000e+02
1.500903e-03 9.972991e-36 1.000000e+02
1.528864e-03 9.974281e-36 1.000000e+02
1.557345e-03 9.975689e-36 1.000000e+02
1.586357e-03 9.977203e-36 1.000000e+02
1.615909e-03 9.978811e-36 1.000000e+02
1.646012e-03 9.980498e-36 1.000000e+02
1.676675e-03 9.982254e-36 1.000000e+02
1.707910e-03 9.984064e-36 1.000000e+02
1.739726e-03 9.985918e-36 1.000000e+02
1.772136e-03 9.987801e-36 1.000000e+02
1.805149e-03 9.989702e-36 1.000000e+02
1.838777e-03 9.991608e-36 1.000000e+02
1.873032e-03 9.993507e-36 1.000000e+02
1.907924e-03 9.995385e-36 1.000000e+02
1.943467e-03 9.997229e-36 1.000000e+02
1.979672e-03 9.999028e-36 1.000000e+02
2.016551e-03 1.000077e-35 1.000000e+02
2.054117e-03 1.000244e-35 1.000000e+02
2.092383e-03 1.000403e-35 1.000000e+02
2.131362e-03 1.000551e-35 1.000000e+02
2.171068e-03 1.000690e-35 1.000000e+02
2.211512e-03 1.000815e-35 1.000000e+02
2.252711e-03 1.000928e-35 1.000000e+02
2.294676e-03 1.001026e-35 1.000000e+02
2.337424e-03 1.001107e-35 1.000000e+02
2.380968e-03 1.001172e-35 1.000000e+02
2.425323e-03 1.001218e-35 1.000000e+02
2.470504e-03 1.001244e-35 1.000000e+02
2.516527e-03 1.001249e-35 1.000000e+02
2.563407e-03 1.001232e-35 1.000000e+02
2.611161e-03 1.001191e-35 1.000000e+02
2.659804e-03 1.001125e-35 1.000000e+02
2.709354e-03 1.001033e-35 1.000000e+02
2.759826e-03 1.000914e-35 1.000000e+02
2.811239e-03 1.000766e-35 1.000000e+02
2.863610e-03 1.000589e-35 1.000000e+02
2.916956e-03 1.000380e-35 1.000000e+02
2.971296e-03 1.000139e-35 1.000000e+02
3.026648e-03 9.998643e-36 1.000000e+02
3.083031e-03 9.995624e-36 1.000000e+02
3.140465e-03 9.992460e-36 1.000000e+02
3.198969e-03 9.989286e-36 1.000000e+02
3.258562e-03 9.986237e-36 1.000000e+02
3.319266e-03 9.983445e-36 1.000000e+02
3.381101e-03 9.981045e-36 1.000000e+02
3.444087e-03 9.979170e-36 1.000000e+02
3.508247e-03 9.977954e-36 1.000000e+02
3.573602e-03 9.977530e-36 1.000000e+02
3.640175e-03 9.978031e-36 1.000000e+02
3.707988e-03 9.979593e-36 1.000000e+02
3.777064e-03 9.982349e-36 1.000000e+02
3.847427e-03 9.986434e-36 1.000000e+02
3.919100e-03 9.991983e-36 1.000000e+02
3.992109e-03 9.999134e-36 1.000000e+02
4.066478e-03 1.000792e-35 1.000000e+02
4.142232e-03 1.001777e-35 1.000000e+02
4.219398e-03 1.002792e-35 1.000000e+02
4.298001e-03 1.003760e-35 1.000000e+02
4.378069e-03 1.004604e-35 1.000000e+02
