# Be7 + n > a + a   [Be7_n__a_a]   ref=Barbagallo et al. 2016
# detailed balance: alpha=4.6982 beta=0 gamma=-220.387  Q=18.9915
# T9                 rate                error
1.000000e-03   4.829400e+05   2.000000e+00
1.018629e-03   4.829795e+05   2.000000e+00
1.037605e-03   4.830195e+05   2.000000e+00
1.056935e-03   4.830599e+05   2.000000e+00
1.076624e-03   4.831007e+05   2.000000e+00
1.096681e-03   4.831420e+05   2.000000e+00
1.117111e-03   4.831839e+05   2.000000e+00
1.137921e-03   4.832263e+05   2.000000e+00
1.159120e-03   4.832693e+05   2.000000e+00
1.180713e-03   4.833129e+05   2.000000e+00
1.202708e-03   4.833572e+05   2.000000e+00
1.225114e-03   4.834021e+05   2.000000e+00
1.247936e-03   4.834478e+05   2.000000e+00
1.271184e-03   4.834942e+05   2.000000e+00
1.294865e-03   4.835413e+05   2.000000e+00
1.318987e-03   4.835893e+05   2.000000e+00
1.343558e-03   4.836380e+05   2.000000e+00
1.368587e-03   4.836877e+05   2.000000e+00
1.394083e-03   4.837382e+05   2.000000e+00
1.420053e-03   4.837897e+05   2.000000e+00
1.446507e-03   4.838421e+05   2.000000e+00
1.473454e-03   4.838955e+05   2.000000e+00
1.500903e-03   4.839499e+05   2.000000e+00
1.528864e-03   4.840053e+05   2.000000e+00
1.557345e-03   4.840619e+05   2.000000e+00
1.586357e-03   4.841195e+05   2.000000e+00
1.615909e-03   4.841783e+05   2.000000e+00
1.646012e-03   4.842382e+05   2.000000e+00
1.676675e-03   4.842994e+05   2.000000e+00
1.707910e-03   4.843617e+05   2.000000e+00
1.739726e-03   4.844254e+05   2.000000e+00
1.772136e-03   4.844903e+05   2.000000e+00
1.805149e-03   4.845566e+05   2.000000e+00
1.838777e-03   4.846242e+05   2.000000e+00
1.873032e-03   4.846932e+05   2.000000e+00
1.907924e-03   4.847636e+05   2.000000e+00
1.943467e-03   4.848354e+05   2.000000e+00
1.979672e-03   4.849088e+05   2.000000e+00
2.016551e-03   4.849836e+05   2.000000e+00
2.054117e-03   4.850600e+05   2.000000e+00
2.092383e-03   4.851380e+05   2.000000e+00
2.131362e-03   4.852175e+05   2.000000e+00
2.171068e-03   4.852987e+05   2.000000e+00
2.211512e-03   4.853816e+05   2.000000e+00
2.252711e-03   4.854661e+05   2.000000e+00
2.294676e-03   4.855524e+05   2.000000e+00
2.337424e-03   4.856405e+05   2.000000e+00
2.380968e-03   4.857303e+05   2.000000e+00
2.425323e-03   4.858220e+05   2.000000e+00
2.470504e-03   4.859155e+05   2.000000e+00
2.516527e-03   4.860109e+05   2.000000e+00
2.563407e-03   4.861083e+05   2.000000e+00
2.611161e-03   4.862076e+05   2.000000e+00
2.659804e-03   4.863088e+05   2.000000e+00
2.709354e-03   4.864121e+05   2.000000e+00
2.759826e-03   4.865174e+05   2.000000e+00
2.811239e-03   4.866248e+05   2.000000e+00
2.863610e-03   4.867344e+05   2.000000e+00
2.916956e-03   4.868460e+05   2.000000e+00
2.971296e-03   4.869598e+05   2.000000e+00
3.026648e-03   4.870759e+05   2.000000e+00
3.083031e-03   4.871942e+05   2.000000e+00
3.140465e-03   4.873147e+05   2.000000e+00
3.198969e-03   4.874377e+05   2.000000e+00
3.258562e-03   4.875630e+05   2.000000e+00
3.319266e-03   4.876907e+05   2.000000e+00
3.381101e-03   4.878210e+05   2.000000e+00
