# Be7 + p > B8 + g   [Be7pTOB8g]   ref=NACRE II
# detailed balance: alpha=1.3063e+10 beta=1.5 gamma=-1.5825  Q=0.1375
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+00
1.018629e-03 1.153451e-36 9.884410e-01
1.037605e-03 1.570758e-37 9.779115e-01
1.056935e-03 2.515220e-38 9.683583e-01
1.076624e-03 4.716776e-39 9.597321e-01
1.096681e-03 1.031722e-39 9.519874e-01
1.117111e-03 2.621650e-40 9.450816e-01
1.137921e-03 7.707732e-41 9.389750e-01
1.159120e-03 2.611346e-41 9.336307e-01
1.180713e-03 1.015393e-41 9.290141e-01
1.202708e-03 4.513165e-42 9.250929e-01
1.225114e-03 2.283768e-42 9.218365e-01
1.247936e-03 1.310364e-42 9.192164e-01
1.271184e-03 8.490769e-43 9.172055e-01
1.294865e-03 6.188184e-43 9.157781e-01
1.318987e-03 5.052266e-43 9.149099e-01
1.343558e-03 4.602162e-43 9.145777e-01
1.368587e-03 4.658394e-43 9.147592e-01
1.394083e-03 5.218610e-43 9.154331e-01
1.420053e-03 6.444122e-43 9.165788e-01
1.446507e-03 8.735923e-43 9.181763e-01
1.473454e-03 1.294899e-42 9.202064e-01
1.500903e-03 2.090213e-42 9.226498e-01
1.528864e-03 3.659476e-42 9.254882e-01
1.557345e-03 6.920968e-42 9.287030e-01
1.586357e-03 1.408251e-41 9.322761e-01
1.615909e-03 3.070467e-41 9.361894e-01
1.646012e-03 7.144732e-41 9.404249e-01
1.676675e-03 1.767137e-40 9.449643e-01
1.707910e-03 4.627041e-40 9.497894e-01
1.739726e-03 1.277412e-39 9.548819e-01
1.772136e-03 3.703387e-39 9.602229e-01
1.805149e-03 1.122932e-38 9.657936e-01
1.838777e-03 3.546826e-38 9.715745e-01
1.873032e-03 1.162263e-37 9.775460e-01
1.907924e-03 3.935434e-37 9.836878e-01
1.943467e-03 1.371357e-36 9.899793e-01
1.979672e-03 4.898059e-36 9.963993e-01
2.016551e-03 1.785907e-35 1.002926e+00
2.054117e-03 6.620654e-35 1.009537e+00
2.092383e-03 2.485398e-34 1.016210e+00
2.131362e-03 9.410009e-34 1.022920e+00
2.171068e-03 3.578729e-33 1.029645e+00
2.211512e-03 1.361627e-32 1.036358e+00
2.252711e-03 5.162072e-32 1.043034e+00
2.294676e-03 1.942103e-31 1.049648e+00
2.337424e-03 7.221850e-31 1.056173e+00
2.380968e-03 2.643618e-30 1.062581e+00
2.425323e-03 9.487874e-30 1.068844e+00
2.470504e-03 3.325100e-29 1.074935e+00
2.516527e-03 1.133319e-28 1.080823e+00
2.563407e-03 3.741596e-28 1.086480e+00
2.611161e-03 1.191695e-27 1.091876e+00
2.659804e-03 3.646885e-27 1.096981e+00
2.709354e-03 1.068007e-26 1.101764e+00
2.759826e-03 2.981034e-26 1.106195e+00
2.811239e-03 7.898533e-26 1.110243e+00
2.863610e-03 1.978602e-25 1.113877e+00
2.916956e-03 4.667117e-25 1.117068e+00
2.971296e-03 1.032436e-24 1.119783e+00
3.026648e-03 2.133658e-24 1.121996e+00
3.083031e-03 4.122113e-24 1.123710e+00
3.140465e-03 7.485266e-24 1.124968e+00
