# Be7 + t > B10 + g   [Be7tTOB10g]   ref=TALYS2
# detailed balance: alpha=3.4656e+10 beta=1.5 gamma=-216.646  Q=18.6691
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.046661e-35 1.000000e+02
1.037605e-03 1.096198e-35 1.000000e+02
1.056935e-03 1.148906e-35 1.000000e+02
1.076624e-03 1.205115e-35 1.000000e+02
1.096681e-03 1.265196e-35 1.000000e+02
1.117111e-03 1.329559e-35 1.000000e+02
1.137921e-03 1.398669e-35 1.000000e+02
1.159120e-03 1.473043e-35 1.000000e+02
1.180713e-03 1.553263e-35 1.000000e+02
1.202708e-03 1.639986e-35 1.000000e+02
1.225114e-03 1.733952e-35 1.000000e+02
1.247936e-03 1.835995e-35 1.000000e+02
1.271184e-03 1.947061e-35 1.000000e+02
1.294865e-03 2.068225e-35 1.000000e+02
1.318987e-03 2.200705e-35 1.000000e+02
1.343558e-03 2.345892e-35 1.000000e+02
1.368587e-03 2.505374e-35 1.000000e+02
1.394083e-03 2.680966e-35 1.000000e+02
1.420053e-03 2.874754e-35 1.000000e+02
1.446507e-03 3.089132e-35 1.000000e+02
1.473454e-03 3.326864e-35 1.000000e+02
1.500903e-03 3.591141e-35 1.000000e+02
1.528864e-03 3.885659e-35 1.000000e+02
1.557345e-03 4.214713e-35 1.000000e+02
1.586357e-03 4.583302e-35 1.000000e+02
1.615909e-03 4.997262e-35 1.000000e+02
1.646012e-03 5.463428e-35 1.000000e+02
1.676675e-03 5.989819e-35 1.000000e+02
1.707910e-03 6.585881e-35 1.000000e+02
1.739726e-03 7.262760e-35 1.000000e+02
1.772136e-03 8.033658e-35 1.000000e+02
1.805149e-03 8.914252e-35 1.000000e+02
1.838777e-03 9.923218e-35 1.000000e+02
1.873032e-03 1.108287e-34 1.000000e+02
1.907924e-03 1.241996e-34 1.000000e+02
1.943467e-03 1.396667e-34 1.000000e+02
1.979672e-03 1.576180e-34 1.000000e+02
2.016551e-03 1.785234e-34 1.000000e+02
2.054117e-03 2.029539e-34 1.000000e+02
2.092383e-03 2.316054e-34 1.000000e+02
2.131362e-03 2.653289e-34 1.000000e+02
2.171068e-03 3.051699e-34 1.000000e+02
2.211512e-03 3.524163e-34 1.000000e+02
2.252711e-03 4.086613e-34 1.000000e+02
2.294676e-03 4.758833e-34 1.000000e+02
2.337424e-03 5.565484e-34 1.000000e+02
2.380968e-03 6.537429e-34 1.000000e+02
2.425323e-03 7.713452e-34 1.000000e+02
2.470504e-03 9.142489e-34 1.000000e+02
2.516527e-03 1.088654e-33 1.000000e+02
2.563407e-03 1.302452e-33 1.000000e+02
2.611161e-03 1.565726e-33 1.000000e+02
2.659804e-03 1.891419e-33 1.000000e+02
2.709354e-03 2.296225e-33 1.000000e+02
2.759826e-03 2.801764e-33 1.000000e+02
2.811239e-03 3.436175e-33 1.000000e+02
2.863610e-03 4.236252e-33 1.000000e+02
2.916956e-03 5.250337e-33 1.000000e+02
2.971296e-03 6.542256e-33 1.000000e+02
3.026648e-03 8.196814e-33 1.000000e+02
3.083031e-03 1.033089e-32 1.000000e+02
3.140465e-03 1.310897e-32 1.000000e+02
3.198969e-03 1.676129e-32 1.000000e+02
3.258562e-03 2.161349e-32 1.000000e+02
3.319266e-03 2.813140e-32 1.000000e+02
3.381101e-03 3.698941e-32 1.000000e+02
3.444087e-03 4.917601e-32 1.000000e+02
3.508247e-03 6.615909e-32 1.000000e+02
3.573602e-03 9.014809e-32 1.000000e+02
3.640175e-03 1.245159e-31 1.000000e+02
3.707988e-03 1.744875e-31 1.000000e+02
3.777064e-03 2.482825e-31 1.000000e+02
3.847427e-03 3.590379e-31 1.000000e+02
3.919100e-03 5.281014e-31 1.000000e+02
3.992109e-03 7.907653e-31 1.000000e+02
4.066478e-03 1.205957e-30 1.000000e+02
4.142232e-03 1.869955e-30 1.000000e+02
4.219398e-03 2.940932e-30 1.000000e+02
4.298001e-03 4.679854e-30 1.000000e+02
4.378069e-03 7.516433e-30 1.000000e+02
4.459628e-03 1.215520e-29 1.000000e+02
4.542706e-03 1.974343e-29 1.000000e+02
4.627332e-03 3.213154e-29 1.000000e+02
4.713535e-03 5.226706e-29 1.000000e+02
4.801343e-03 8.477171e-29 1.000000e+02
4.890787e-03 1.367537e-28 1.000000e+02
4.981898e-03 2.188925e-28 1.000000e+02
5.074705e-03 3.469342e-28 1.000000e+02
5.169242e-03 5.450446e-28 1.000000e+02
5.265540e-03 8.507828e-28 1.000000e+02
5.363631e-03 1.322642e-27 1.000000e+02
5.463550e-03 2.052762e-27 1.000000e+02
5.565331e-03 3.188177e-27 1.000000e+02
5.669007e-03 4.966948e-27 1.000000e+02
5.774615e-03 7.780641e-27 1.000000e+02
5.882190e-03 1.228443e-26 1.000000e+02
5.991770e-03 1.959496e-26 1.000000e+02
6.103390e-03 3.164147e-26 1.000000e+02
6.217090e-03 5.173163e-26 1.000000e+02
6.332908e-03 8.559626e-26 1.000000e+02
6.450884e-03 1.432729e-25 1.000000e+02
6.571058e-03 2.424908e-25 1.000000e+02
6.693470e-03 4.148206e-25 1.000000e+02
6.818162e-03 7.169201e-25 1.000000e+02
6.945178e-03 1.251233e-24 1.000000e+02
7.074559e-03 2.204295e-24 1.000000e+02
7.206351e-03 3.917416e-24 1.000000e+02
7.340598e-03 7.017827e-24 1.000000e+02
