# Be7 + t > Be9 + p   [Be7tTOBe9p]   ref=CGXSV12
# detailed balance: alpha=3.5568 beta=0 gamma=-140.22  Q=12.0833
# T9                 rate                error
1.000000e-03 2.300000e-47 3.162300e+00
1.018629e-03 5.268684e-47 3.162300e+00
1.037605e-03 1.200834e-46 3.162300e+00
1.056935e-03 2.723209e-46 3.162300e+00
1.076624e-03 6.144790e-46 3.162300e+00
1.096681e-03 1.379660e-45 3.162300e+00
1.117111e-03 3.082384e-45 3.162300e+00
1.137921e-03 6.852705e-45 3.162300e+00
1.159120e-03 1.516033e-44 3.162300e+00
1.180713e-03 3.337624e-44 3.162300e+00
1.202708e-03 7.312384e-44 3.162300e+00
1.225114e-03 1.594353e-43 3.162300e+00
1.247936e-03 3.459588e-43 3.162300e+00
1.271184e-03 7.471189e-43 3.162300e+00
1.294865e-03 1.605799e-42 3.162300e+00
1.318987e-03 3.435103e-42 3.162300e+00
1.343558e-03 7.313850e-42 3.162300e+00
1.368587e-03 1.549962e-41 3.162300e+00
1.394083e-03 3.269454e-41 3.162300e+00
1.420053e-03 6.864672e-41 3.162300e+00
1.446507e-03 1.434714e-40 3.162300e+00
1.473454e-03 2.984851e-40 3.162300e+00
1.500903e-03 6.181626e-40 3.162300e+00
1.528864e-03 1.274431e-39 3.162300e+00
1.557345e-03 2.615616e-39 3.162300e+00
1.586357e-03 5.344250e-39 3.162300e+00
1.615909e-03 1.087090e-38 3.162300e+00
1.646012e-03 2.201511e-38 3.162300e+00
1.676675e-03 4.438781e-38 3.162300e+00
1.707910e-03 8.910558e-38 3.162300e+00
1.739726e-03 1.780964e-37 3.162300e+00
1.772136e-03 3.544259e-37 3.162300e+00
1.805149e-03 7.023059e-37 3.162300e+00
1.838777e-03 1.385699e-36 3.162300e+00
1.873032e-03 2.722473e-36 3.162300e+00
1.907924e-03 5.326251e-36 3.162300e+00
1.943467e-03 1.037656e-35 3.162300e+00
1.979672e-03 2.013123e-35 3.162300e+00
2.016551e-03 3.889399e-35 3.162300e+00
2.054117e-03 7.483438e-35 3.162300e+00
2.092383e-03 1.433960e-34 3.162300e+00
2.131362e-03 2.736534e-34 3.162300e+00
2.171068e-03 5.201200e-34 3.162300e+00
2.211512e-03 9.845910e-34 3.162300e+00
2.252711e-03 1.856387e-33 3.162300e+00
2.294676e-03 3.486202e-33 3.162300e+00
2.337424e-03 6.521066e-33 3.162300e+00
2.380968e-03 1.215003e-32 3.162300e+00
2.425323e-03 2.254966e-32 3.162300e+00
2.470504e-03 4.168857e-32 3.162300e+00
2.516527e-03 7.677490e-32 3.162300e+00
2.563407e-03 1.408502e-31 3.162300e+00
2.611161e-03 2.574204e-31 3.162300e+00
2.659804e-03 4.686902e-31 3.162300e+00
2.709354e-03 8.501535e-31 3.162300e+00
2.759826e-03 1.536343e-30 3.162300e+00
2.811239e-03 2.766108e-30 3.162300e+00
2.863610e-03 4.961934e-30 3.162300e+00
2.916956e-03 8.868386e-30 3.162300e+00
2.971296e-03 1.579286e-29 3.162300e+00
3.026648e-03 2.802272e-29 3.162300e+00
3.083031e-03 4.954533e-29 3.162300e+00
3.140465e-03 8.728642e-29 3.162300e+00
3.198969e-03 1.532324e-28 3.162300e+00
3.258562e-03 2.680544e-28 3.162300e+00
3.319266e-03 4.672745e-28 3.162300e+00
3.381101e-03 8.117207e-28 3.162300e+00
3.444087e-03 1.405189e-27 3.162300e+00
3.508247e-03 2.424182e-27 3.162300e+00
3.573602e-03 4.167795e-27 3.162300e+00
3.640175e-03 7.141124e-27 3.162300e+00
3.707988e-03 1.219423e-26 3.162300e+00
3.777064e-03 2.075287e-26 3.162300e+00
3.847427e-03 3.520030e-26 3.162300e+00
3.919100e-03 5.950692e-26 3.162300e+00
3.992109e-03 1.002652e-25 3.162300e+00
4.066478e-03 1.683846e-25 3.162300e+00
4.142232e-03 2.818600e-25 3.162300e+00
4.219398e-03 4.702753e-25 3.162300e+00
4.298001e-03 7.821092e-25 3.162300e+00
4.378069e-03 1.296546e-24 3.162300e+00
4.459628e-03 2.142511e-24 3.162300e+00
4.542706e-03 3.529241e-24 3.162300e+00
4.627332e-03 5.795245e-24 3.162300e+00
4.713535e-03 9.486442e-24 3.162300e+00
4.801343e-03 1.548050e-23 3.162300e+00
4.890787e-03 2.518404e-23 3.162300e+00
4.981898e-03 4.084452e-23 3.162300e+00
5.074705e-03 6.604187e-23 3.162300e+00
5.169242e-03 1.064617e-22 3.162300e+00
5.265540e-03 1.711076e-22 3.162300e+00
5.363631e-03 2.741948e-22 3.162300e+00
5.463550e-03 4.381029e-22 3.162300e+00
5.565331e-03 6.979635e-22 3.162300e+00
5.669007e-03 1.108770e-21 3.162300e+00
5.774615e-03 1.756369e-21 3.162300e+00
