# Be9 + He3 > B10 + d   [Be9_He3__B10_d]   ref=TALYS2
# detailed balance: alpha=0.59608 beta=0 gamma=-12.6767  Q=1.0924
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.003117e-35 1.000000e+02
1.037605e-03 1.005346e-35 1.000000e+02
1.056935e-03 1.006714e-35 1.000000e+02
1.076624e-03 1.007247e-35 1.000000e+02
1.096681e-03 1.006977e-35 1.000000e+02
1.117111e-03 1.005936e-35 1.000000e+02
1.137921e-03 1.004157e-35 1.000000e+02
1.159120e-03 1.001676e-35 1.000000e+02
1.180713e-03 9.985294e-36 1.000000e+02
1.202708e-03 9.947549e-36 1.000000e+02
1.225114e-03 9.903908e-36 1.000000e+02
1.247936e-03 9.854758e-36 1.000000e+02
1.271184e-03 9.800492e-36 1.000000e+02
1.294865e-03 9.741503e-36 1.000000e+02
1.318987e-03 9.678183e-36 1.000000e+02
1.343558e-03 9.610924e-36 1.000000e+02
1.368587e-03 9.540113e-36 1.000000e+02
1.394083e-03 9.466133e-36 1.000000e+02
1.420053e-03 9.389360e-36 1.000000e+02
1.446507e-03 9.310166e-36 1.000000e+02
1.473454e-03 9.228911e-36 1.000000e+02
1.500903e-03 9.145948e-36 1.000000e+02
1.528864e-03 9.061621e-36 1.000000e+02
1.557345e-03 8.976263e-36 1.000000e+02
1.586357e-03 8.890197e-36 1.000000e+02
1.615909e-03 8.803737e-36 1.000000e+02
1.646012e-03 8.717182e-36 1.000000e+02
1.676675e-03 8.630825e-36 1.000000e+02
1.707910e-03 8.544943e-36 1.000000e+02
1.739726e-03 8.459805e-36 1.000000e+02
1.772136e-03 8.375670e-36 1.000000e+02
1.805149e-03 8.292784e-36 1.000000e+02
1.838777e-03 8.211385e-36 1.000000e+02
1.873032e-03 8.131700e-36 1.000000e+02
1.907924e-03 8.053948e-36 1.000000e+02
1.943467e-03 7.978338e-36 1.000000e+02
1.979672e-03 7.905073e-36 1.000000e+02
2.016551e-03 7.834346e-36 1.000000e+02
2.054117e-03 7.766345e-36 1.000000e+02
2.092383e-03 7.701252e-36 1.000000e+02
