# Be9 + d > B11 + g   [Be9_d__B11_g]   ref=TALYS2
# detailed balance: alpha=6.2676e+10 beta=1.5 gamma=-183.53  Q=15.8154
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.049101e-35 1.000000e+02
1.037605e-03 1.101118e-35 1.000000e+02
1.056935e-03 1.156352e-35 1.000000e+02
1.076624e-03 1.215141e-35 1.000000e+02
1.096681e-03 1.277861e-35 1.000000e+02
1.117111e-03 1.344936e-35 1.000000e+02
1.137921e-03 1.416840e-35 1.000000e+02
1.159120e-03 1.494107e-35 1.000000e+02
1.180713e-03 1.577337e-35 1.000000e+02
1.202708e-03 1.667207e-35 1.000000e+02
1.225114e-03 1.764483e-35 1.000000e+02
1.247936e-03 1.870029e-35 1.000000e+02
1.271184e-03 1.984828e-35 1.000000e+02
1.294865e-03 2.109993e-35 1.000000e+02
1.318987e-03 2.246794e-35 1.000000e+02
1.343558e-03 2.396681e-35 1.000000e+02
1.368587e-03 2.561309e-35 1.000000e+02
1.394083e-03 2.742578e-35 1.000000e+02
1.420053e-03 2.942671e-35 1.000000e+02
1.446507e-03 3.164101e-35 1.000000e+02
1.473454e-03 3.409772e-35 1.000000e+02
1.500903e-03 3.683046e-35 1.000000e+02
1.528864e-03 3.987823e-35 1.000000e+02
1.557345e-03 4.328647e-35 1.000000e+02
1.586357e-03 4.710817e-35 1.000000e+02
1.615909e-03 5.140537e-35 1.000000e+02
1.646012e-03 5.625088e-35 1.000000e+02
1.676675e-03 6.173039e-35 1.000000e+02
1.707910e-03 6.794507e-35 1.000000e+02
1.739726e-03 7.501474e-35 1.000000e+02
1.772136e-03 8.308167e-35 1.000000e+02
1.805149e-03 9.231540e-35 1.000000e+02
1.838777e-03 1.029186e-34 1.000000e+02
1.873032e-03 1.151343e-34 1.000000e+02
1.907924e-03 1.292549e-34 1.000000e+02
1.943467e-03 1.456334e-34 1.000000e+02
1.979672e-03 1.646976e-34 1.000000e+02
2.016551e-03 1.869675e-34 1.000000e+02
2.054117e-03 2.130776e-34 1.000000e+02
2.092383e-03 2.438051e-34 1.000000e+02
2.131362e-03 2.801053e-34 1.000000e+02
2.171068e-03 3.231573e-34 1.000000e+02
2.211512e-03 3.744217e-34 1.000000e+02
2.252711e-03 4.357153e-34 1.000000e+02
2.294676e-03 5.093070e-34 1.000000e+02
2.337424e-03 5.980424e-34 1.000000e+02
2.380968e-03 7.055050e-34 1.000000e+02
2.425323e-03 8.362275e-34 1.000000e+02
2.470504e-03 9.959679e-34 1.000000e+02
2.516527e-03 1.192074e-33 1.000000e+02
2.563407e-03 1.433964e-33 1.000000e+02
2.611161e-03 1.733768e-33 1.000000e+02
2.659804e-03 2.107181e-33 1.000000e+02
2.709354e-03 2.574607e-33 1.000000e+02
2.759826e-03 3.162706e-33 1.000000e+02
2.811239e-03 3.906482e-33 1.000000e+02
2.863610e-03 4.852129e-33 1.000000e+02
2.916956e-03 6.060921e-33 1.000000e+02
2.971296e-03 7.614566e-33 1.000000e+02
3.026648e-03 9.622728e-33 1.000000e+02
3.083031e-03 1.223760e-32 1.000000e+02
3.140465e-03 1.567466e-32 1.000000e+02
3.198969e-03 2.023816e-32 1.000000e+02
3.258562e-03 2.636216e-32 1.000000e+02
3.319266e-03 3.467330e-32 1.000000e+02
3.381101e-03 4.608718e-32 1.000000e+02
3.444087e-03 6.195874e-32 1.000000e+02
3.508247e-03 8.431973e-32 1.000000e+02
3.573602e-03 1.162590e-31 1.000000e+02
3.640175e-03 1.625406e-31 1.000000e+02
3.707988e-03 2.306222e-31 1.000000e+02
3.777064e-03 3.323621e-31 1.000000e+02
3.847427e-03 4.869221e-31 1.000000e+02
3.919100e-03 7.257914e-31 1.000000e+02
3.992109e-03 1.101629e-30 1.000000e+02
4.066478e-03 1.703480e-30 1.000000e+02
4.142232e-03 2.679438e-30 1.000000e+02
4.219398e-03 4.277390e-30 1.000000e+02
4.298001e-03 6.914584e-30 1.000000e+02
4.378069e-03 1.129351e-29 1.000000e+02
4.459628e-03 1.859479e-29 1.000000e+02
4.542706e-03 3.079471e-29 1.000000e+02
4.627332e-03 5.118084e-29 1.000000e+02
4.713535e-03 8.517430e-29 1.000000e+02
4.801343e-03 1.416130e-28 1.000000e+02
4.890787e-03 2.347009e-28 1.000000e+02
4.981898e-03 3.868716e-28 1.000000e+02
5.074705e-03 6.330662e-28 1.000000e+02
5.169242e-03 1.029353e-27 1.000000e+02
5.265540e-03 1.666688e-27 1.000000e+02
5.363631e-03 2.693165e-27 1.000000e+02
5.463550e-03 4.352452e-27 1.000000e+02
5.565331e-03 7.050364e-27 1.000000e+02
5.669007e-03 1.147201e-26 1.000000e+02
5.774615e-03 1.879152e-26 1.000000e+02
5.882190e-03 3.105436e-26 1.000000e+02
5.991770e-03 5.188784e-26 1.000000e+02
6.103390e-03 8.782019e-26 1.000000e+02
6.217090e-03 1.505947e-25 1.000000e+02
6.332908e-03 2.615732e-25 1.000000e+02
6.450884e-03 4.600725e-25 1.000000e+02
6.571058e-03 8.192005e-25 1.000000e+02
6.693470e-03 1.476273e-24 1.000000e+02
6.818162e-03 2.691762e-24 1.000000e+02
6.945178e-03 4.964574e-24 1.000000e+02
7.074559e-03 9.259224e-24 1.000000e+02
7.206351e-03 1.745146e-23 1.000000e+02
7.340598e-03 3.320805e-23 1.000000e+02
7.477346e-03 6.373752e-23 1.000000e+02
7.616642e-03 1.232744e-22 1.000000e+02
7.758532e-03 2.400286e-22 1.000000e+02
7.903066e-03 4.700574e-22 1.000000e+02
8.050292e-03 9.250026e-22 1.000000e+02
8.200261e-03 1.832384e-21 1.000000e+02
8.353023e-03 3.675643e-21 1.000000e+02
8.508632e-03 7.512875e-21 1.000000e+02
8.667139e-03 1.574516e-20 1.000000e+02
8.828599e-03 3.404618e-20 1.000000e+02
8.993067e-03 7.643327e-20 1.000000e+02
9.160598e-03 1.783956e-19 1.000000e+02
9.331251e-03 4.240013e-19 1.000000e+02
9.505083e-03 9.988629e-19 1.000000e+02
9.682153e-03 2.270251e-18 1.000000e+02
9.862522e-03 4.845571e-18 1.000000e+02
1.004625e-02 9.454879e-18 1.000000e+02
1.023340e-02 1.670908e-17 1.000000e+02
1.042404e-02 2.741309e-17 1.000000e+02
1.061823e-02 4.296294e-17 1.000000e+02
1.081604e-02 6.618836e-17 1.000000e+02
1.101753e-02 1.031432e-16 1.000000e+02
1.122277e-02 1.659677e-16 1.000000e+02
1.143184e-02 2.746362e-16 1.000000e+02
1.164481e-02 4.632367e-16 1.000000e+02
1.186174e-02 7.894398e-16 1.000000e+02
1.208271e-02 1.347435e-15 1.000000e+02
1.230780e-02 2.293680e-15 1.000000e+02
1.253708e-02 3.902097e-15 1.000000e+02
1.277063e-02 6.651390e-15 1.000000e+02
1.300854e-02 1.138897e-14 1.000000e+02
1.325087e-02 1.962648e-14 1.000000e+02
1.349772e-02 3.402573e-14 1.000000e+02
1.374917e-02 5.928907e-14 1.000000e+02
1.400531e-02 1.037381e-13 1.000000e+02
1.426621e-02 1.821241e-13 1.000000e+02
1.453198e-02 3.207790e-13 1.000000e+02
1.480269e-02 5.668442e-13 1.000000e+02
1.507845e-02 1.004963e-12 1.000000e+02
1.535935e-02 1.787465e-12 1.000000e+02
1.564548e-02 3.188866e-12 1.000000e+02
1.593694e-02 5.704905e-12 1.000000e+02
1.623382e-02 1.023221e-11 1.000000e+02
1.653624e-02 1.839235e-11 1.000000e+02
