# Be9 + t > B11 + n   [Be9_t__B11_n]   ref=TALYS2
# detailed balance: alpha=3.8295 beta=0 gamma=-110.918  Q=9.5582
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.065708e-35 1.000000e+02
1.037605e-03 1.138452e-35 1.000000e+02
1.056935e-03 1.219164e-35 1.000000e+02
1.076624e-03 1.308922e-35 1.000000e+02
1.096681e-03 1.408972e-35 1.000000e+02
1.117111e-03 1.520760e-35 1.000000e+02
1.137921e-03 1.645971e-35 1.000000e+02
1.159120e-03 1.786568e-35 1.000000e+02
1.180713e-03 1.944850e-35 1.000000e+02
1.202708e-03 2.123510e-35 1.000000e+02
1.225114e-03 2.325721e-35 1.000000e+02
1.247936e-03 2.555223e-35 1.000000e+02
1.271184e-03 2.816443e-35 1.000000e+02
1.294865e-03 3.114633e-35 1.000000e+02
1.318987e-03 3.456047e-35 1.000000e+02
1.343558e-03 3.848153e-35 1.000000e+02
1.368587e-03 4.299895e-35 1.000000e+02
1.394083e-03 4.822022e-35 1.000000e+02
1.420053e-03 5.427494e-35 1.000000e+02
1.446507e-03 6.131988e-35 1.000000e+02
1.473454e-03 6.954534e-35 1.000000e+02
1.500903e-03 7.918311e-35 1.000000e+02
1.528864e-03 9.051651e-35 1.000000e+02
1.557345e-03 1.038931e-34 1.000000e+02
1.586357e-03 1.197409e-34 1.000000e+02
1.615909e-03 1.385887e-34 1.000000e+02
1.646012e-03 1.610928e-34 1.000000e+02
1.676675e-03 1.880701e-34 1.000000e+02
1.707910e-03 2.205425e-34 1.000000e+02
1.739726e-03 2.597923e-34 1.000000e+02
1.772136e-03 3.074363e-34 1.000000e+02
1.805149e-03 3.655203e-34 1.000000e+02
1.838777e-03 4.366449e-34 1.000000e+02
1.873032e-03 5.241300e-34 1.000000e+02
1.907924e-03 6.322315e-34 1.000000e+02
1.943467e-03 7.664307e-34 1.000000e+02
1.979672e-03 9.338178e-34 1.000000e+02
2.016551e-03 1.143607e-33 1.000000e+02
2.054117e-03 1.407830e-33 1.000000e+02
2.092383e-03 1.742269e-33 1.000000e+02
2.131362e-03 2.167726e-33 1.000000e+02
2.171068e-03 2.711760e-33 1.000000e+02
2.211512e-03 3.411053e-33 1.000000e+02
2.252711e-03 4.314686e-33 1.000000e+02
2.294676e-03 5.488660e-33 1.000000e+02
2.337424e-03 7.022196e-33 1.000000e+02
2.380968e-03 9.036534e-33 1.000000e+02
2.425323e-03 1.169732e-32 1.000000e+02
2.470504e-03 1.523207e-32 1.000000e+02
2.516527e-03 1.995506e-32 1.000000e+02
2.563407e-03 2.630278e-32 1.000000e+02
2.611161e-03 3.488489e-32 1.000000e+02
2.659804e-03 4.655791e-32 1.000000e+02
2.709354e-03 6.253209e-32 1.000000e+02
2.759826e-03 8.452762e-32 1.000000e+02
2.811239e-03 1.150042e-31 1.000000e+02
2.863610e-03 1.575001e-31 1.000000e+02
2.916956e-03 2.171368e-31 1.000000e+02
2.971296e-03 3.013729e-31 1.000000e+02
3.026648e-03 4.211510e-31 1.000000e+02
3.083031e-03 5.930328e-31 1.000000e+02
3.140465e-03 8.427273e-31 1.000000e+02
3.198969e-03 1.210426e-30 1.000000e+02
3.258562e-03 1.759980e-30 1.000000e+02
3.319266e-03 2.594603e-30 1.000000e+02
3.381101e-03 3.884215e-30 1.000000e+02
3.444087e-03 5.913985e-30 1.000000e+02
3.508247e-03 9.172277e-30 1.000000e+02
3.573602e-03 1.451341e-29 1.000000e+02
3.640175e-03 2.346566e-29 1.000000e+02
3.707988e-03 3.882775e-29 1.000000e+02
3.777064e-03 6.585267e-29 1.000000e+02
3.847427e-03 1.146573e-28 1.000000e+02
3.919100e-03 2.052592e-28 1.000000e+02
3.992109e-03 3.784004e-28 1.000000e+02
4.066478e-03 7.188717e-28 1.000000e+02
4.142232e-03 1.401674e-27 1.000000e+02
4.219398e-03 2.789179e-27 1.000000e+02
4.298001e-03 5.632183e-27 1.000000e+02
4.378069e-03 1.147587e-26 1.000000e+02
4.459628e-03 2.346064e-26 1.000000e+02
4.542706e-03 4.784946e-26 1.000000e+02
4.627332e-03 9.681319e-26 1.000000e+02
4.713535e-03 1.932188e-25 1.000000e+02
4.801343e-03 3.782328e-25 1.000000e+02
4.890787e-03 7.221061e-25 1.000000e+02
4.981898e-03 1.336941e-24 1.000000e+02
5.074705e-03 2.389212e-24 1.000000e+02
5.169242e-03 4.131369e-24 1.000000e+02
