# Be9 + t > Be10 + d   [Be9_t__Be10_d]   ref=TALYS2
# detailed balance: alpha=4.1722 beta=0 gamma=-6.4403  Q=0.555
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.054043e-35 1.000000e+02
1.037605e-03 1.112475e-35 1.000000e+02
1.056935e-03 1.175794e-35 1.000000e+02
1.076624e-03 1.244559e-35 1.000000e+02
1.096681e-03 1.319405e-35 1.000000e+02
1.117111e-03 1.401052e-35 1.000000e+02
1.137921e-03 1.490316e-35 1.000000e+02
1.159120e-03 1.588128e-35 1.000000e+02
1.180713e-03 1.695551e-35 1.000000e+02
1.202708e-03 1.813798e-35 1.000000e+02
1.225114e-03 1.944261e-35 1.000000e+02
1.247936e-03 2.088541e-35 1.000000e+02
1.271184e-03 2.248479e-35 1.000000e+02
1.294865e-03 2.426203e-35 1.000000e+02
1.318987e-03 2.624175e-35 1.000000e+02
1.343558e-03 2.845250e-35 1.000000e+02
1.368587e-03 3.092753e-35 1.000000e+02
1.394083e-03 3.370559e-35 1.000000e+02
1.420053e-03 3.683201e-35 1.000000e+02
1.446507e-03 4.035995e-35 1.000000e+02
1.473454e-03 4.435192e-35 1.000000e+02
1.500903e-03 4.888163e-35 1.000000e+02
1.528864e-03 5.403627e-35 1.000000e+02
1.557345e-03 5.991923e-35 1.000000e+02
1.586357e-03 6.665354e-35 1.000000e+02
1.615909e-03 7.438601e-35 1.000000e+02
1.646012e-03 8.329236e-35 1.000000e+02
1.676675e-03 9.358363e-35 1.000000e+02
1.707910e-03 1.055140e-34 1.000000e+02
1.739726e-03 1.193909e-34 1.000000e+02
1.772136e-03 1.355869e-34 1.000000e+02
1.805149e-03 1.545554e-34 1.000000e+02
1.838777e-03 1.768505e-34 1.000000e+02
1.873032e-03 2.031507e-34 1.000000e+02
1.907924e-03 2.342908e-34 1.000000e+02
1.943467e-03 2.713015e-34 1.000000e+02
1.979672e-03 3.154597e-34 1.000000e+02
2.016551e-03 3.683538e-34 1.000000e+02
2.054117e-03 4.319674e-34 1.000000e+02
2.092383e-03 5.087872e-34 1.000000e+02
2.131362e-03 6.019435e-34 1.000000e+02
2.171068e-03 7.153927e-34 1.000000e+02
2.211512e-03 8.541562e-34 1.000000e+02
2.252711e-03 1.024635e-33 1.000000e+02
2.294676e-03 1.235022e-33 1.000000e+02
2.337424e-03 1.495853e-33 1.000000e+02
2.380968e-03 1.820736e-33 1.000000e+02
2.425323e-03 2.227324e-33 1.000000e+02
2.470504e-03 2.738630e-33 1.000000e+02
2.516527e-03 3.384788e-33 1.000000e+02
2.563407e-03 4.205452e-33 1.000000e+02
2.611161e-03 5.253056e-33 1.000000e+02
2.659804e-03 6.597271e-33 1.000000e+02
2.709354e-03 8.331139e-33 1.000000e+02
2.759826e-03 1.057955e-32 1.000000e+02
2.811239e-03 1.351100e-32 1.000000e+02
2.863610e-03 1.735403e-32 1.000000e+02
2.916956e-03 2.242026e-32 1.000000e+02
2.971296e-03 2.913688e-32 1.000000e+02
3.026648e-03 3.809350e-32 1.000000e+02
3.083031e-03 5.013250e-32 1.000000e+02
3.140465e-03 6.648551e-32 1.000000e+02
3.198969e-03 8.895358e-32 1.000000e+02
3.258562e-03 1.202037e-31 1.000000e+02
3.319266e-03 1.642404e-31 1.000000e+02
3.381101e-03 2.271639e-31 1.000000e+02
3.444087e-03 3.184088e-31 1.000000e+02
3.508247e-03 4.528003e-31 1.000000e+02
3.573602e-03 6.540242e-31 1.000000e+02
3.640175e-03 9.605848e-31 1.000000e+02
3.707988e-03 1.436223e-30 1.000000e+02
3.777064e-03 2.188477e-30 1.000000e+02
3.847427e-03 3.402398e-30 1.000000e+02
3.919100e-03 5.403075e-30 1.000000e+02
3.992109e-03 8.774026e-30 1.000000e+02
4.066478e-03 1.457805e-29 1.000000e+02
4.142232e-03 2.471765e-29 1.000000e+02
4.219398e-03 4.261029e-29 1.000000e+02
4.298001e-03 7.440685e-29 1.000000e+02
4.378069e-03 1.311277e-28 1.000000e+02
4.459628e-03 2.323541e-28 1.000000e+02
4.542706e-03 4.124514e-28 1.000000e+02
4.627332e-03 7.307241e-28 1.000000e+02
4.713535e-03 1.287312e-27 1.000000e+02
4.801343e-03 2.246757e-27 1.000000e+02
4.890787e-03 3.870452e-27 1.000000e+02
4.981898e-03 6.556805e-27 1.000000e+02
5.074705e-03 1.088970e-26 1.000000e+02
5.169242e-03 1.775907e-26 1.000000e+02
5.265540e-03 2.854227e-26 1.000000e+02
5.363631e-03 4.537412e-26 1.000000e+02
5.463550e-03 7.160889e-26 1.000000e+02
5.565331e-03 1.126036e-25 1.000000e+02
5.669007e-03 1.770728e-25 1.000000e+02
5.774615e-03 2.794816e-25 1.000000e+02
5.882190e-03 4.443690e-25 1.000000e+02
5.991770e-03 7.143501e-25 1.000000e+02
6.103390e-03 1.164598e-24 1.000000e+02
6.217090e-03 1.925414e-24 1.000000e+02
6.332908e-03 3.224960e-24 1.000000e+02
6.450884e-03 5.466954e-24 1.000000e+02
6.571058e-03 9.370358e-24 1.000000e+02
6.693470e-03 1.622279e-23 1.000000e+02
6.818162e-03 2.834145e-23 1.000000e+02
6.945178e-03 4.991311e-23 1.000000e+02
7.074559e-03 8.852758e-23 1.000000e+02
7.206351e-03 1.580141e-22 1.000000e+02
7.340598e-03 2.836848e-22 1.000000e+02
7.477346e-03 5.120026e-22 1.000000e+02
7.616642e-03 9.284881e-22 1.000000e+02
7.758532e-03 1.690913e-21 1.000000e+02
7.903066e-03 3.090861e-21 1.000000e+02
8.050292e-03 5.668089e-21 1.000000e+02
8.200261e-03 1.044104e-20 1.000000e+02
8.353023e-03 1.939628e-20 1.000000e+02
8.508632e-03 3.649015e-20 1.000000e+02
8.667139e-03 6.981214e-20 1.000000e+02
8.828599e-03 1.363954e-19 1.000000e+02
8.993067e-03 2.732735e-19 1.000000e+02
9.160598e-03 5.618913e-19 1.000000e+02
9.331251e-03 1.168287e-18 1.000000e+02
9.505083e-03 2.409706e-18 1.000000e+02
9.682153e-03 4.836938e-18 1.000000e+02
9.862522e-03 9.269237e-18 1.000000e+02
1.004625e-02 1.663813e-17 1.000000e+02
1.023340e-02 2.779585e-17 1.000000e+02
1.042404e-02 4.401428e-17 1.000000e+02
1.061823e-02 6.746799e-17 1.000000e+02
1.081604e-02 1.022457e-16 1.000000e+02
