# C11 + t > B11 + He3   [C11_t__B11_He3]   ref=TALYS2
# detailed balance: alpha=1.0003 beta=0 gamma=-23.2205  Q=2.001
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.010493e-35 1.000000e+02
1.037605e-03 1.018273e-35 1.000000e+02
1.056935e-03 1.023377e-35 1.000000e+02
1.076624e-03 1.025862e-35 1.000000e+02
1.096681e-03 1.025810e-35 1.000000e+02
1.117111e-03 1.023320e-35 1.000000e+02
1.137921e-03 1.018509e-35 1.000000e+02
1.159120e-03 1.011507e-35 1.000000e+02
1.180713e-03 1.002458e-35 1.000000e+02
1.202708e-03 9.915137e-36 1.000000e+02
1.225114e-03 9.788330e-36 1.000000e+02
1.247936e-03 9.645796e-36 1.000000e+02
1.271184e-03 9.489192e-36 1.000000e+02
1.294865e-03 9.320180e-36 1.000000e+02
1.318987e-03 9.140405e-36 1.000000e+02
1.343558e-03 8.951477e-36 1.000000e+02
1.368587e-03 8.754964e-36 1.000000e+02
1.394083e-03 8.552372e-36 1.000000e+02
1.420053e-03 8.345137e-36 1.000000e+02
1.446507e-03 8.134618e-36 1.000000e+02
1.473454e-03 7.922092e-36 1.000000e+02
1.500903e-03 7.708747e-36 1.000000e+02
1.528864e-03 7.495680e-36 1.000000e+02
1.557345e-03 7.283896e-36 1.000000e+02
1.586357e-03 7.074310e-36 1.000000e+02
1.615909e-03 6.867747e-36 1.000000e+02
1.646012e-03 6.664943e-36 1.000000e+02
1.676675e-03 6.466551e-36 1.000000e+02
1.707910e-03 6.273145e-36 1.000000e+02
1.739726e-03 6.085221e-36 1.000000e+02
1.772136e-03 5.903207e-36 1.000000e+02
1.805149e-03 5.727465e-36 1.000000e+02
1.838777e-03 5.558298e-36 1.000000e+02
1.873032e-03 5.395955e-36 1.000000e+02
1.907924e-03 5.240636e-36 1.000000e+02
1.943467e-03 5.092502e-36 1.000000e+02
1.979672e-03 4.951673e-36 1.000000e+02
2.016551e-03 4.818240e-36 1.000000e+02
2.054117e-03 4.692268e-36 1.000000e+02
2.092383e-03 4.573801e-36 1.000000e+02
2.131362e-03 4.462867e-36 1.000000e+02
2.171068e-03 4.359483e-36 1.000000e+02
2.211512e-03 4.263660e-36 1.000000e+02
2.252711e-03 4.175408e-36 1.000000e+02
2.294676e-03 4.094738e-36 1.000000e+02
2.337424e-03 4.021669e-36 1.000000e+02
2.380968e-03 3.956232e-36 1.000000e+02
2.425323e-03 3.898473e-36 1.000000e+02
2.470504e-03 3.848459e-36 1.000000e+02
2.516527e-03 3.806281e-36 1.000000e+02
2.563407e-03 3.772060e-36 1.000000e+02
2.611161e-03 3.745954e-36 1.000000e+02
2.659804e-03 3.728159e-36 1.000000e+02
2.709354e-03 3.718918e-36 1.000000e+02
2.759826e-03 3.718531e-36 1.000000e+02
2.811239e-03 3.727355e-36 1.000000e+02
2.863610e-03 3.745821e-36 1.000000e+02
2.916956e-03 3.774437e-36 1.000000e+02
2.971296e-03 3.813805e-36 1.000000e+02
3.026648e-03 3.864588e-36 1.000000e+02
3.083031e-03 3.926458e-36 1.000000e+02
3.140465e-03 3.997941e-36 1.000000e+02
3.198969e-03 4.077444e-36 1.000000e+02
3.258562e-03 4.163271e-36 1.000000e+02
3.319266e-03 4.253581e-36 1.000000e+02
3.381101e-03 4.346371e-36 1.000000e+02
3.444087e-03 4.439453e-36 1.000000e+02
3.508247e-03 4.530450e-36 1.000000e+02
3.573602e-03 4.616798e-36 1.000000e+02
3.640175e-03 4.695770e-36 1.000000e+02
3.707988e-03 4.764503e-36 1.000000e+02
3.777064e-03 4.820054e-36 1.000000e+02
3.847427e-03 4.859462e-36 1.000000e+02
3.919100e-03 4.879835e-36 1.000000e+02
3.992109e-03 4.878443e-36 1.000000e+02
4.066478e-03 4.855325e-36 1.000000e+02
4.142232e-03 4.824488e-36 1.000000e+02
4.219398e-03 4.804393e-36 1.000000e+02
4.298001e-03 4.813258e-36 1.000000e+02
4.378069e-03 4.869809e-36 1.000000e+02
4.459628e-03 4.994773e-36 1.000000e+02
4.542706e-03 5.213261e-36 1.000000e+02
4.627332e-03 5.558429e-36 1.000000e+02
4.713535e-03 6.077185e-36 1.000000e+02
4.801343e-03 6.839422e-36 1.000000e+02
4.890787e-03 7.953566e-36 1.000000e+02
4.981898e-03 9.593758e-36 1.000000e+02
5.074705e-03 1.204116e-35 1.000000e+02
5.169242e-03 1.569808e-35 1.000000e+02
5.265540e-03 2.117514e-35 1.000000e+02
5.363631e-03 2.943790e-35 1.000000e+02
5.463550e-03 4.201332e-35 1.000000e+02
5.565331e-03 6.131492e-35 1.000000e+02
5.669007e-03 9.114717e-35 1.000000e+02
5.774615e-03 1.374729e-34 1.000000e+02
5.882190e-03 2.095498e-34 1.000000e+02
5.991770e-03 3.215530e-34 1.000000e+02
6.103390e-03 4.951877e-34 1.000000e+02
6.217090e-03 7.661026e-34 1.000000e+02
6.332908e-03 1.193467e-33 1.000000e+02
6.450884e-03 1.876494e-33 1.000000e+02
6.571058e-03 2.984723e-33 1.000000e+02
6.693470e-03 4.813795e-33 1.000000e+02
6.818162e-03 7.890506e-33 1.000000e+02
6.945178e-03 1.317536e-32 1.000000e+02
7.074559e-03 2.246011e-32 1.000000e+02
7.206351e-03 3.909133e-32 1.000000e+02
7.340598e-03 6.934810e-32 1.000000e+02
7.477346e-03 1.251751e-31 1.000000e+02
7.616642e-03 2.294956e-31 1.000000e+02
7.758532e-03 4.266260e-31 1.000000e+02
7.903066e-03 8.027502e-31 1.000000e+02
8.050292e-03 1.526334e-30 1.000000e+02
8.200261e-03 2.940131e-30 1.000000e+02
8.353023e-03 5.789541e-30 1.000000e+02
8.508632e-03 1.176603e-29 1.000000e+02
8.667139e-03 2.491561e-29 1.000000e+02
8.828599e-03 5.550307e-29 1.000000e+02
8.993067e-03 1.313149e-28 1.000000e+02
9.160598e-03 3.308542e-28 1.000000e+02
9.331251e-03 8.629320e-28 1.000000e+02
9.505083e-03 2.244943e-27 1.000000e+02
9.682153e-03 5.612994e-27 1.000000e+02
9.862522e-03 1.299618e-26 1.000000e+02
1.004625e-02 2.685490e-26 1.000000e+02
1.023340e-02 4.885017e-26 1.000000e+02
1.042404e-02 8.072219e-26 1.000000e+02
1.061823e-02 1.256915e-25 1.000000e+02
1.081604e-02 1.912966e-25 1.000000e+02
1.101753e-02 2.951862e-25 1.000000e+02
1.122277e-02 4.741763e-25 1.000000e+02
1.143184e-02 7.888492e-25 1.000000e+02
1.164481e-02 1.343911e-24 1.000000e+02
1.186174e-02 2.318363e-24 1.000000e+02
1.208271e-02 4.004914e-24 1.000000e+02
1.230780e-02 6.891023e-24 1.000000e+02
1.253708e-02 1.184246e-23 1.000000e+02
1.277063e-02 2.039478e-23 1.000000e+02
1.300854e-02 3.531548e-23 1.000000e+02
1.325087e-02 6.164152e-23 1.000000e+02
1.349772e-02 1.084051e-22 1.000000e+02
1.374917e-02 1.918721e-22 1.000000e+02
1.400531e-02 3.414103e-22 1.000000e+02
1.426621e-02 6.101810e-22 1.000000e+02
1.453198e-02 1.095318e-21 1.000000e+02
1.480269e-02 1.975099e-21 1.000000e+02
1.507845e-02 3.578267e-21 1.000000e+02
1.535935e-02 6.513403e-21 1.000000e+02
1.564548e-02 1.191023e-20 1.000000e+02
1.593694e-02 2.187389e-20 1.000000e+02
1.623382e-02 4.034008e-20 1.000000e+02
1.653624e-02 7.468423e-20 1.000000e+02
1.684430e-02 1.387595e-19 1.000000e+02
1.715809e-02 2.586412e-19 1.000000e+02
1.747773e-02 4.834975e-19 1.000000e+02
1.780332e-02 9.061747e-19 1.000000e+02
