# C12 + p > N13 + g   [C12_p__N13_g]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=8.8491e+09 beta=1.5 gamma=-22.5532  Q=1.9435
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   1.349058e-35   1.002409e+00
1.037605e-03   1.772656e-35   1.004611e+00
1.056935e-03   2.270628e-35   1.006611e+00
1.076624e-03   2.837659e-35   1.008416e+00
1.096681e-03   3.462834e-35   1.010030e+00
1.117111e-03   4.129763e-35   1.011461e+00
1.137921e-03   4.817318e-35   1.012713e+00
1.159120e-03   5.500940e-35   1.013794e+00
1.180713e-03   6.154385e-35   1.014709e+00
1.202708e-03   6.751702e-35   1.015464e+00
1.225114e-03   7.269215e-35   1.016067e+00
1.247936e-03   7.687268e-35   1.016523e+00
1.271184e-03   7.991560e-35   1.016841e+00
1.294865e-03   8.173929e-35   1.017025e+00
1.318987e-03   8.232554e-35   1.017083e+00
1.343558e-03   8.171608e-35   1.017023e+00
1.368587e-03   8.000449e-35   1.016850e+00
1.394083e-03   7.732498e-35   1.016571e+00
1.420053e-03   7.383948e-35   1.016195e+00
1.446507e-03   6.972450e-35   1.015727e+00
1.473454e-03   6.515909e-35   1.015174e+00
1.500903e-03   6.031456e-35   1.014544e+00
1.528864e-03   5.534666e-35   1.013844e+00
1.557345e-03   5.039038e-35   1.013080e+00
1.586357e-03   4.555704e-35   1.012259e+00
1.615909e-03   4.093358e-35   1.011389e+00
1.646012e-03   3.658348e-35   1.010476e+00
1.676675e-03   3.254888e-35   1.009528e+00
1.707910e-03   2.885345e-35   1.008551e+00
1.739726e-03   2.550554e-35   1.007552e+00
1.772136e-03   2.250149e-35   1.006538e+00
1.805149e-03   1.982863e-35   1.005516e+00
1.838777e-03   1.746802e-35   1.004492e+00
1.873032e-03   1.539673e-35   1.003474e+00
1.907924e-03   1.358978e-35   1.002468e+00
1.943467e-03   1.202153e-35   1.001481e+00
1.979672e-03   1.066683e-35   1.000519e+00
2.016551e-03   9.501754e-36   9.995894e-01
2.054117e-03   8.504133e-36   9.986989e-01
2.092383e-03   7.653828e-36   9.978538e-01
2.131362e-03   6.932892e-36   9.970609e-01
2.171068e-03   6.325605e-36   9.963268e-01
2.211512e-03   5.818436e-36   9.956579e-01
2.252711e-03   5.399975e-36   9.950610e-01
2.294676e-03   5.060848e-36   9.945425e-01
2.337424e-03   4.793641e-36   9.941091e-01
2.380968e-03   4.592859e-36   9.937674e-01
2.425323e-03   4.454930e-36   9.935239e-01
2.470504e-03   4.378281e-36   9.933854e-01
2.516527e-03   4.363509e-36   9.933584e-01
2.563407e-03   4.413696e-36   9.934497e-01
2.611161e-03   4.534903e-36   9.936660e-01
2.659804e-03   4.736935e-36   9.940141e-01
2.709354e-03   5.034487e-36   9.945008e-01
2.759826e-03   5.448867e-36   9.951330e-01
2.811239e-03   6.010563e-36   9.959179e-01
2.863610e-03   6.763113e-36   9.968623e-01
2.916956e-03   7.769007e-36   9.979736e-01
2.971296e-03   9.118774e-36   9.992590e-01
3.026648e-03   1.094326e-35   1.000725e+00
3.083031e-03   1.337548e-35   1.002340e+00
3.140465e-03   1.650650e-35   1.004035e+00
3.198969e-03   2.038513e-35   1.005739e+00
3.258562e-03   2.496979e-35   1.007380e+00
3.319266e-03   3.006695e-35   1.008885e+00
3.381101e-03   3.527500e-35   1.010181e+00
3.444087e-03   3.996483e-35   1.011194e+00
3.508247e-03   4.333635e-35   1.011853e+00
3.573602e-03   4.457796e-35   1.012082e+00
3.640175e-03   4.311334e-35   1.011811e+00
3.707988e-03   3.885590e-35   1.010966e+00
3.777064e-03   3.234343e-35   1.009477e+00
3.847427e-03   2.464502e-35   1.007274e+00
3.919100e-03   1.703791e-35   1.004291e+00
3.992109e-03   1.059200e-35   1.000462e+00
4.066478e-03   5.910694e-36   9.957838e-01
4.142232e-03   3.074137e-36   9.905667e-01
4.219398e-03   1.568306e-36   9.852242e-01
4.298001e-03   8.259719e-37   9.801612e-01
4.378069e-03   4.726401e-37   9.757746e-01
4.459628e-03   3.092649e-37   9.724547e-01
4.542706e-03   2.435396e-37   9.705896e-01
4.627332e-03   2.429134e-37   9.705695e-01
4.713535e-03   3.229833e-37   9.727939e-01
4.801343e-03   6.025036e-37   9.776798e-01
4.890787e-03   1.659564e-36   9.856720e-01
4.981898e-03   7.103740e-36   9.972560e-01
5.074705e-03   4.907163e-35   1.012859e+00
5.169242e-03   5.151525e-34   1.032132e+00
5.265540e-03   7.410723e-33   1.054343e+00
5.363631e-03   1.316975e-31   1.078716e+00
5.463550e-03   2.606506e-30   1.104402e+00
5.565331e-03   5.179374e-29   1.130470e+00
5.669007e-03   9.315486e-28   1.155898e+00
5.774615e-03   1.367149e-26   1.179577e+00
5.882190e-03   1.475983e-25   1.200316e+00
5.991770e-03   1.056754e-24   1.216871e+00
6.103390e-03   4.634604e-24   1.228235e+00
6.217090e-03   1.298621e-23   1.234731e+00
6.332908e-03   2.518469e-23   1.237157e+00
6.450884e-03   3.662139e-23   1.236369e+00
6.571058e-03   4.325498e-23   1.233247e+00
6.693470e-03   4.495724e-23   1.228681e+00
6.818162e-03   4.454352e-23   1.223555e+00
6.945178e-03   4.557745e-23   1.218743e+00
7.074559e-03   5.199924e-23   1.215069e+00
