# C13 + He3 > C12 + a   [C13_He3__C12_a]   ref=TALYS2
# detailed balance: alpha=2.9513 beta=0 gamma=-181.394  Q=15.6313
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995694e-36 1.000000e+02
1.037605e-03 9.991768e-36 1.000000e+02
1.056935e-03 9.988210e-36 1.000000e+02
1.076624e-03 9.985007e-36 1.000000e+02
1.096681e-03 9.982147e-36 1.000000e+02
1.117111e-03 9.979618e-36 1.000000e+02
1.137921e-03 9.977408e-36 1.000000e+02
1.159120e-03 9.975503e-36 1.000000e+02
1.180713e-03 9.973892e-36 1.000000e+02
1.202708e-03 9.972563e-36 1.000000e+02
1.225114e-03 9.971504e-36 1.000000e+02
1.247936e-03 9.970702e-36 1.000000e+02
1.271184e-03 9.970145e-36 1.000000e+02
1.294865e-03 9.969821e-36 1.000000e+02
1.318987e-03 9.969719e-36 1.000000e+02
1.343558e-03 9.969826e-36 1.000000e+02
1.368587e-03 9.970129e-36 1.000000e+02
1.394083e-03 9.970618e-36 1.000000e+02
1.420053e-03 9.971279e-36 1.000000e+02
1.446507e-03 9.972102e-36 1.000000e+02
1.473454e-03 9.973073e-36 1.000000e+02
1.500903e-03 9.974182e-36 1.000000e+02
1.528864e-03 9.975415e-36 1.000000e+02
1.557345e-03 9.976762e-36 1.000000e+02
1.586357e-03 9.978209e-36 1.000000e+02
1.615909e-03 9.979745e-36 1.000000e+02
1.646012e-03 9.981359e-36 1.000000e+02
1.676675e-03 9.983037e-36 1.000000e+02
1.707910e-03 9.984768e-36 1.000000e+02
1.739726e-03 9.986539e-36 1.000000e+02
1.772136e-03 9.988340e-36 1.000000e+02
1.805149e-03 9.990157e-36 1.000000e+02
1.838777e-03 9.991979e-36 1.000000e+02
1.873032e-03 9.993793e-36 1.000000e+02
1.907924e-03 9.995588e-36 1.000000e+02
1.943467e-03 9.997352e-36 1.000000e+02
1.979672e-03 9.999071e-36 1.000000e+02
2.016551e-03 1.000074e-35 1.000000e+02
2.054117e-03 1.000233e-35 1.000000e+02
2.092383e-03 1.000385e-35 1.000000e+02
2.131362e-03 1.000527e-35 1.000000e+02
2.171068e-03 1.000659e-35 1.000000e+02
2.211512e-03 1.000779e-35 1.000000e+02
2.252711e-03 1.000887e-35 1.000000e+02
2.294676e-03 1.000980e-35 1.000000e+02
2.337424e-03 1.001058e-35 1.000000e+02
2.380968e-03 1.001120e-35 1.000000e+02
2.425323e-03 1.001164e-35 1.000000e+02
