# C13 + He3 > O15 + n   [C13_He3__O15_n]   ref=TALYS2
# detailed balance: alpha=4.172 beta=0 gamma=-82.7321  Q=7.1293
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995786e-36 1.000000e+02
1.037605e-03 9.991944e-36 1.000000e+02
1.056935e-03 9.988462e-36 1.000000e+02
1.076624e-03 9.985328e-36 1.000000e+02
1.096681e-03 9.982529e-36 1.000000e+02
1.117111e-03 9.980054e-36 1.000000e+02
1.137921e-03 9.977891e-36 1.000000e+02
1.159120e-03 9.976027e-36 1.000000e+02
1.180713e-03 9.974451e-36 1.000000e+02
1.202708e-03 9.973150e-36 1.000000e+02
1.225114e-03 9.972113e-36 1.000000e+02
1.247936e-03 9.971329e-36 1.000000e+02
1.271184e-03 9.970784e-36 1.000000e+02
1.294865e-03 9.970467e-36 1.000000e+02
1.318987e-03 9.970367e-36 1.000000e+02
1.343558e-03 9.970471e-36 1.000000e+02
1.368587e-03 9.970768e-36 1.000000e+02
1.394083e-03 9.971246e-36 1.000000e+02
1.420053e-03 9.971894e-36 1.000000e+02
1.446507e-03 9.972699e-36 1.000000e+02
1.473454e-03 9.973649e-36 1.000000e+02
1.500903e-03 9.974734e-36 1.000000e+02
1.528864e-03 9.975941e-36 1.000000e+02
1.557345e-03 9.977259e-36 1.000000e+02
1.586357e-03 9.978675e-36 1.000000e+02
1.615909e-03 9.980179e-36 1.000000e+02
1.646012e-03 9.981758e-36 1.000000e+02
1.676675e-03 9.983400e-36 1.000000e+02
1.707910e-03 9.985094e-36 1.000000e+02
1.739726e-03 9.986827e-36 1.000000e+02
1.772136e-03 9.988589e-36 1.000000e+02
1.805149e-03 9.990368e-36 1.000000e+02
1.838777e-03 9.992151e-36 1.000000e+02
1.873032e-03 9.993926e-36 1.000000e+02
1.907924e-03 9.995683e-36 1.000000e+02
1.943467e-03 9.997408e-36 1.000000e+02
1.979672e-03 9.999091e-36 1.000000e+02
2.016551e-03 1.000072e-35 1.000000e+02
2.054117e-03 1.000228e-35 1.000000e+02
2.092383e-03 1.000376e-35 1.000000e+02
2.131362e-03 1.000516e-35 1.000000e+02
2.171068e-03 1.000645e-35 1.000000e+02
2.211512e-03 1.000763e-35 1.000000e+02
2.252711e-03 1.000868e-35 1.000000e+02
2.294676e-03 1.000959e-35 1.000000e+02
2.337424e-03 1.001036e-35 1.000000e+02
2.380968e-03 1.001096e-35 1.000000e+02
2.425323e-03 1.001139e-35 1.000000e+02
2.470504e-03 1.001163e-35 1.000000e+02
2.516527e-03 1.001168e-35 1.000000e+02
2.563407e-03 1.001152e-35 1.000000e+02
2.611161e-03 1.001114e-35 1.000000e+02
2.659804e-03 1.001052e-35 1.000000e+02
2.709354e-03 1.000967e-35 1.000000e+02
2.759826e-03 1.000855e-35 1.000000e+02
2.811239e-03 1.000717e-35 1.000000e+02
2.863610e-03 1.000551e-35 1.000000e+02
