# C13 + d > B11 + a   [C13_d__B11_a]   ref=TALYS2
# detailed balance: alpha=0.68729 beta=0 gamma=-59.9711  Q=5.1679
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.016103e-35 1.000000e+02
1.037605e-03 1.028161e-35 1.000000e+02
1.056935e-03 1.036176e-35 1.000000e+02
1.076624e-03 1.040205e-35 1.000000e+02
1.096681e-03 1.040353e-35 1.000000e+02
1.117111e-03 1.036770e-35 1.000000e+02
1.137921e-03 1.029646e-35 1.000000e+02
1.159120e-03 1.019204e-35 1.000000e+02
1.180713e-03 1.005692e-35 1.000000e+02
1.202708e-03 9.893822e-36 1.000000e+02
1.225114e-03 9.705579e-36 1.000000e+02
1.247936e-03 9.495130e-36 1.000000e+02
1.271184e-03 9.265442e-36 1.000000e+02
1.294865e-03 9.019466e-36 1.000000e+02
1.318987e-03 8.760090e-36 1.000000e+02
1.343558e-03 8.490105e-36 1.000000e+02
1.368587e-03 8.212171e-36 1.000000e+02
1.394083e-03 7.928791e-36 1.000000e+02
1.420053e-03 7.642294e-36 1.000000e+02
1.446507e-03 7.354817e-36 1.000000e+02
1.473454e-03 7.068302e-36 1.000000e+02
1.500903e-03 6.784488e-36 1.000000e+02
1.528864e-03 6.504912e-36 1.000000e+02
1.557345e-03 6.230915e-36 1.000000e+02
1.586357e-03 5.963648e-36 1.000000e+02
1.615909e-03 5.704079e-36 1.000000e+02
1.646012e-03 5.453008e-36 1.000000e+02
1.676675e-03 5.211077e-36 1.000000e+02
1.707910e-03 4.978783e-36 1.000000e+02
1.739726e-03 4.756493e-36 1.000000e+02
1.772136e-03 4.544461e-36 1.000000e+02
1.805149e-03 4.342833e-36 1.000000e+02
1.838777e-03 4.151672e-36 1.000000e+02
1.873032e-03 3.970961e-36 1.000000e+02
1.907924e-03 3.800620e-36 1.000000e+02
1.943467e-03 3.640520e-36 1.000000e+02
1.979672e-03 3.490487e-36 1.000000e+02
2.016551e-03 3.350318e-36 1.000000e+02
2.054117e-03 3.219786e-36 1.000000e+02
2.092383e-03 3.098651e-36 1.000000e+02
2.131362e-03 2.986667e-36 1.000000e+02
2.171068e-03 2.883585e-36 1.000000e+02
2.211512e-03 2.789167e-36 1.000000e+02
2.252711e-03 2.703183e-36 1.000000e+02
2.294676e-03 2.625425e-36 1.000000e+02
2.337424e-03 2.555702e-36 1.000000e+02
2.380968e-03 2.493855e-36 1.000000e+02
2.425323e-03 2.439755e-36 1.000000e+02
2.470504e-03 2.393310e-36 1.000000e+02
2.516527e-03 2.354469e-36 1.000000e+02
2.563407e-03 2.323228e-36 1.000000e+02
2.611161e-03 2.299638e-36 1.000000e+02
2.659804e-03 2.283807e-36 1.000000e+02
2.709354e-03 2.275911e-36 1.000000e+02
2.759826e-03 2.276202e-36 1.000000e+02
2.811239e-03 2.285018e-36 1.000000e+02
2.863610e-03 2.302795e-36 1.000000e+02
2.916956e-03 2.330085e-36 1.000000e+02
2.971296e-03 2.367568e-36 1.000000e+02
3.026648e-03 2.416038e-36 1.000000e+02
3.083031e-03 2.475404e-36 1.000000e+02
3.140465e-03 2.544506e-36 1.000000e+02
3.198969e-03 2.622048e-36 1.000000e+02
3.258562e-03 2.706589e-36 1.000000e+02
3.319266e-03 2.796489e-36 1.000000e+02
3.381101e-03 2.889864e-36 1.000000e+02
3.444087e-03 2.984560e-36 1.000000e+02
3.508247e-03 3.078124e-36 1.000000e+02
3.573602e-03 3.167814e-36 1.000000e+02
3.640175e-03 3.250616e-36 1.000000e+02
3.707988e-03 3.323292e-36 1.000000e+02
3.777064e-03 3.382464e-36 1.000000e+02
3.847427e-03 3.424712e-36 1.000000e+02
3.919100e-03 3.446720e-36 1.000000e+02
3.992109e-03 3.445431e-36 1.000000e+02
4.066478e-03 3.420889e-36 1.000000e+02
4.142232e-03 3.388127e-36 1.000000e+02
4.219398e-03 3.366771e-36 1.000000e+02
4.298001e-03 3.376054e-36 1.000000e+02
4.378069e-03 3.436019e-36 1.000000e+02
4.459628e-03 3.569940e-36 1.000000e+02
4.542706e-03 3.808323e-36 1.000000e+02
4.627332e-03 4.195493e-36 1.000000e+02
4.713535e-03 4.800839e-36 1.000000e+02
4.801343e-03 5.739111e-36 1.000000e+02
4.890787e-03 7.208987e-36 1.000000e+02
4.981898e-03 9.570056e-36 1.000000e+02
5.074705e-03 1.349067e-35 1.000000e+02
5.169242e-03 2.014101e-35 1.000000e+02
5.265540e-03 3.165764e-35 1.000000e+02
5.363631e-03 5.207628e-35 1.000000e+02
5.463550e-03 8.912107e-35 1.000000e+02
5.565331e-03 1.577300e-34 1.000000e+02
5.669007e-03 2.869833e-34 1.000000e+02
5.774615e-03 5.336074e-34 1.000000e+02
5.882190e-03 1.007917e-33 1.000000e+02
5.991770e-03 1.922559e-33 1.000000e+02
6.103390e-03 3.685925e-33 1.000000e+02
6.217090e-03 7.113970e-33 1.000000e+02
6.332908e-03 1.387120e-32 1.000000e+02
6.450884e-03 2.742143e-32 1.000000e+02
6.571058e-03 5.515423e-32 1.000000e+02
6.693470e-03 1.132708e-31 1.000000e+02
6.818162e-03 2.383667e-31 1.000000e+02
6.945178e-03 5.158220e-31 1.000000e+02
7.074559e-03 1.151678e-30 1.000000e+02
7.206351e-03 2.652971e-30 1.000000e+02
7.340598e-03 6.287773e-30 1.000000e+02
7.477346e-03 1.528906e-29 1.000000e+02
7.616642e-03 3.803128e-29 1.000000e+02
7.758532e-03 9.650152e-29 1.000000e+02
7.903066e-03 2.490675e-28 1.000000e+02
8.050292e-03 6.520758e-28 1.000000e+02
8.200261e-03 1.738801e-27 1.000000e+02
8.353023e-03 4.791418e-27 1.000000e+02
8.508632e-03 1.385520e-26 1.000000e+02
8.667139e-03 4.269412e-26 1.000000e+02
8.828599e-03 1.423645e-25 1.000000e+02
8.993067e-03 5.216581e-25 1.000000e+02
9.160598e-03 2.109450e-24 1.000000e+02
9.331251e-03 8.989402e-24 1.000000e+02
9.505083e-03 3.800616e-23 1.000000e+02
9.682153e-03 1.500797e-22 1.000000e+02
9.862522e-03 5.210958e-22 1.000000e+02
1.004625e-02 1.498166e-21 1.000000e+02
1.023340e-02 3.488355e-21 1.000000e+02
1.042404e-02 6.925075e-21 1.000000e+02
1.061823e-02 1.244422e-20 1.000000e+02
1.081604e-02 2.149048e-20 1.000000e+02
1.101753e-02 3.786627e-20 1.000000e+02
1.122277e-02 7.107685e-20 1.000000e+02
1.143184e-02 1.409234e-19 1.000000e+02
1.164481e-02 2.897363e-19 1.000000e+02
1.186174e-02 6.064196e-19 1.000000e+02
1.208271e-02 1.268728e-18 1.000000e+02
1.230780e-02 2.630099e-18 1.000000e+02
1.253708e-02 5.426391e-18 1.000000e+02
1.277063e-02 1.120315e-17 1.000000e+02
1.300854e-02 2.327099e-17 1.000000e+02
1.325087e-02 4.883193e-17 1.000000e+02
1.349772e-02 1.034357e-16 1.000000e+02
