# C13 + t > N16 + g   [C13_t__N16_g]   ref=TALYS2
# detailed balance: alpha=3.028e+10 beta=1.5 gamma=-143.793  Q=12.3911
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.007333e-35 1.000000e+02
1.037605e-03 1.012733e-35 1.000000e+02
1.056935e-03 1.016239e-35 1.000000e+02
1.076624e-03 1.017901e-35 1.000000e+02
1.096681e-03 1.017779e-35 1.000000e+02
1.117111e-03 1.015945e-35 1.000000e+02
1.137921e-03 1.012477e-35 1.000000e+02
1.159120e-03 1.007460e-35 1.000000e+02
1.180713e-03 1.000988e-35 1.000000e+02
1.202708e-03 9.931570e-36 1.000000e+02
1.225114e-03 9.840667e-36 1.000000e+02
1.247936e-03 9.738203e-36 1.000000e+02
1.271184e-03 9.625218e-36 1.000000e+02
1.294865e-03 9.502758e-36 1.000000e+02
1.318987e-03 9.371863e-36 1.000000e+02
1.343558e-03 9.233563e-36 1.000000e+02
1.368587e-03 9.088864e-36 1.000000e+02
1.394083e-03 8.938748e-36 1.000000e+02
1.420053e-03 8.784165e-36 1.000000e+02
1.446507e-03 8.626026e-36 1.000000e+02
1.473454e-03 8.465205e-36 1.000000e+02
1.500903e-03 8.302529e-36 1.000000e+02
1.528864e-03 8.138783e-36 1.000000e+02
1.557345e-03 7.974703e-36 1.000000e+02
1.586357e-03 7.810978e-36 1.000000e+02
1.615909e-03 7.648250e-36 1.000000e+02
1.646012e-03 7.487111e-36 1.000000e+02
1.676675e-03 7.328109e-36 1.000000e+02
1.707910e-03 7.171745e-36 1.000000e+02
1.739726e-03 7.018478e-36 1.000000e+02
1.772136e-03 6.868725e-36 1.000000e+02
1.805149e-03 6.722862e-36 1.000000e+02
1.838777e-03 6.581229e-36 1.000000e+02
1.873032e-03 6.444132e-36 1.000000e+02
1.907924e-03 6.311846e-36 1.000000e+02
1.943467e-03 6.184616e-36 1.000000e+02
1.979672e-03 6.062660e-36 1.000000e+02
2.016551e-03 5.946177e-36 1.000000e+02
2.054117e-03 5.835343e-36 1.000000e+02
2.092383e-03 5.730319e-36 1.000000e+02
2.131362e-03 5.631251e-36 1.000000e+02
2.171068e-03 5.538274e-36 1.000000e+02
2.211512e-03 5.451518e-36 1.000000e+02
2.252711e-03 5.371107e-36 1.000000e+02
2.294676e-03 5.297161e-36 1.000000e+02
2.337424e-03 5.229807e-36 1.000000e+02
2.380968e-03 5.169171e-36 1.000000e+02
2.425323e-03 5.115392e-36 1.000000e+02
2.470504e-03 5.068618e-36 1.000000e+02
2.516527e-03 5.029012e-36 1.000000e+02
2.563407e-03 4.996755e-36 1.000000e+02
2.611161e-03 4.972052e-36 1.000000e+02
2.659804e-03 4.955133e-36 1.000000e+02
2.709354e-03 4.946259e-36 1.000000e+02
2.759826e-03 4.945727e-36 1.000000e+02
2.811239e-03 4.953876e-36 1.000000e+02
2.863610e-03 4.971090e-36 1.000000e+02
2.916956e-03 4.997807e-36 1.000000e+02
2.971296e-03 5.034526e-36 1.000000e+02
3.026648e-03 5.081775e-36 1.000000e+02
3.083031e-03 5.139132e-36 1.000000e+02
3.140465e-03 5.205110e-36 1.000000e+02
3.198969e-03 5.278129e-36 1.000000e+02
3.258562e-03 5.356535e-36 1.000000e+02
3.319266e-03 5.438581e-36 1.000000e+02
3.381101e-03 5.522416e-36 1.000000e+02
3.444087e-03 5.606069e-36 1.000000e+02
3.508247e-03 5.687448e-36 1.000000e+02
3.573602e-03 5.764348e-36 1.000000e+02
3.640175e-03 5.834459e-36 1.000000e+02
3.707988e-03 5.895393e-36 1.000000e+02
3.777064e-03 5.944708e-36 1.000000e+02
3.847427e-03 5.979955e-36 1.000000e+02
3.919100e-03 5.998725e-36 1.000000e+02
3.992109e-03 5.998706e-36 1.000000e+02
4.066478e-03 5.979920e-36 1.000000e+02
4.142232e-03 5.954491e-36 1.000000e+02
4.219398e-03 5.938502e-36 1.000000e+02
4.298001e-03 5.947904e-36 1.000000e+02
4.378069e-03 5.998980e-36 1.000000e+02
4.459628e-03 6.109267e-36 1.000000e+02
4.542706e-03 6.298988e-36 1.000000e+02
4.627332e-03 6.593168e-36 1.000000e+02
4.713535e-03 7.024750e-36 1.000000e+02
4.801343e-03 7.639287e-36 1.000000e+02
4.890787e-03 8.502206e-36 1.000000e+02
4.981898e-03 9.710444e-36 1.000000e+02
5.074705e-03 1.140624e-35 1.000000e+02
