# C14 + He3 > C13 + a   [C14He3TOC13a]   ref=TALYS2
# detailed balance: alpha=0.73097 beta=0 gamma=-143.91  Q=12.4012
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995735e-36 1.000000e+02
1.037605e-03 9.991847e-36 1.000000e+02
1.056935e-03 9.988323e-36 1.000000e+02
1.076624e-03 9.985151e-36 1.000000e+02
1.096681e-03 9.982319e-36 1.000000e+02
1.117111e-03 9.979814e-36 1.000000e+02
1.137921e-03 9.977625e-36 1.000000e+02
1.159120e-03 9.975738e-36 1.000000e+02
1.180713e-03 9.974143e-36 1.000000e+02
1.202708e-03 9.972827e-36 1.000000e+02
1.225114e-03 9.971777e-36 1.000000e+02
1.247936e-03 9.970983e-36 1.000000e+02
1.271184e-03 9.970431e-36 1.000000e+02
1.294865e-03 9.970111e-36 1.000000e+02
1.318987e-03 9.970009e-36 1.000000e+02
1.343558e-03 9.970115e-36 1.000000e+02
1.368587e-03 9.970416e-36 1.000000e+02
1.394083e-03 9.970900e-36 1.000000e+02
1.420053e-03 9.971555e-36 1.000000e+02
1.446507e-03 9.972370e-36 1.000000e+02
1.473454e-03 9.973332e-36 1.000000e+02
1.500903e-03 9.974430e-36 1.000000e+02
1.528864e-03 9.975651e-36 1.000000e+02
1.557345e-03 9.976985e-36 1.000000e+02
1.586357e-03 9.978418e-36 1.000000e+02
1.615909e-03 9.979940e-36 1.000000e+02
1.646012e-03 9.981538e-36 1.000000e+02
1.676675e-03 9.983200e-36 1.000000e+02
1.707910e-03 9.984914e-36 1.000000e+02
1.739726e-03 9.986669e-36 1.000000e+02
1.772136e-03 9.988452e-36 1.000000e+02
1.805149e-03 9.990252e-36 1.000000e+02
1.838777e-03 9.992056e-36 1.000000e+02
1.873032e-03 9.993853e-36 1.000000e+02
1.907924e-03 9.995631e-36 1.000000e+02
1.943467e-03 9.997377e-36 1.000000e+02
1.979672e-03 9.999080e-36 1.000000e+02
2.016551e-03 1.000073e-35 1.000000e+02
2.054117e-03 1.000231e-35 1.000000e+02
2.092383e-03 1.000381e-35 1.000000e+02
2.131362e-03 1.000522e-35 1.000000e+02
2.171068e-03 1.000653e-35 1.000000e+02
2.211512e-03 1.000772e-35 1.000000e+02
2.252711e-03 1.000878e-35 1.000000e+02
2.294676e-03 1.000971e-35 1.000000e+02
2.337424e-03 1.001048e-35 1.000000e+02
2.380968e-03 1.001109e-35 1.000000e+02
2.425323e-03 1.001153e-35 1.000000e+02
2.470504e-03 1.001177e-35 1.000000e+02
2.516527e-03 1.001182e-35 1.000000e+02
2.563407e-03 1.001166e-35 1.000000e+02
2.611161e-03 1.001127e-35 1.000000e+02
2.659804e-03 1.001065e-35 1.000000e+02
2.709354e-03 1.000978e-35 1.000000e+02
2.759826e-03 1.000865e-35 1.000000e+02
2.811239e-03 1.000726e-35 1.000000e+02
2.863610e-03 1.000557e-35 1.000000e+02
2.916956e-03 1.000360e-35 1.000000e+02
2.971296e-03 1.000131e-35 1.000000e+02
3.026648e-03 9.998716e-36 1.000000e+02
3.083031e-03 9.995857e-36 1.000000e+02
3.140465e-03 9.992862e-36 1.000000e+02
3.198969e-03 9.989858e-36 1.000000e+02
3.258562e-03 9.986971e-36 1.000000e+02
3.319266e-03 9.984328e-36 1.000000e+02
3.381101e-03 9.982056e-36 1.000000e+02
3.444087e-03 9.980280e-36 1.000000e+02
3.508247e-03 9.979129e-36 1.000000e+02
3.573602e-03 9.978727e-36 1.000000e+02
3.640175e-03 9.979202e-36 1.000000e+02
3.707988e-03 9.980681e-36 1.000000e+02
3.777064e-03 9.983290e-36 1.000000e+02
3.847427e-03 9.987157e-36 1.000000e+02
3.919100e-03 9.992411e-36 1.000000e+02
3.992109e-03 9.999181e-36 1.000000e+02
4.066478e-03 1.000749e-35 1.000000e+02
