# C14 + He3 > N16 + p   [C14He3TON16p]   ref=TALYS2
# detailed balance: alpha=0.84727 beta=0 gamma=-57.7723  Q=4.9784
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.995898e-36 1.000000e+02
1.037605e-03 9.992158e-36 1.000000e+02
1.056935e-03 9.988769e-36 1.000000e+02
1.076624e-03 9.985718e-36 1.000000e+02
1.096681e-03 9.982994e-36 1.000000e+02
1.117111e-03 9.980585e-36 1.000000e+02
1.137921e-03 9.978479e-36 1.000000e+02
1.159120e-03 9.976665e-36 1.000000e+02
1.180713e-03 9.975131e-36 1.000000e+02
1.202708e-03 9.973865e-36 1.000000e+02
1.225114e-03 9.972855e-36 1.000000e+02
1.247936e-03 9.972091e-36 1.000000e+02
1.271184e-03 9.971561e-36 1.000000e+02
1.294865e-03 9.971252e-36 1.000000e+02
1.318987e-03 9.971155e-36 1.000000e+02
1.343558e-03 9.971256e-36 1.000000e+02
1.368587e-03 9.971546e-36 1.000000e+02
1.394083e-03 9.972011e-36 1.000000e+02
1.420053e-03 9.972641e-36 1.000000e+02
1.446507e-03 9.973425e-36 1.000000e+02
1.473454e-03 9.974350e-36 1.000000e+02
1.500903e-03 9.975406e-36 1.000000e+02
1.528864e-03 9.976581e-36 1.000000e+02
1.557345e-03 9.977864e-36 1.000000e+02
1.586357e-03 9.979243e-36 1.000000e+02
1.615909e-03 9.980706e-36 1.000000e+02
1.646012e-03 9.982243e-36 1.000000e+02
1.676675e-03 9.983842e-36 1.000000e+02
1.707910e-03 9.985490e-36 1.000000e+02
1.739726e-03 9.987178e-36 1.000000e+02
1.772136e-03 9.988893e-36 1.000000e+02
1.805149e-03 9.990624e-36 1.000000e+02
1.838777e-03 9.992360e-36 1.000000e+02
1.873032e-03 9.994088e-36 1.000000e+02
1.907924e-03 9.995798e-36 1.000000e+02
1.943467e-03 9.997477e-36 1.000000e+02
1.979672e-03 9.999115e-36 1.000000e+02
2.016551e-03 1.000070e-35 1.000000e+02
2.054117e-03 1.000222e-35 1.000000e+02
2.092383e-03 1.000366e-35 1.000000e+02
2.131362e-03 1.000502e-35 1.000000e+02
2.171068e-03 1.000628e-35 1.000000e+02
2.211512e-03 1.000742e-35 1.000000e+02
2.252711e-03 1.000845e-35 1.000000e+02
2.294676e-03 1.000934e-35 1.000000e+02
