# C14 + p > N15 + g   [C14_p__N15_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=9.0059e+09 beta=1.5 gamma=-118.452  Q=10.2074
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.005075e-35   9.993989e+01
1.037605e-03   1.009725e-35   9.988510e+01
1.056935e-03   1.013961e-35   9.983545e+01
1.076624e-03   1.017789e-35   9.979076e+01
1.096681e-03   1.021221e-35   9.975087e+01
1.117111e-03   1.024267e-35   9.971559e+01
1.137921e-03   1.026937e-35   9.968475e+01
1.159120e-03   1.029243e-35   9.965819e+01
1.180713e-03   1.031198e-35   9.963573e+01
1.202708e-03   1.032814e-35   9.961720e+01
1.225114e-03   1.034105e-35   9.960242e+01
1.247936e-03   1.035083e-35   9.959124e+01
1.271184e-03   1.035762e-35   9.958347e+01
1.294865e-03   1.036157e-35   9.957896e+01
1.318987e-03   1.036283e-35   9.957753e+01
1.343558e-03   1.036153e-35   9.957902e+01
1.368587e-03   1.035782e-35   9.958325e+01
1.394083e-03   1.035185e-35   9.959006e+01
1.420053e-03   1.034379e-35   9.959929e+01
1.446507e-03   1.033376e-35   9.961076e+01
1.473454e-03   1.032194e-35   9.962431e+01
1.500903e-03   1.030846e-35   9.963977e+01
1.528864e-03   1.029350e-35   9.965697e+01
1.557345e-03   1.027718e-35   9.967575e+01
1.586357e-03   1.025968e-35   9.969593e+01
1.615909e-03   1.024113e-35   9.971736e+01
1.646012e-03   1.022170e-35   9.973986e+01
1.676675e-03   1.020152e-35   9.976327e+01
1.707910e-03   1.018076e-35   9.978742e+01
1.739726e-03   1.015955e-35   9.981214e+01
1.772136e-03   1.013805e-35   9.983726e+01
1.805149e-03   1.011640e-35   9.986262e+01
1.838777e-03   1.009475e-35   9.988804e+01
1.873032e-03   1.007323e-35   9.991337e+01
1.907924e-03   1.005199e-35   9.993842e+01
1.943467e-03   1.003118e-35   9.996303e+01
1.979672e-03   1.001092e-35   9.998704e+01
2.016551e-03   9.991363e-36   1.000103e+02
2.054117e-03   9.972644e-36   1.000325e+02
2.092383e-03   9.954898e-36   1.000537e+02
2.131362e-03   9.938262e-36   1.000736e+02
2.171068e-03   9.922872e-36   1.000920e+02
2.211512e-03   9.908862e-36   1.001088e+02
2.252711e-03   9.896366e-36   1.001238e+02
2.294676e-03   9.885520e-36   1.001369e+02
