# C15 + p > C14 + d   [C15_p__C14_d]   ref=TALYS2
# detailed balance: alpha=0.52378 beta=0 gamma=-11.6794  Q=1.0065
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.029664e-35 1.000000e+02
1.037605e-03 1.056819e-35 1.000000e+02
1.056935e-03 1.081385e-35 1.000000e+02
1.076624e-03 1.103316e-35 1.000000e+02
1.096681e-03 1.122598e-35 1.000000e+02
1.117111e-03 1.139247e-35 1.000000e+02
1.137921e-03 1.153311e-35 1.000000e+02
1.159120e-03 1.164860e-35 1.000000e+02
1.180713e-03 1.173994e-35 1.000000e+02
1.202708e-03 1.180829e-35 1.000000e+02
1.225114e-03 1.185502e-35 1.000000e+02
1.247936e-03 1.188165e-35 1.000000e+02
1.271184e-03 1.188982e-35 1.000000e+02
1.294865e-03 1.188126e-35 1.000000e+02
1.318987e-03 1.185779e-35 1.000000e+02
1.343558e-03 1.182127e-35 1.000000e+02
1.368587e-03 1.177356e-35 1.000000e+02
1.394083e-03 1.171657e-35 1.000000e+02
1.420053e-03 1.165216e-35 1.000000e+02
1.446507e-03 1.158220e-35 1.000000e+02
1.473454e-03 1.150851e-35 1.000000e+02
1.500903e-03 1.143288e-35 1.000000e+02
1.528864e-03 1.135704e-35 1.000000e+02
1.557345e-03 1.128271e-35 1.000000e+02
1.586357e-03 1.121152e-35 1.000000e+02
1.615909e-03 1.114509e-35 1.000000e+02
1.646012e-03 1.108500e-35 1.000000e+02
1.676675e-03 1.103281e-35 1.000000e+02
1.707910e-03 1.099003e-35 1.000000e+02
1.739726e-03 1.095822e-35 1.000000e+02
1.772136e-03 1.093889e-35 1.000000e+02
1.805149e-03 1.093364e-35 1.000000e+02
1.838777e-03 1.094406e-35 1.000000e+02
1.873032e-03 1.097185e-35 1.000000e+02
1.907924e-03 1.101878e-35 1.000000e+02
1.943467e-03 1.108676e-35 1.000000e+02
1.979672e-03 1.117784e-35 1.000000e+02
2.016551e-03 1.129428e-35 1.000000e+02
2.054117e-03 1.143855e-35 1.000000e+02
2.092383e-03 1.161344e-35 1.000000e+02
2.131362e-03 1.182205e-35 1.000000e+02
2.171068e-03 1.206789e-35 1.000000e+02
2.211512e-03 1.235498e-35 1.000000e+02
2.252711e-03 1.268789e-35 1.000000e+02
2.294676e-03 1.307189e-35 1.000000e+02
2.337424e-03 1.351307e-35 1.000000e+02
2.380968e-03 1.401849e-35 1.000000e+02
2.425323e-03 1.459638e-35 1.000000e+02
2.470504e-03 1.525634e-35 1.000000e+02
2.516527e-03 1.600965e-35 1.000000e+02
2.563407e-03 1.686959e-35 1.000000e+02
2.611161e-03 1.785186e-35 1.000000e+02
2.659804e-03 1.897508e-35 1.000000e+02
2.709354e-03 2.026141e-35 1.000000e+02
2.759826e-03 2.173737e-35 1.000000e+02
2.811239e-03 2.343473e-35 1.000000e+02
2.863610e-03 2.539182e-35 1.000000e+02
2.916956e-03 2.765499e-35 1.000000e+02
2.971296e-03 3.028056e-35 1.000000e+02
3.026648e-03 3.333696e-35 1.000000e+02
3.083031e-03 3.689975e-35 1.000000e+02
3.140465e-03 4.105028e-35 1.000000e+02
3.198969e-03 4.588384e-35 1.000000e+02
3.258562e-03 5.151213e-35 1.000000e+02
3.319266e-03 5.806585e-35 1.000000e+02
3.381101e-03 6.569751e-35 1.000000e+02
3.444087e-03 7.458460e-35 1.000000e+02
3.508247e-03 8.493309e-35 1.000000e+02
3.573602e-03 9.698120e-35 1.000000e+02
3.640175e-03 1.110034e-34 1.000000e+02
3.707988e-03 1.273147e-34 1.000000e+02
3.777064e-03 1.462749e-34 1.000000e+02
3.847427e-03 1.682927e-34 1.000000e+02
3.919100e-03 1.938297e-34 1.000000e+02
3.992109e-03 2.234036e-34 1.000000e+02
4.066478e-03 2.577195e-34 1.000000e+02
4.142232e-03 2.984443e-34 1.000000e+02
4.219398e-03 3.482746e-34 1.000000e+02
4.298001e-03 4.111559e-34 1.000000e+02
4.378069e-03 4.929485e-34 1.000000e+02
4.459628e-03 6.025466e-34 1.000000e+02
4.542706e-03 7.538029e-34 1.000000e+02
4.627332e-03 9.689177e-34 1.000000e+02
4.713535e-03 1.284582e-33 1.000000e+02
4.801343e-03 1.763464e-33 1.000000e+02
4.890787e-03 2.516430e-33 1.000000e+02
4.981898e-03 3.747148e-33 1.000000e+02
5.074705e-03 5.841178e-33 1.000000e+02
5.169242e-03 9.514685e-33 1.000000e+02
5.265540e-03 1.612974e-32 1.000000e+02
5.363631e-03 2.834262e-32 1.000000e+02
5.463550e-03 5.141296e-32 1.000000e+02
5.565331e-03 9.588833e-32 1.000000e+02
5.669007e-03 1.831302e-31 1.000000e+02
5.774615e-03 3.566938e-31 1.000000e+02
5.882190e-03 7.056886e-31 1.000000e+02
5.991770e-03 1.412385e-30 1.000000e+02
6.103390e-03 2.850671e-30 1.000000e+02
6.217090e-03 5.810098e-30 1.000000e+02
6.332908e-03 1.199116e-29 1.000000e+02
6.450884e-03 2.512924e-29 1.000000e+02
6.571058e-03 5.362131e-29 1.000000e+02
6.693470e-03 1.168247e-28 1.000000e+02
6.818162e-03 2.605973e-28 1.000000e+02
6.945178e-03 5.968191e-28 1.000000e+02
7.074559e-03 1.406947e-27 1.000000e+02
7.206351e-03 3.413212e-27 1.000000e+02
7.340598e-03 8.498998e-27 1.000000e+02
7.477346e-03 2.166353e-26 1.000000e+02
7.616642e-03 5.637497e-26 1.000000e+02
7.758532e-03 1.493747e-25 1.000000e+02
7.903066e-03 4.019199e-25 1.000000e+02
8.050292e-03 1.095372e-24 1.000000e+02
8.200261e-03 3.035652e-24 1.000000e+02
8.353023e-03 8.674069e-24 1.000000e+02
8.508632e-03 2.593270e-23 1.000000e+02
8.667139e-03 8.231897e-23 1.000000e+02
8.828599e-03 2.815485e-22 1.000000e+02
8.993067e-03 1.052885e-21 1.000000e+02
9.160598e-03 4.322032e-21 1.000000e+02
9.331251e-03 1.862123e-20 1.000000e+02
9.505083e-03 7.941072e-20 1.000000e+02
9.682153e-03 3.161088e-19 1.000000e+02
9.862522e-03 1.107687e-18 1.000000e+02
1.004625e-02 3.223222e-18 1.000000e+02
1.023340e-02 7.624285e-18 1.000000e+02
1.042404e-02 1.542074e-17 1.000000e+02
1.061823e-02 2.828502e-17 1.000000e+02
1.081604e-02 4.990008e-17 1.000000e+02
1.101753e-02 8.980160e-17 1.000000e+02
1.122277e-02 1.719973e-16 1.000000e+02
1.143184e-02 3.476798e-16 1.000000e+02
1.164481e-02 7.284040e-16 1.000000e+02
1.186174e-02 1.553155e-15 1.000000e+02
1.208271e-02 3.310620e-15 1.000000e+02
1.230780e-02 6.993514e-15 1.000000e+02
1.253708e-02 1.470476e-14 1.000000e+02
1.277063e-02 3.093868e-14 1.000000e+02
1.300854e-02 6.548352e-14 1.000000e+02
1.325087e-02 1.399839e-13 1.000000e+02
1.349772e-02 3.019948e-13 1.000000e+02
1.374917e-02 6.562814e-13 1.000000e+02
1.400531e-02 1.433984e-12 1.000000e+02
1.426621e-02 3.145661e-12 1.000000e+02
1.453198e-02 6.926707e-12 1.000000e+02
1.480269e-02 1.531300e-11 1.000000e+02
1.507845e-02 3.399247e-11 1.000000e+02
1.535935e-02 7.576799e-11 1.000000e+02
1.564548e-02 1.695197e-10 1.000000e+02
1.593694e-02 3.805593e-10 1.000000e+02
1.623382e-02 8.568787e-10 1.000000e+02
1.653624e-02 1.934033e-09 1.000000e+02
1.684430e-02 4.372944e-09 1.000000e+02
1.715809e-02 9.898461e-09 1.000000e+02
1.747773e-02 2.241626e-08 1.000000e+02
