# C15 + p > N15 + n   [C15_p__N15_n]   ref=TALYS2
# detailed balance: alpha=0.9998 beta=0 gamma=-104.317  Q=8.9893
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.037816e-35 1.000000e+02
1.037605e-03 1.074442e-35 1.000000e+02
1.056935e-03 1.109817e-35 1.000000e+02
1.076624e-03 1.143901e-35 1.000000e+02
1.096681e-03 1.176681e-35 1.000000e+02
1.117111e-03 1.208162e-35 1.000000e+02
1.137921e-03 1.238373e-35 1.000000e+02
1.159120e-03 1.267365e-35 1.000000e+02
1.180713e-03 1.295205e-35 1.000000e+02
1.202708e-03 1.321985e-35 1.000000e+02
1.225114e-03 1.347809e-35 1.000000e+02
1.247936e-03 1.372803e-35 1.000000e+02
1.271184e-03 1.397107e-35 1.000000e+02
1.294865e-03 1.420875e-35 1.000000e+02
1.318987e-03 1.444278e-35 1.000000e+02
1.343558e-03 1.467500e-35 1.000000e+02
1.368587e-03 1.490737e-35 1.000000e+02
1.394083e-03 1.514200e-35 1.000000e+02
1.420053e-03 1.538113e-35 1.000000e+02
1.446507e-03 1.562716e-35 1.000000e+02
1.473454e-03 1.588261e-35 1.000000e+02
1.500903e-03 1.615018e-35 1.000000e+02
1.528864e-03 1.643274e-35 1.000000e+02
1.557345e-03 1.673338e-35 1.000000e+02
1.586357e-03 1.705539e-35 1.000000e+02
1.615909e-03 1.740234e-35 1.000000e+02
1.646012e-03 1.777810e-35 1.000000e+02
1.676675e-03 1.818688e-35 1.000000e+02
1.707910e-03 1.863330e-35 1.000000e+02
1.739726e-03 1.912246e-35 1.000000e+02
1.772136e-03 1.966000e-35 1.000000e+02
1.805149e-03 2.025223e-35 1.000000e+02
1.838777e-03 2.090621e-35 1.000000e+02
1.873032e-03 2.162990e-35 1.000000e+02
1.907924e-03 2.243231e-35 1.000000e+02
1.943467e-03 2.332368e-35 1.000000e+02
1.979672e-03 2.431576e-35 1.000000e+02
2.016551e-03 2.542199e-35 1.000000e+02
2.054117e-03 2.665789e-35 1.000000e+02
2.092383e-03 2.804143e-35 1.000000e+02
2.131362e-03 2.959350e-35 1.000000e+02
2.171068e-03 3.133848e-35 1.000000e+02
2.211512e-03 3.330492e-35 1.000000e+02
2.252711e-03 3.552641e-35 1.000000e+02
2.294676e-03 3.804261e-35 1.000000e+02
2.337424e-03 4.090054e-35 1.000000e+02
2.380968e-03 4.415613e-35 1.000000e+02
2.425323e-03 4.787621e-35 1.000000e+02
2.470504e-03 5.214095e-35 1.000000e+02
2.516527e-03 5.704692e-35 1.000000e+02
2.563407e-03 6.271089e-35 1.000000e+02
2.611161e-03 6.927474e-35 1.000000e+02
2.659804e-03 7.691156e-35 1.000000e+02
2.709354e-03 8.583347e-35 1.000000e+02
2.759826e-03 9.630162e-35 1.000000e+02
2.811239e-03 1.086391e-34 1.000000e+02
2.863610e-03 1.232473e-34 1.000000e+02
2.916956e-03 1.406280e-34 1.000000e+02
2.971296e-03 1.614106e-34 1.000000e+02
3.026648e-03 1.863893e-34 1.000000e+02
3.083031e-03 2.165537e-34 1.000000e+02
3.140465e-03 2.531372e-34 1.000000e+02
3.198969e-03 2.977014e-34 1.000000e+02
3.258562e-03 3.522318e-34 1.000000e+02
3.319266e-03 4.192640e-34 1.000000e+02
3.381101e-03 5.020493e-34 1.000000e+02
3.444087e-03 6.047746e-34 1.000000e+02
3.508247e-03 7.328539e-34 1.000000e+02
3.573602e-03 8.933190e-34 1.000000e+02
3.640175e-03 1.095341e-33 1.000000e+02
3.707988e-03 1.350935e-33 1.000000e+02
3.777064e-03 1.675908e-33 1.000000e+02
3.847427e-03 2.091150e-33 1.000000e+02
3.919100e-03 2.624386e-33 1.000000e+02
3.992109e-03 3.312580e-33 1.000000e+02
4.066478e-03 4.206475e-33 1.000000e+02
4.142232e-03 5.384079e-33 1.000000e+02
4.219398e-03 6.963345e-33 1.000000e+02
4.298001e-03 9.122424e-33 1.000000e+02
4.378069e-03 1.213558e-32 1.000000e+02
4.459628e-03 1.643394e-32 1.000000e+02
4.542706e-03 2.271044e-32 1.000000e+02
4.627332e-03 3.210590e-32 1.000000e+02
4.713535e-03 4.654700e-32 1.000000e+02
4.801343e-03 6.937750e-32 1.000000e+02
4.890787e-03 1.065708e-31 1.000000e+02
4.981898e-03 1.691306e-31 1.000000e+02
5.074705e-03 2.778767e-31 1.000000e+02
5.169242e-03 4.720725e-31 1.000000e+02
5.265540e-03 8.270883e-31 1.000000e+02
5.363631e-03 1.490523e-30 1.000000e+02
5.463550e-03 2.755663e-30 1.000000e+02
5.565331e-03 5.212800e-30 1.000000e+02
5.669007e-03 1.006307e-29 1.000000e+02
5.774615e-03 1.977252e-29 1.000000e+02
5.882190e-03 3.943863e-29 1.000000e+02
5.991770e-03 7.964665e-29 1.000000e+02
6.103390e-03 1.625286e-28 1.000000e+02
6.217090e-03 3.355132e-28 1.000000e+02
6.332908e-03 7.021601e-28 1.000000e+02
6.450884e-03 1.492926e-27 1.000000e+02
6.571058e-03 3.231802e-27 1.000000e+02
6.693470e-03 7.138136e-27 1.000000e+02
6.818162e-03 1.612083e-26 1.000000e+02
6.945178e-03 3.730624e-26 1.000000e+02
7.074559e-03 8.864074e-26 1.000000e+02
7.206351e-03 2.161575e-25 1.000000e+02
7.340598e-03 5.397135e-25 1.000000e+02
7.477346e-03 1.376439e-24 1.000000e+02
7.616642e-03 3.576819e-24 1.000000e+02
7.758532e-03 9.447743e-24 1.000000e+02
7.903066e-03 2.530437e-23 1.000000e+02
8.050292e-03 6.856304e-23 1.000000e+02
8.200261e-03 1.886290e-22 1.000000e+02
8.353023e-03 5.337299e-22 1.000000e+02
8.508632e-03 1.574470e-21 1.000000e+02
8.667139e-03 4.908536e-21 1.000000e+02
8.828599e-03 1.639379e-20 1.000000e+02
8.993067e-03 5.945953e-20 1.000000e+02
9.160598e-03 2.350276e-19 1.000000e+02
9.331251e-03 9.707819e-19 1.000000e+02
9.505083e-03 3.966193e-18 1.000000e+02
9.682153e-03 1.517116e-17 1.000000e+02
9.862522e-03 5.142805e-17 1.000000e+02
1.004625e-02 1.462803e-16 1.000000e+02
1.023340e-02 3.422670e-16 1.000000e+02
1.042404e-02 6.910221e-16 1.000000e+02
1.061823e-02 1.272609e-15 1.000000e+02
1.081604e-02 2.259970e-15 1.000000e+02
1.101753e-02 4.091099e-15 1.000000e+02
1.122277e-02 7.857769e-15 1.000000e+02
1.143184e-02 1.588712e-14 1.000000e+02
1.164481e-02 3.323741e-14 1.000000e+02
1.186174e-02 7.072853e-14 1.000000e+02
1.208271e-02 1.505149e-13 1.000000e+02
1.230780e-02 3.177076e-13 1.000000e+02
1.253708e-02 6.679070e-13 1.000000e+02
