# C15 + p > N16 + g   [C15_p__N16_g]   ref=TALYS2
# detailed balance: alpha=7.2541e+09 beta=1.5 gamma=-133.201  Q=11.4784
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.015774e-35 1.000000e+02
1.037605e-03 1.027573e-35 1.000000e+02
1.056935e-03 1.035403e-35 1.000000e+02
1.076624e-03 1.039320e-35 1.000000e+02
1.096681e-03 1.039430e-35 1.000000e+02
1.117111e-03 1.035880e-35 1.000000e+02
1.137921e-03 1.028855e-35 1.000000e+02
1.159120e-03 1.018573e-35 1.000000e+02
1.180713e-03 1.005277e-35 1.000000e+02
1.202708e-03 9.892309e-36 1.000000e+02
1.225114e-03 9.707110e-36 1.000000e+02
1.247936e-03 9.500037e-36 1.000000e+02
1.271184e-03 9.273977e-36 1.000000e+02
1.294865e-03 9.031808e-36 1.000000e+02
1.318987e-03 8.776345e-36 1.000000e+02
1.343558e-03 8.510313e-36 1.000000e+02
1.368587e-03 8.236308e-36 1.000000e+02
1.394083e-03 7.956780e-36 1.000000e+02
1.420053e-03 7.674009e-36 1.000000e+02
1.446507e-03 7.390093e-36 1.000000e+02
1.473454e-03 7.106938e-36 1.000000e+02
1.500903e-03 6.826257e-36 1.000000e+02
1.528864e-03 6.549570e-36 1.000000e+02
1.557345e-03 6.278202e-36 1.000000e+02
1.586357e-03 6.013298e-36 1.000000e+02
1.615909e-03 5.755823e-36 1.000000e+02
1.646012e-03 5.506580e-36 1.000000e+02
1.676675e-03 5.266216e-36 1.000000e+02
1.707910e-03 5.035239e-36 1.000000e+02
1.739726e-03 4.814029e-36 1.000000e+02
1.772136e-03 4.602850e-36 1.000000e+02
1.805149e-03 4.401868e-36 1.000000e+02
1.838777e-03 4.211160e-36 1.000000e+02
1.873032e-03 4.030726e-36 1.000000e+02
1.907924e-03 3.860507e-36 1.000000e+02
1.943467e-03 3.700388e-36 1.000000e+02
1.979672e-03 3.550213e-36 1.000000e+02
2.016551e-03 3.409795e-36 1.000000e+02
