# C15 + a > O19 + g   [C15aTOO19g]   ref=TALYS2
# detailed balance: alpha=1.8492e+10 beta=1.5 gamma=-104.013  Q=8.9631
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.997649e-36 1.000000e+02
1.037605e-03 9.995506e-36 1.000000e+02
1.056935e-03 9.993563e-36 1.000000e+02
1.076624e-03 9.991813e-36 1.000000e+02
1.096681e-03 9.990251e-36 1.000000e+02
1.117111e-03 9.988870e-36 1.000000e+02
1.137921e-03 9.987662e-36 1.000000e+02
1.159120e-03 9.986621e-36 1.000000e+02
1.180713e-03 9.985741e-36 1.000000e+02
1.202708e-03 9.985015e-36 1.000000e+02
1.225114e-03 9.984436e-36 1.000000e+02
1.247936e-03 9.983997e-36 1.000000e+02
1.271184e-03 9.983693e-36 1.000000e+02
1.294865e-03 9.983516e-36 1.000000e+02
1.318987e-03 9.983460e-36 1.000000e+02
1.343558e-03 9.983518e-36 1.000000e+02
1.368587e-03 9.983684e-36 1.000000e+02
1.394083e-03 9.983951e-36 1.000000e+02
1.420053e-03 9.984313e-36 1.000000e+02
1.446507e-03 9.984762e-36 1.000000e+02
1.473454e-03 9.985293e-36 1.000000e+02
1.500903e-03 9.985899e-36 1.000000e+02
1.528864e-03 9.986573e-36 1.000000e+02
1.557345e-03 9.987309e-36 1.000000e+02
1.586357e-03 9.988100e-36 1.000000e+02
1.615909e-03 9.988939e-36 1.000000e+02
1.646012e-03 9.989820e-36 1.000000e+02
1.676675e-03 9.990737e-36 1.000000e+02
1.707910e-03 9.991683e-36 1.000000e+02
1.739726e-03 9.992650e-36 1.000000e+02
1.772136e-03 9.993634e-36 1.000000e+02
1.805149e-03 9.994626e-36 1.000000e+02
1.838777e-03 9.995621e-36 1.000000e+02
1.873032e-03 9.996612e-36 1.000000e+02
1.907924e-03 9.997592e-36 1.000000e+02
1.943467e-03 9.998554e-36 1.000000e+02
1.979672e-03 9.999493e-36 1.000000e+02
2.016551e-03 1.000040e-35 1.000000e+02
2.054117e-03 1.000127e-35 1.000000e+02
2.092383e-03 1.000210e-35 1.000000e+02
2.131362e-03 1.000288e-35 1.000000e+02
2.171068e-03 1.000360e-35 1.000000e+02
2.211512e-03 1.000425e-35 1.000000e+02
2.252711e-03 1.000484e-35 1.000000e+02
2.294676e-03 1.000535e-35 1.000000e+02
2.337424e-03 1.000578e-35 1.000000e+02
2.380968e-03 1.000611e-35 1.000000e+02
2.425323e-03 1.000635e-35 1.000000e+02
2.470504e-03 1.000649e-35 1.000000e+02
2.516527e-03 1.000651e-35 1.000000e+02
2.563407e-03 1.000642e-35 1.000000e+02
2.611161e-03 1.000621e-35 1.000000e+02
2.659804e-03 1.000587e-35 1.000000e+02
2.709354e-03 1.000539e-35 1.000000e+02
2.759826e-03 1.000477e-35 1.000000e+02
2.811239e-03 1.000400e-35 1.000000e+02
2.863610e-03 1.000307e-35 1.000000e+02
2.916956e-03 1.000198e-35 1.000000e+02
2.971296e-03 1.000072e-35 1.000000e+02
3.026648e-03 9.999292e-36 1.000000e+02
3.083031e-03 9.997716e-36 1.000000e+02
3.140465e-03 9.996065e-36 1.000000e+02
3.198969e-03 9.994409e-36 1.000000e+02
3.258562e-03 9.992817e-36 1.000000e+02
3.319266e-03 9.991359e-36 1.000000e+02
3.381101e-03 9.990106e-36 1.000000e+02
3.444087e-03 9.989127e-36 1.000000e+02
3.508247e-03 9.988492e-36 1.000000e+02
3.573602e-03 9.988270e-36 1.000000e+02
3.640175e-03 9.988532e-36 1.000000e+02
3.707988e-03 9.989348e-36 1.000000e+02
3.777064e-03 9.990787e-36 1.000000e+02
3.847427e-03 9.992920e-36 1.000000e+02
3.919100e-03 9.995817e-36 1.000000e+02
3.992109e-03 9.999548e-36 1.000000e+02
4.066478e-03 1.000413e-35 1.000000e+02
4.142232e-03 1.000927e-35 1.000000e+02
4.219398e-03 1.001456e-35 1.000000e+02
4.298001e-03 1.001960e-35 1.000000e+02
4.378069e-03 1.002399e-35 1.000000e+02
4.459628e-03 1.002733e-35 1.000000e+02
4.542706e-03 1.002921e-35 1.000000e+02
4.627332e-03 1.002924e-35 1.000000e+02
4.713535e-03 1.002699e-35 1.000000e+02
4.801343e-03 1.002208e-35 1.000000e+02
4.890787e-03 1.001411e-35 1.000000e+02
4.981898e-03 1.000269e-35 1.000000e+02
5.074705e-03 9.987506e-36 1.000000e+02
5.169242e-03 9.968973e-36 1.000000e+02
5.265540e-03 9.947790e-36 1.000000e+02
5.363631e-03 9.924658e-36 1.000000e+02
5.463550e-03 9.900275e-36 1.000000e+02
5.565331e-03 9.875330e-36 1.000000e+02
5.669007e-03 9.850507e-36 1.000000e+02
5.774615e-03 9.826485e-36 1.000000e+02
5.882190e-03 9.803932e-36 1.000000e+02
5.991770e-03 9.783515e-36 1.000000e+02
6.103390e-03 9.765739e-36 1.000000e+02
6.217090e-03 9.750342e-36 1.000000e+02
6.332908e-03 9.736825e-36 1.000000e+02
6.450884e-03 9.724691e-36 1.000000e+02
6.571058e-03 9.713449e-36 1.000000e+02
6.693470e-03 9.702609e-36 1.000000e+02
6.818162e-03 9.691684e-36 1.000000e+02
6.945178e-03 9.680189e-36 1.000000e+02
7.074559e-03 9.667717e-36 1.000000e+02
7.206351e-03 9.655141e-36 1.000000e+02
7.340598e-03 9.644377e-36 1.000000e+02
7.477346e-03 9.637364e-36 1.000000e+02
7.616642e-03 9.636040e-36 1.000000e+02
7.758532e-03 9.642350e-36 1.000000e+02
7.903066e-03 9.658258e-36 1.000000e+02
8.050292e-03 9.685703e-36 1.000000e+02
8.200261e-03 9.722962e-36 1.000000e+02
8.353023e-03 9.762622e-36 1.000000e+02
8.508632e-03 9.796680e-36 1.000000e+02
8.667139e-03 9.817027e-36 1.000000e+02
8.828599e-03 9.815529e-36 1.000000e+02
8.993067e-03 9.784174e-36 1.000000e+02
9.160598e-03 9.721739e-36 1.000000e+02
9.331251e-03 9.656370e-36 1.000000e+02
9.505083e-03 9.623775e-36 1.000000e+02
9.682153e-03 9.659400e-36 1.000000e+02
9.862522e-03 9.800300e-36 1.000000e+02
1.004625e-02 1.008826e-35 1.000000e+02
1.023340e-02 1.054972e-35 1.000000e+02
1.042404e-02 1.116992e-35 1.000000e+02
1.061823e-02 1.192744e-35 1.000000e+02
1.081604e-02 1.279488e-35 1.000000e+02
1.101753e-02 1.373476e-35 1.000000e+02
1.122277e-02 1.471241e-35 1.000000e+02
1.143184e-02 1.573566e-35 1.000000e+02
1.164481e-02 1.682559e-35 1.000000e+02
1.186174e-02 1.800883e-35 1.000000e+02
1.208271e-02 1.931838e-35 1.000000e+02
