# C9 + d > C10 + p   [C9_d__C10_p]   ref=TALYS2
# detailed balance: alpha=14.511 beta=0 gamma=-221.165  Q=19.0586
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.016474e-35 1.000000e+02
1.037605e-03 1.028923e-35 1.000000e+02
1.056935e-03 1.037344e-35 1.000000e+02
1.076624e-03 1.041791e-35 1.000000e+02
1.096681e-03 1.042365e-35 1.000000e+02
1.117111e-03 1.039213e-35 1.000000e+02
1.137921e-03 1.032520e-35 1.000000e+02
1.159120e-03 1.022506e-35 1.000000e+02
1.180713e-03 1.009415e-35 1.000000e+02
1.202708e-03 9.935166e-36 1.000000e+02
1.225114e-03 9.750911e-36 1.000000e+02
1.247936e-03 9.544298e-36 1.000000e+02
1.271184e-03 9.318273e-36 1.000000e+02
1.294865e-03 9.075768e-36 1.000000e+02
1.318987e-03 8.819657e-36 1.000000e+02
1.343558e-03 8.552722e-36 1.000000e+02
1.368587e-03 8.277614e-36 1.000000e+02
1.394083e-03 7.996833e-36 1.000000e+02
1.420053e-03 7.712708e-36 1.000000e+02
1.446507e-03 7.427379e-36 1.000000e+02
1.473454e-03 7.142792e-36 1.000000e+02
1.500903e-03 6.860693e-36 1.000000e+02
1.528864e-03 6.582632e-36 1.000000e+02
1.557345e-03 6.309958e-36 1.000000e+02
1.586357e-03 6.043836e-36 1.000000e+02
1.615909e-03 5.785249e-36 1.000000e+02
1.646012e-03 5.535011e-36 1.000000e+02
1.676675e-03 5.293780e-36 1.000000e+02
1.707910e-03 5.062070e-36 1.000000e+02
1.739726e-03 4.840264e-36 1.000000e+02
1.772136e-03 4.628632e-36 1.000000e+02
1.805149e-03 4.427338e-36 1.000000e+02
1.838777e-03 4.236460e-36 1.000000e+02
1.873032e-03 4.055999e-36 1.000000e+02
1.907924e-03 3.885891e-36 1.000000e+02
1.943467e-03 3.726023e-36 1.000000e+02
1.979672e-03 3.576238e-36 1.000000e+02
2.016551e-03 3.436347e-36 1.000000e+02
2.054117e-03 3.306142e-36 1.000000e+02
2.092383e-03 3.185396e-36 1.000000e+02
2.131362e-03 3.073880e-36 1.000000e+02
2.171068e-03 2.971363e-36 1.000000e+02
2.211512e-03 2.877622e-36 1.000000e+02
2.252711e-03 2.792448e-36 1.000000e+02
2.294676e-03 2.715647e-36 1.000000e+02
2.337424e-03 2.647052e-36 1.000000e+02
2.380968e-03 2.586524e-36 1.000000e+02
2.425323e-03 2.533957e-36 1.000000e+02
2.470504e-03 2.489285e-36 1.000000e+02
2.516527e-03 2.452485e-36 1.000000e+02
2.563407e-03 2.423587e-36 1.000000e+02
2.611161e-03 2.402675e-36 1.000000e+02
2.659804e-03 2.389899e-36 1.000000e+02
2.709354e-03 2.385482e-36 1.000000e+02
2.759826e-03 2.389728e-36 1.000000e+02
2.811239e-03 2.403039e-36 1.000000e+02
2.863610e-03 2.425922e-36 1.000000e+02
2.916956e-03 2.459010e-36 1.000000e+02
2.971296e-03 2.503084e-36 1.000000e+02
3.026648e-03 2.559048e-36 1.000000e+02
3.083031e-03 2.626890e-36 1.000000e+02
3.140465e-03 2.705472e-36 1.000000e+02
3.198969e-03 2.793507e-36 1.000000e+02
3.258562e-03 2.889551e-36 1.000000e+02
3.319266e-03 2.991940e-36 1.000000e+02
3.381101e-03 3.098741e-36 1.000000e+02
3.444087e-03 3.207715e-36 1.000000e+02
3.508247e-03 3.316289e-36 1.000000e+02
3.573602e-03 3.421551e-36 1.000000e+02
3.640175e-03 3.520270e-36 1.000000e+02
3.707988e-03 3.608936e-36 1.000000e+02
3.777064e-03 3.683841e-36 1.000000e+02
3.847427e-03 3.741183e-36 1.000000e+02
3.919100e-03 3.777213e-36 1.000000e+02
3.992109e-03 3.788407e-36 1.000000e+02
4.066478e-03 3.774577e-36 1.000000e+02
4.142232e-03 3.752023e-36 1.000000e+02
4.219398e-03 3.742352e-36 1.000000e+02
