# C9 + n > C10 + g   [C9_n__C10_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=6.8465e+10 beta=1.5 gamma=-246.98  Q=21.2831
# T9                 rate                error
1.000000e-03   3.709700e+04   1.000000e+02
1.018629e-03   3.707519e+04   1.000000e+02
1.037605e-03   3.705364e+04   1.000000e+02
1.056935e-03   3.703234e+04   1.000000e+02
1.076624e-03   3.701129e+04   1.000000e+02
1.096681e-03   3.699051e+04   1.000000e+02
1.117111e-03   3.696998e+04   1.000000e+02
1.137921e-03   3.694972e+04   1.000000e+02
1.159120e-03   3.692973e+04   1.000000e+02
1.180713e-03   3.691000e+04   1.000000e+02
1.202708e-03   3.689055e+04   1.000000e+02
1.225114e-03   3.687137e+04   1.000000e+02
1.247936e-03   3.685246e+04   1.000000e+02
1.271184e-03   3.683383e+04   1.000000e+02
1.294865e-03   3.681549e+04   1.000000e+02
1.318987e-03   3.679742e+04   1.000000e+02
1.343558e-03   3.677964e+04   1.000000e+02
1.368587e-03   3.676214e+04   1.000000e+02
1.394083e-03   3.674494e+04   1.000000e+02
1.420053e-03   3.672803e+04   1.000000e+02
1.446507e-03   3.671141e+04   1.000000e+02
1.473454e-03   3.669508e+04   1.000000e+02
1.500903e-03   3.667906e+04   1.000000e+02
1.528864e-03   3.666333e+04   1.000000e+02
1.557345e-03   3.664791e+04   1.000000e+02
1.586357e-03   3.663280e+04   1.000000e+02
1.615909e-03   3.661799e+04   1.000000e+02
1.646012e-03   3.660349e+04   1.000000e+02
1.676675e-03   3.658931e+04   1.000000e+02
1.707910e-03   3.657544e+04   1.000000e+02
1.739726e-03   3.656188e+04   1.000000e+02
1.772136e-03   3.654865e+04   1.000000e+02
1.805149e-03   3.653574e+04   1.000000e+02
1.838777e-03   3.652315e+04   1.000000e+02
1.873032e-03   3.651089e+04   1.000000e+02
1.907924e-03   3.649896e+04   1.000000e+02
1.943467e-03   3.648736e+04   1.000000e+02
1.979672e-03   3.647609e+04   1.000000e+02
2.016551e-03   3.646516e+04   1.000000e+02
2.054117e-03   3.645457e+04   1.000000e+02
2.092383e-03   3.644432e+04   1.000000e+02
2.131362e-03   3.643441e+04   1.000000e+02
2.171068e-03   3.642485e+04   1.000000e+02
2.211512e-03   3.641563e+04   1.000000e+02
2.252711e-03   3.640677e+04   1.000000e+02
2.294676e-03   3.639826e+04   1.000000e+02
2.337424e-03   3.639011e+04   1.000000e+02
2.380968e-03   3.638231e+04   1.000000e+02
2.425323e-03   3.637487e+04   1.000000e+02
2.470504e-03   3.636780e+04   1.000000e+02
2.516527e-03   3.636109e+04   1.000000e+02
2.563407e-03   3.635475e+04   1.000000e+02
2.611161e-03   3.634878e+04   1.000000e+02
2.659804e-03   3.634318e+04   1.000000e+02
2.709354e-03   3.633796e+04   1.000000e+02
2.759826e-03   3.633312e+04   1.000000e+02
2.811239e-03   3.632865e+04   1.000000e+02
2.863610e-03   3.632457e+04   1.000000e+02
2.916956e-03   3.632088e+04   1.000000e+02
2.971296e-03   3.631757e+04   1.000000e+02
3.026648e-03   3.631466e+04   1.000000e+02
3.083031e-03   3.631239e+04   1.000000e+02
3.140465e-03   3.631123e+04   1.000000e+02
3.198969e-03   3.631167e+04   1.000000e+02
3.258562e-03   3.631420e+04   1.000000e+02
3.319266e-03   3.631930e+04   1.000000e+02
3.381101e-03   3.632746e+04   1.000000e+02
3.444087e-03   3.633918e+04   1.000000e+02
3.508247e-03   3.635494e+04   1.000000e+02
3.573602e-03   3.637523e+04   1.000000e+02
3.640175e-03   3.640056e+04   1.000000e+02
3.707988e-03   3.643142e+04   1.000000e+02
3.777064e-03   3.646831e+04   1.000000e+02
3.847427e-03   3.651175e+04   1.000000e+02
3.919100e-03   3.656225e+04   1.000000e+02
3.992109e-03   3.662032e+04   1.000000e+02
4.066478e-03   3.668621e+04   1.000000e+02
4.142232e-03   3.675856e+04   1.000000e+02
4.219398e-03   3.683549e+04   1.000000e+02
4.298001e-03   3.691507e+04   1.000000e+02
4.378069e-03   3.699536e+04   1.000000e+02
4.459628e-03   3.707442e+04   1.000000e+02
4.542706e-03   3.715028e+04   1.000000e+02
4.627332e-03   3.722096e+04   1.000000e+02
4.713535e-03   3.728446e+04   1.000000e+02
4.801343e-03   3.733878e+04   1.000000e+02
4.890787e-03   3.738191e+04   1.000000e+02
4.981898e-03   3.741184e+04   1.000000e+02
5.074705e-03   3.742690e+04   1.000000e+02
5.169242e-03   3.742790e+04   1.000000e+02
5.265540e-03   3.741673e+04   1.000000e+02
5.363631e-03   3.739534e+04   1.000000e+02
5.463550e-03   3.736564e+04   1.000000e+02
5.565331e-03   3.732957e+04   1.000000e+02
5.669007e-03   3.728906e+04   1.000000e+02
5.774615e-03   3.724603e+04   1.000000e+02
5.882190e-03   3.720239e+04   1.000000e+02
5.991770e-03   3.716004e+04   1.000000e+02
6.103390e-03   3.712054e+04   1.000000e+02
6.217090e-03   3.708368e+04   1.000000e+02
6.332908e-03   3.704871e+04   1.000000e+02
6.450884e-03   3.701489e+04   1.000000e+02
6.571058e-03   3.698148e+04   1.000000e+02
6.693470e-03   3.694774e+04   1.000000e+02
6.818162e-03   3.691293e+04   1.000000e+02
6.945178e-03   3.687632e+04   1.000000e+02
7.074559e-03   3.683722e+04   1.000000e+02
7.206351e-03   3.679548e+04   1.000000e+02
7.340598e-03   3.675142e+04   1.000000e+02
7.477346e-03   3.670536e+04   1.000000e+02
7.616642e-03   3.665764e+04   1.000000e+02
7.758532e-03   3.660857e+04   1.000000e+02
7.903066e-03   3.655848e+04   1.000000e+02
8.050292e-03   3.650769e+04   1.000000e+02
8.200261e-03   3.645606e+04   1.000000e+02
8.353023e-03   3.640277e+04   1.000000e+02
8.508632e-03   3.634697e+04   1.000000e+02
8.667139e-03   3.628781e+04   1.000000e+02
8.828599e-03   3.622442e+04   1.000000e+02
8.993067e-03   3.615598e+04   1.000000e+02
9.160598e-03   3.608223e+04   1.000000e+02
9.331251e-03   3.600559e+04   1.000000e+02
9.505083e-03   3.592922e+04   1.000000e+02
9.682153e-03   3.585624e+04   1.000000e+02
9.862522e-03   3.578975e+04   1.000000e+02
1.004625e-02   3.573282e+04   1.000000e+02
1.023340e-02   3.568656e+04   1.000000e+02
1.042404e-02   3.564831e+04   1.000000e+02
1.061823e-02   3.561501e+04   1.000000e+02
1.081604e-02   3.558361e+04   1.000000e+02
1.101753e-02   3.555107e+04   1.000000e+02
1.122277e-02   3.551521e+04   1.000000e+02
1.143184e-02   3.547648e+04   1.000000e+02
1.164481e-02   3.543583e+04   1.000000e+02
1.186174e-02   3.539420e+04   1.000000e+02
1.208271e-02   3.535255e+04   1.000000e+02
1.230780e-02   3.531130e+04   1.000000e+02
1.253708e-02   3.527024e+04   1.000000e+02
1.277063e-02   3.522907e+04   1.000000e+02
1.300854e-02   3.518751e+04   1.000000e+02
1.325087e-02   3.514537e+04   1.000000e+02
1.349772e-02   3.510268e+04   1.000000e+02
1.374917e-02   3.505956e+04   1.000000e+02
1.400531e-02   3.501611e+04   1.000000e+02
1.426621e-02   3.497239e+04   1.000000e+02
1.453198e-02   3.492839e+04   1.000000e+02
1.480269e-02   3.488405e+04   1.000000e+02
1.507845e-02   3.483931e+04   1.000000e+02
1.535935e-02   3.479416e+04   1.000000e+02
1.564548e-02   3.474865e+04   1.000000e+02
1.593694e-02   3.470284e+04   1.000000e+02
1.623382e-02   3.465677e+04   1.000000e+02
1.653624e-02   3.461047e+04   1.000000e+02
1.684430e-02   3.456396e+04   1.000000e+02
1.715809e-02   3.451722e+04   1.000000e+02
1.747773e-02   3.447029e+04   1.000000e+02
1.780332e-02   3.442315e+04   1.000000e+02
1.813498e-02   3.437582e+04   1.000000e+02
1.847281e-02   3.432831e+04   1.000000e+02
1.881694e-02   3.428063e+04   1.000000e+02
1.916748e-02   3.423278e+04   1.000000e+02
1.952456e-02   3.418478e+04   1.000000e+02
1.988828e-02   3.413664e+04   1.000000e+02
2.025878e-02   3.408836e+04   1.000000e+02
2.063618e-02   3.404000e+04   1.000000e+02
2.102061e-02   3.399163e+04   1.000000e+02
2.141220e-02   3.394331e+04   1.000000e+02
2.181109e-02   3.389510e+04   1.000000e+02
2.221741e-02   3.384709e+04   1.000000e+02
2.263130e-02   3.379933e+04   1.000000e+02
2.305289e-02   3.375190e+04   1.000000e+02
2.348235e-02   3.370485e+04   1.000000e+02
2.391980e-02   3.365826e+04   1.000000e+02
2.436540e-02   3.361219e+04   1.000000e+02
2.481930e-02   3.356670e+04   1.000000e+02
2.528166e-02   3.352186e+04   1.000000e+02
2.575263e-02   3.347764e+04   1.000000e+02
2.623238e-02   3.343395e+04   1.000000e+02
2.672106e-02   3.339070e+04   1.000000e+02
2.721885e-02   3.334780e+04   1.000000e+02
2.772591e-02   3.330517e+04   1.000000e+02
2.824241e-02   3.326272e+04   1.000000e+02
2.876854e-02   3.322035e+04   1.000000e+02
2.930447e-02   3.317798e+04   1.000000e+02
2.985038e-02   3.313553e+04   1.000000e+02
3.040646e-02   3.309293e+04   1.000000e+02
3.097291e-02   3.305045e+04   1.000000e+02
3.154990e-02   3.300851e+04   1.000000e+02
3.213764e-02   3.296752e+04   1.000000e+02
3.273634e-02   3.292790e+04   1.000000e+02
3.334618e-02   3.289007e+04   1.000000e+02
3.396739e-02   3.285444e+04   1.000000e+02
3.460016e-02   3.282143e+04   1.000000e+02
3.524473e-02   3.279144e+04   1.000000e+02
3.590130e-02   3.276489e+04   1.000000e+02
3.657011e-02   3.274218e+04   1.000000e+02
3.725137e-02   3.272374e+04   1.000000e+02
3.794533e-02   3.270996e+04   1.000000e+02
3.865221e-02   3.270126e+04   1.000000e+02
3.937226e-02   3.269806e+04   1.000000e+02
4.010573e-02   3.270076e+04   1.000000e+02
4.085286e-02   3.270937e+04   1.000000e+02
4.161391e-02   3.272275e+04   1.000000e+02
4.238913e-02   3.273957e+04   1.000000e+02
4.317880e-02   3.275853e+04   1.000000e+02
4.398317e-02   3.277830e+04   1.000000e+02
4.480254e-02   3.279757e+04   1.000000e+02
4.563716e-02   3.281500e+04   1.000000e+02
4.648734e-02   3.282927e+04   1.000000e+02
4.735335e-02   3.283905e+04   1.000000e+02
4.823549e-02   3.284300e+04   1.000000e+02
4.913407e-02   3.283981e+04   1.000000e+02
5.004939e-02   3.282814e+04   1.000000e+02
5.098176e-02   3.280718e+04   1.000000e+02
5.193150e-02   3.277783e+04   1.000000e+02
5.289893e-02   3.274134e+04   1.000000e+02
5.388438e-02   3.269897e+04   1.000000e+02
5.488820e-02   3.265198e+04   1.000000e+02
5.591071e-02   3.260161e+04   1.000000e+02
5.695227e-02   3.254910e+04   1.000000e+02
5.801323e-02   3.249570e+04   1.000000e+02
5.909396e-02   3.244263e+04   1.000000e+02
6.019482e-02   3.239112e+04   1.000000e+02
6.131619e-02   3.234194e+04   1.000000e+02
6.245845e-02   3.229485e+04   1.000000e+02
6.362198e-02   3.224946e+04   1.000000e+02
6.480720e-02   3.220539e+04   1.000000e+02
6.601449e-02   3.216225e+04   1.000000e+02
6.724427e-02   3.211965e+04   1.000000e+02
6.849697e-02   3.207721e+04   1.000000e+02
6.977300e-02   3.203456e+04   1.000000e+02
7.107280e-02   3.199136e+04   1.000000e+02
7.239681e-02   3.194761e+04   1.000000e+02
7.374549e-02   3.190344e+04   1.000000e+02
7.511929e-02   3.185899e+04   1.000000e+02
7.651869e-02   3.181438e+04   1.000000e+02
7.794416e-02   3.176975e+04   1.000000e+02
