# F17 + n > O17 + p   [F17nTOO17p]   ref=TALYS2
# detailed balance: alpha=1.0015 beta=0 gamma=-41.1131  Q=3.5429
# T9                 rate                error
1.000000e-03 3.393600e+08 1.000000e+02
1.018629e-03 3.391624e+08 1.000000e+02
1.037605e-03 3.389670e+08 1.000000e+02
1.056935e-03 3.387739e+08 1.000000e+02
1.076624e-03 3.385830e+08 1.000000e+02
1.096681e-03 3.383946e+08 1.000000e+02
1.117111e-03 3.382084e+08 1.000000e+02
1.137921e-03 3.380246e+08 1.000000e+02
1.159120e-03 3.378433e+08 1.000000e+02
1.180713e-03 3.376643e+08 1.000000e+02
1.202708e-03 3.374878e+08 1.000000e+02
1.225114e-03 3.373137e+08 1.000000e+02
1.247936e-03 3.371422e+08 1.000000e+02
1.271184e-03 3.369732e+08 1.000000e+02
1.294865e-03 3.368067e+08 1.000000e+02
1.318987e-03 3.366427e+08 1.000000e+02
1.343558e-03 3.364814e+08 1.000000e+02
1.368587e-03 3.363227e+08 1.000000e+02
1.394083e-03 3.361666e+08 1.000000e+02
1.420053e-03 3.360132e+08 1.000000e+02
1.446507e-03 3.358624e+08 1.000000e+02
1.473454e-03 3.357144e+08 1.000000e+02
1.500903e-03 3.355691e+08 1.000000e+02
1.528864e-03 3.354266e+08 1.000000e+02
1.557345e-03 3.352868e+08 1.000000e+02
1.586357e-03 3.351499e+08 1.000000e+02
1.615909e-03 3.350158e+08 1.000000e+02
1.646012e-03 3.348846e+08 1.000000e+02
1.676675e-03 3.347562e+08 1.000000e+02
1.707910e-03 3.346308e+08 1.000000e+02
1.739726e-03 3.345082e+08 1.000000e+02
1.772136e-03 3.343887e+08 1.000000e+02
1.805149e-03 3.342721e+08 1.000000e+02
1.838777e-03 3.341585e+08 1.000000e+02
1.873032e-03 3.340480e+08 1.000000e+02
1.907924e-03 3.339405e+08 1.000000e+02
1.943467e-03 3.338360e+08 1.000000e+02
1.979672e-03 3.337347e+08 1.000000e+02
2.016551e-03 3.336365e+08 1.000000e+02
2.054117e-03 3.335415e+08 1.000000e+02
2.092383e-03 3.334497e+08 1.000000e+02
2.131362e-03 3.333610e+08 1.000000e+02
2.171068e-03 3.332756e+08 1.000000e+02
2.211512e-03 3.331935e+08 1.000000e+02
2.252711e-03 3.331146e+08 1.000000e+02
2.294676e-03 3.330390e+08 1.000000e+02
2.337424e-03 3.329668e+08 1.000000e+02
2.380968e-03 3.328979e+08 1.000000e+02
2.425323e-03 3.328324e+08 1.000000e+02
2.470504e-03 3.327703e+08 1.000000e+02
2.516527e-03 3.327116e+08 1.000000e+02
2.563407e-03 3.326564e+08 1.000000e+02
2.611161e-03 3.326047e+08 1.000000e+02
2.659804e-03 3.325565e+08 1.000000e+02
2.709354e-03 3.325118e+08 1.000000e+02
2.759826e-03 3.324707e+08 1.000000e+02
2.811239e-03 3.324332e+08 1.000000e+02
2.863610e-03 3.323992e+08 1.000000e+02
2.916956e-03 3.323690e+08 1.000000e+02
2.971296e-03 3.323424e+08 1.000000e+02
3.026648e-03 3.323196e+08 1.000000e+02
3.083031e-03 3.323027e+08 1.000000e+02
3.140465e-03 3.322962e+08 1.000000e+02
3.198969e-03 3.323044e+08 1.000000e+02
3.258562e-03 3.323320e+08 1.000000e+02
3.319266e-03 3.323832e+08 1.000000e+02
3.381101e-03 3.324627e+08 1.000000e+02
3.444087e-03 3.325750e+08 1.000000e+02
3.508247e-03 3.327245e+08 1.000000e+02
3.573602e-03 3.329157e+08 1.000000e+02
3.640175e-03 3.331533e+08 1.000000e+02
3.707988e-03 3.334418e+08 1.000000e+02
3.777064e-03 3.337858e+08 1.000000e+02
3.847427e-03 3.341900e+08 1.000000e+02
3.919100e-03 3.346592e+08 1.000000e+02
3.992109e-03 3.351980e+08 1.000000e+02
4.066478e-03 3.358088e+08 1.000000e+02
4.142232e-03 3.364792e+08 1.000000e+02
4.219398e-03 3.371917e+08 1.000000e+02
4.298001e-03 3.379287e+08 1.000000e+02
4.378069e-03 3.386725e+08 1.000000e+02
4.459628e-03 3.394052e+08 1.000000e+02
4.542706e-03 3.401089e+08 1.000000e+02
4.627332e-03 3.407652e+08 1.000000e+02
4.713535e-03 3.413559e+08 1.000000e+02
4.801343e-03 3.418626e+08 1.000000e+02
4.890787e-03 3.422668e+08 1.000000e+02
4.981898e-03 3.425501e+08 1.000000e+02
5.074705e-03 3.426972e+08 1.000000e+02
5.169242e-03 3.427154e+08 1.000000e+02
5.265540e-03 3.426223e+08 1.000000e+02
5.363631e-03 3.424354e+08 1.000000e+02
5.463550e-03 3.421726e+08 1.000000e+02
5.565331e-03 3.418515e+08 1.000000e+02
5.669007e-03 3.414898e+08 1.000000e+02
5.774615e-03 3.411051e+08 1.000000e+02
5.882190e-03 3.407151e+08 1.000000e+02
5.991770e-03 3.403371e+08 1.000000e+02
6.103390e-03 3.399855e+08 1.000000e+02
6.217090e-03 3.396582e+08 1.000000e+02
6.332908e-03 3.393485e+08 1.000000e+02
