# F18 + p > Ne19 + g   [F18pTONe19g]   ref=ILCCF10
# detailed balance: alpha=2.7618e+10 beta=1.5 gamma=-74.3991  Q=6.4112
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+00
1.018629e-03 1.003239e-35 1.000243e+00
1.037605e-03 1.006203e-35 1.000464e+00
1.056935e-03 1.008897e-35 1.000665e+00
1.076624e-03 1.011330e-35 1.000846e+00
1.096681e-03 1.013507e-35 1.001007e+00
1.117111e-03 1.015437e-35 1.001150e+00
1.137921e-03 1.017128e-35 1.001275e+00
1.159120e-03 1.018587e-35 1.001383e+00
1.180713e-03 1.019823e-35 1.001474e+00
1.202708e-03 1.020843e-35 1.001549e+00
1.225114e-03 1.021658e-35 1.001609e+00
1.247936e-03 1.022275e-35 1.001655e+00
1.271184e-03 1.022704e-35 1.001686e+00
1.294865e-03 1.022953e-35 1.001704e+00
1.318987e-03 1.023032e-35 1.001710e+00
1.343558e-03 1.022950e-35 1.001704e+00
1.368587e-03 1.022716e-35 1.001687e+00
1.394083e-03 1.022340e-35 1.001659e+00
1.420053e-03 1.021831e-35 1.001622e+00
1.446507e-03 1.021198e-35 1.001575e+00
1.473454e-03 1.020452e-35 1.001520e+00
1.500903e-03 1.019600e-35 1.001458e+00
1.528864e-03 1.018654e-35 1.001388e+00
1.557345e-03 1.017622e-35 1.001312e+00
1.586357e-03 1.016514e-35 1.001230e+00
1.615909e-03 1.015340e-35 1.001143e+00
1.646012e-03 1.014109e-35 1.001052e+00
1.676675e-03 1.012829e-35 1.000957e+00
1.707910e-03 1.011512e-35 1.000859e+00
1.739726e-03 1.010165e-35 1.000759e+00
1.772136e-03 1.008799e-35 1.000658e+00
1.805149e-03 1.007422e-35 1.000555e+00
1.838777e-03 1.006043e-35 1.000452e+00
1.873032e-03 1.004673e-35 1.000350e+00
1.907924e-03 1.003319e-35 1.000249e+00
1.943467e-03 1.001991e-35 1.000149e+00
1.979672e-03 1.000698e-35 1.000052e+00
2.016551e-03 9.994481e-36 9.999586e-01
2.054117e-03 9.982513e-36 9.998687e-01
2.092383e-03 9.971160e-36 9.997833e-01
2.131362e-03 9.960510e-36 9.997031e-01
2.171068e-03 9.950652e-36 9.996288e-01
2.211512e-03 9.941673e-36 9.995611e-01
2.252711e-03 9.933661e-36 9.995007e-01
2.294676e-03 9.926704e-36 9.994481e-01
2.337424e-03 9.920890e-36 9.994042e-01
2.380968e-03 9.916305e-36 9.993695e-01
2.425323e-03 9.913040e-36 9.993448e-01
2.470504e-03 9.911182e-36 9.993308e-01
2.516527e-03 9.910820e-36 9.993280e-01
2.563407e-03 9.912044e-36 9.993373e-01
2.611161e-03 9.914945e-36 9.993592e-01
2.659804e-03 9.919615e-36 9.993945e-01
2.709354e-03 9.926144e-36 9.994439e-01
2.759826e-03 9.934629e-36 9.995080e-01
2.811239e-03 9.945163e-36 9.995875e-01
2.863610e-03 9.957843e-36 9.996830e-01
2.916956e-03 9.972769e-36 9.997954e-01
2.971296e-03 9.990040e-36 9.999252e-01
3.026648e-03 1.000974e-35 1.000073e+00
3.083031e-03 1.003147e-35 1.000236e+00
3.140465e-03 1.005428e-35 1.000406e+00
3.198969e-03 1.007723e-35 1.000577e+00
3.258562e-03 1.009934e-35 1.000742e+00
3.319266e-03 1.011962e-35 1.000893e+00
3.381101e-03 1.013710e-35 1.001022e+00
3.444087e-03 1.015077e-35 1.001124e+00
3.508247e-03 1.015966e-35 1.001189e+00
3.573602e-03 1.016276e-35 1.001212e+00
3.640175e-03 1.015909e-35 1.001185e+00
3.707988e-03 1.014769e-35 1.001101e+00
3.777064e-03 1.012760e-35 1.000952e+00
3.847427e-03 1.009791e-35 1.000731e+00
3.919100e-03 1.005772e-35 1.000432e+00
3.992109e-03 1.000621e-35 1.000047e+00
4.066478e-03 9.943363e-36 9.995739e-01
4.142232e-03 9.873395e-36 9.990444e-01
4.219398e-03 9.801876e-36 9.984995e-01
4.298001e-03 9.734223e-36 9.979807e-01
4.378069e-03 9.675704e-36 9.975292e-01
4.459628e-03 9.631477e-36 9.971863e-01
4.542706e-03 9.606653e-36 9.969932e-01
4.627332e-03 9.606385e-36 9.969912e-01
4.713535e-03 9.635993e-36 9.972214e-01
4.801343e-03 9.701109e-36 9.977255e-01
