# F19 + p > O16 + a   [F19_p__O16_a]   ref=NACRE
# detailed balance: alpha=0.65422 beta=0 gamma=-94.1551  Q=8.1137
# T9                 rate                error
1.000000e-03 9.990000e-100 1.000000e+00
1.018629e-03 9.263911e-100 9.998445e-01
1.037605e-03 8.647801e-100 9.997028e-01
1.056935e-03 8.124702e-100 9.995743e-01
1.076624e-03 7.680823e-100 9.994585e-01
1.096681e-03 7.304907e-100 9.993552e-01
1.117111e-03 6.987734e-100 9.992638e-01
1.137921e-03 6.721726e-100 9.991839e-01
1.159120e-03 6.500641e-100 9.991151e-01
1.180713e-03 6.319322e-100 9.990568e-01
1.202708e-03 6.173505e-100 9.990088e-01
1.225114e-03 6.059660e-100 9.989705e-01
1.247936e-03 5.974863e-100 9.989415e-01
1.271184e-03 5.916691e-100 9.989213e-01
1.294865e-03 5.883140e-100 9.989096e-01
1.318987e-03 5.872553e-100 9.989059e-01
1.343558e-03 5.883561e-100 9.989098e-01
1.368587e-03 5.915033e-100 9.989207e-01
1.394083e-03 5.966035e-100 9.989384e-01
1.420053e-03 6.035791e-100 9.989623e-01
1.446507e-03 6.123651e-100 9.989921e-01
1.473454e-03 6.229062e-100 9.990272e-01
1.500903e-03 6.351537e-100 9.990673e-01
1.528864e-03 6.490634e-100 9.991119e-01
1.557345e-03 6.645928e-100 9.991606e-01
1.586357e-03 6.816986e-100 9.992129e-01
1.615909e-03 7.003345e-100 9.992684e-01
1.646012e-03 7.204486e-100 9.993267e-01
1.676675e-03 7.419815e-100 9.993874e-01
1.707910e-03 7.648631e-100 9.994499e-01
1.739726e-03 7.890109e-100 9.995139e-01
1.772136e-03 8.143275e-100 9.995790e-01
1.805149e-03 8.406979e-100 9.996446e-01
1.838777e-03 8.679881e-100 9.997104e-01
1.873032e-03 8.960425e-100 9.997759e-01
1.907924e-03 9.246822e-100 9.998407e-01
1.943467e-03 9.537039e-100 9.999044e-01
1.979672e-03 9.828786e-100 9.999665e-01
2.016551e-03 1.011951e-99 1.000027e+00
2.054117e-03 1.040640e-99 1.000084e+00
2.092383e-03 1.068639e-99 1.000139e+00
2.131362e-03 1.095618e-99 1.000190e+00
2.171068e-03 1.121225e-99 1.000238e+00
2.211512e-03 1.145092e-99 1.000281e+00
2.252711e-03 1.166836e-99 1.000320e+00
2.294676e-03 1.186066e-99 1.000354e+00
2.337424e-03 1.202392e-99 1.000382e+00
2.380968e-03 1.215428e-99 1.000404e+00
2.425323e-03 1.224804e-99 1.000420e+00
2.470504e-03 1.230173e-99 1.000429e+00
2.516527e-03 1.231222e-99 1.000431e+00
2.563407e-03 1.227678e-99 1.000425e+00
2.611161e-03 1.219324e-99 1.000411e+00
2.659804e-03 1.206004e-99 1.000388e+00
2.709354e-03 1.187628e-99 1.000356e+00
2.759826e-03 1.164188e-99 1.000315e+00
2.811239e-03 1.135755e-99 1.000264e+00
2.863610e-03 1.102486e-99 1.000203e+00
2.916956e-03 1.064624e-99 1.000131e+00
2.971296e-03 1.022498e-99 1.000048e+00
3.026648e-03 9.765614e-100 9.999532e-01
3.083031e-03 9.283938e-100 9.998490e-01
3.140465e-03 8.804623e-100 9.997398e-01
3.198969e-03 8.348538e-100 9.996302e-01
3.258562e-03 7.932436e-100 9.995249e-01
3.319266e-03 7.569628e-100 9.994285e-01
3.381101e-03 7.270923e-100 9.993456e-01
3.444087e-03 7.045746e-100 9.992808e-01
3.508247e-03 6.903386e-100 9.992388e-01
3.573602e-03 6.854414e-100 9.992242e-01
3.640175e-03 6.912368e-100 9.992415e-01
3.707988e-03 7.095892e-100 9.992954e-01
3.777064e-03 7.431665e-100 9.993906e-01
3.847427e-03 7.958653e-100 9.995317e-01
3.919100e-03 8.734590e-100 9.997233e-01
3.992109e-03 9.846240e-100 9.999701e-01
4.066478e-03 1.140561e-99 1.000273e+00
4.142232e-03 1.344846e-99 1.000613e+00
4.219398e-03 1.593448e-99 1.000962e+00
4.298001e-03 1.872916e-99 1.001296e+00
4.378069e-03 2.155848e-99 1.001586e+00
4.459628e-03 2.399061e-99 1.001807e+00
4.542706e-03 2.547956e-99 1.001931e+00
4.627332e-03 2.549609e-99 1.001932e+00
4.713535e-03 2.372962e-99 1.001784e+00
4.801343e-03 2.027904e-99 1.001460e+00
4.890787e-03 1.570895e-99 1.000933e+00
4.981898e-03 1.088917e-99 1.000178e+00
5.074705e-03 6.713687e-100 9.991814e-01
5.169242e-03 3.846871e-100 9.980356e-01
5.265540e-03 2.188374e-100 9.968763e-01
5.363631e-03 1.320485e-100 9.958392e-01
5.463550e-03 9.029723e-101 9.950597e-01
5.565331e-03 7.476095e-101 9.946727e-01
5.669007e-03 8.006919e-101 9.948133e-01
5.774615e-03 1.185160e-100 9.956174e-01
5.882190e-03 2.590242e-100 9.972226e-01
5.991770e-03 8.930712e-100 9.997691e-01
6.103390e-03 4.931083e-99 1.003295e+00
6.217090e-03 3.427276e-98 1.007311e+00
6.332908e-03 2.176081e-97 1.011154e+00
6.450884e-03 9.159618e-97 1.014153e+00
6.571058e-03 1.854867e-96 1.015629e+00
6.693470e-03 1.311411e-96 1.014903e+00
6.818162e-03 2.349156e-97 1.011314e+00
6.945178e-03 7.737301e-99 1.004227e+00
7.074559e-03 3.600590e-101 9.931765e-01
7.206351e-03 4.707018e-104 9.796816e-01
7.340598e-03 7.524248e-107 9.667706e-01
7.477346e-03 6.552944e-109 9.573680e-01
7.616642e-03 1.385405e-109 9.543077e-01
7.758532e-03 3.168072e-108 9.604814e-01
7.903066e-03 3.491420e-104 9.790787e-01
8.050292e-03 8.032561e-97 1.013878e+00
8.200261e-03 3.307180e-86 1.066164e+00
8.353023e-03 1.767209e-73 1.132158e+00
8.508632e-03 7.221152e-60 1.206756e+00
8.667139e-03 1.329461e-46 1.283353e+00
8.828599e-03 6.497668e-35 1.353539e+00
8.993067e-03 4.967231e-26 1.407275e+00
9.160598e-03 7.225203e-21 1.435966e+00
9.331251e-03 6.511310e-19 1.442003e+00
9.505083e-03 3.004017e-19 1.431960e+00
9.682153e-03 5.862878e-21 1.412940e+00
9.862522e-03 3.999935e-23 1.391971e+00
1.004625e-02 7.826311e-25 1.375715e+00
1.023340e-02 1.506144e-25 1.367769e+00
1.042404e-02 1.797074e-25 1.366338e+00
1.061823e-02 6.897924e-25 1.369127e+00
1.081604e-02 4.419638e-24 1.373875e+00
1.101753e-02 2.452864e-23 1.378313e+00
1.122277e-02 7.345577e-23 1.380757e+00
1.143184e-02 1.301224e-22 1.381420e+00
1.164481e-02 1.666790e-22 1.380889e+00
1.186174e-02 1.887298e-22 1.379755e+00
1.208271e-02 2.304004e-22 1.378604e+00
1.230780e-02 3.334374e-22 1.377772e+00
1.253708e-02 5.440768e-22 1.377251e+00
1.277063e-02 9.417959e-22 1.377006e+00
1.300854e-02 1.627199e-21 1.377004e+00
1.325087e-02 2.679330e-21 1.377197e+00
1.349772e-02 4.232179e-21 1.377496e+00
1.374917e-02 6.532163e-21 1.377798e+00
1.400531e-02 1.003479e-20 1.378003e+00
1.426621e-02 1.556254e-20 1.378045e+00
1.453198e-02 2.432268e-20 1.377996e+00
1.480269e-02 3.809882e-20 1.377960e+00
1.507845e-02 5.948441e-20 1.378040e+00
1.535935e-02 9.228566e-20 1.378276e+00
1.564548e-02 1.424217e-19 1.378601e+00
1.593694e-02 2.189717e-19 1.378935e+00
1.623382e-02 3.358697e-19 1.379205e+00
1.653624e-02 5.141350e-19 1.379385e+00
1.684430e-02 7.853279e-19 1.379474e+00
1.715809e-02 1.196838e-18 1.379468e+00
1.747773e-02 1.819586e-18 1.379367e+00
1.780332e-02 2.759342e-18 1.379167e+00
1.813498e-02 4.173284e-18 1.378867e+00
1.847281e-02 6.294535e-18 1.378485e+00
1.881694e-02 9.468386e-18 1.378066e+00
1.916748e-02 1.420465e-17 1.377657e+00
1.952456e-02 2.125414e-17 1.377302e+00
1.988828e-02 3.171978e-17 1.377050e+00
2.025878e-02 4.721783e-17 1.376941e+00
2.063618e-02 7.011026e-17 1.376978e+00
2.102061e-02 1.038399e-16 1.377143e+00
2.141220e-02 1.534126e-16 1.377412e+00
2.181109e-02 2.260892e-16 1.377767e+00
2.221741e-02 3.323746e-16 1.378185e+00
2.263130e-02 4.874304e-16 1.378647e+00
2.305289e-02 7.130852e-16 1.379131e+00
2.348235e-02 1.040691e-15 1.379617e+00
2.391980e-02 1.515169e-15 1.380084e+00
2.436540e-02 2.200728e-15 1.380511e+00
2.481930e-02 3.188935e-15 1.380877e+00
2.528166e-02 4.610055e-15 1.381163e+00
2.575263e-02 6.648977e-15 1.381364e+00
2.623238e-02 9.567511e-15 1.381491e+00
2.672106e-02 1.373554e-14 1.381551e+00
2.721885e-02 1.967442e-14 1.381554e+00
2.772591e-02 2.811737e-14 1.381510e+00
2.824241e-02 4.009326e-14 1.381427e+00
2.876854e-02 5.704254e-14 1.381315e+00
2.930447e-02 8.097748e-14 1.381183e+00
2.985038e-02 1.147030e-13 1.381039e+00
3.040646e-02 1.621201e-13 1.380894e+00
3.097291e-02 2.286422e-13 1.380754e+00
3.154990e-02 3.217641e-13 1.380623e+00
3.213764e-02 4.518403e-13 1.380506e+00
3.273634e-02 6.331445e-13 1.380409e+00
3.334618e-02 8.853107e-13 1.380337e+00
3.396739e-02 1.235288e-12 1.380294e+00
3.460016e-02 1.719984e-12 1.380285e+00
3.524473e-02 2.389841e-12 1.380317e+00
3.590130e-02 3.313649e-12 1.380393e+00
3.657011e-02 4.585019e-12 1.380518e+00
3.725137e-02 6.331077e-12 1.380699e+00
3.794533e-02 8.724090e-12 1.380939e+00
3.865221e-02 1.199702e-11 1.381244e+00
3.937226e-02 1.646423e-11 1.381619e+00
4.010573e-02 2.254910e-11 1.382069e+00
4.085286e-02 3.082058e-11 1.382593e+00
4.161391e-02 4.204174e-11 1.383175e+00
4.238913e-02 5.723387e-11 1.383796e+00
4.317880e-02 7.776110e-11 1.384437e+00
4.398317e-02 1.054418e-10 1.385079e+00
4.480254e-02 1.426951e-10 1.385703e+00
4.563716e-02 1.927325e-10 1.386290e+00
4.648734e-02 2.598094e-10 1.386821e+00
4.735335e-02 3.495533e-10 1.387277e+00
4.823549e-02 4.693911e-10 1.387638e+00
4.913407e-02 6.291053e-10 1.387887e+00
5.004939e-02 8.415565e-10 1.388003e+00
5.098176e-02 1.123623e-09 1.387978e+00
5.193150e-02 1.497436e-09 1.387841e+00
5.289893e-02 1.991953e-09 1.387628e+00
5.388438e-02 2.645008e-09 1.387375e+00
5.488820e-02 3.505948e-09 1.387120e+00
5.591071e-02 4.639042e-09 1.386897e+00
5.695227e-02 6.127861e-09 1.386744e+00
5.801323e-02 8.080923e-09 1.386696e+00
5.909396e-02 1.063893e-08 1.386790e+00
6.019482e-02 1.398407e-08 1.387062e+00
6.131619e-02 1.835165e-08 1.387525e+00
6.245845e-02 2.404445e-08 1.388135e+00
6.362198e-02 3.145161e-08 1.388840e+00
6.480720e-02 4.107232e-08 1.389587e+00
6.601449e-02 5.354562e-08 1.390324e+00
6.724427e-02 6.968787e-08 1.390999e+00
6.849697e-02 9.053970e-08 1.391559e+00
6.977300e-02 1.174247e-07 1.391952e+00
7.107280e-02 1.520250e-07 1.392135e+00
7.239681e-02 1.964916e-07 1.392129e+00
7.374549e-02 2.535729e-07 1.391986e+00
7.511929e-02 3.267740e-07 1.391756e+00
7.651869e-02 4.205664e-07 1.391490e+00
7.794416e-02 5.406550e-07 1.391237e+00
7.939618e-02 6.943217e-07 1.391047e+00
8.087525e-02 8.908688e-07 1.390967e+00
8.238187e-02 1.142240e-06 1.390948e+00
8.391656e-02 1.463816e-06 1.390874e+00
8.547985e-02 1.875408e-06 1.390626e+00
8.707225e-02 2.402594e-06 1.390084e+00
8.869432e-02 3.078472e-06 1.389128e+00
9.034660e-02 3.945983e-06 1.387641e+00
9.202967e-02 5.061121e-06 1.385554e+00
9.374409e-02 6.497405e-06 1.382907e+00
9.549045e-02 8.351573e-06 1.379753e+00
9.726934e-02 1.075140e-05 1.376145e+00
9.908137e-02 1.386642e-05 1.372137e+00
1.009272e-01 1.792244e-05 1.367780e+00
1.028073e-01 2.321992e-05 1.363074e+00
1.047225e-01 3.015891e-05 1.357965e+00
1.066734e-01 3.927547e-05 1.352402e+00
1.086606e-01 5.129058e-05 1.346333e+00
1.106848e-01 6.717720e-05 1.339708e+00
1.127468e-01 8.823320e-05 1.332570e+00
1.148472e-01 1.161640e-04 1.325092e+00
1.169866e-01 1.532256e-04 1.317455e+00
1.191660e-01 2.023958e-04 1.309837e+00
1.213859e-01 2.675975e-04 1.302403e+00
1.236472e-01 3.540751e-04 1.295176e+00
1.259506e-01 4.688711e-04 1.288079e+00
1.282970e-01 6.213986e-04 1.281038e+00
1.306870e-01 8.242503e-04 1.273978e+00
1.331216e-01 1.094116e-03 1.266882e+00
1.356015e-01 1.452794e-03 1.259831e+00
1.381276e-01 1.928809e-03 1.252913e+00
1.407008e-01 2.559341e-03 1.246213e+00
1.433219e-01 3.393241e-03 1.239706e+00
1.459919e-01 4.495709e-03 1.233165e+00
1.487115e-01 5.953120e-03 1.226348e+00
1.514819e-01 7.879864e-03 1.219032e+00
1.543038e-01 1.042698e-02 1.211279e+00
1.571784e-01 1.379362e-02 1.203405e+00
1.601064e-01 1.824277e-02 1.195730e+00
1.630891e-01 2.412137e-02 1.188484e+00
1.661273e-01 3.188541e-02 1.181604e+00
1.692220e-01 4.213430e-02 1.174968e+00
1.723745e-01 5.565547e-02 1.168455e+00
1.755856e-01 7.348230e-02 1.161948e+00
1.788566e-01 9.696949e-02 1.155331e+00
1.821885e-01 1.278896e-01 1.148502e+00
1.855825e-01 1.685392e-01 1.141502e+00
1.890397e-01 2.218783e-01 1.134458e+00
1.925614e-01 2.917150e-01 1.127500e+00
1.961486e-01 3.829261e-01 1.120750e+00
1.998026e-01 5.017247e-01 1.114332e+00
2.035248e-01 6.559968e-01 1.108343e+00
2.073162e-01 8.557761e-01 1.102788e+00
2.111783e-01 1.113756e+00 1.097644e+00
2.151123e-01 1.445909e+00 1.092888e+00
2.191197e-01 1.872244e+00 1.088498e+00
2.232016e-01 2.417707e+00 1.084453e+00
2.273597e-01 3.113252e+00 1.080733e+00
2.315951e-01 3.997087e+00 1.077318e+00
2.359095e-01 5.116124e+00 1.074188e+00
2.403043e-01 6.527640e+00 1.071325e+00
2.447809e-01 8.301151e+00 1.068710e+00
2.493409e-01 1.052051e+01 1.066324e+00
2.539859e-01 1.328634e+01 1.064149e+00
2.587174e-01 1.671942e+01 1.062173e+00
2.635371e-01 2.096384e+01 1.060383e+00
2.684465e-01 2.619034e+01 1.058765e+00
2.734474e-01 3.260010e+01 1.057308e+00
2.785414e-01 4.042877e+01 1.056000e+00
2.837304e-01 4.995086e+01 1.054828e+00
2.890160e-01 6.148409e+01 1.053782e+00
2.944000e-01 7.539396e+01 1.052848e+00
2.998844e-01 9.209820e+01 1.052016e+00
3.054710e-01 1.120726e+02 1.051275e+00
3.111616e-01 1.358628e+02 1.050618e+00
3.169582e-01 1.640898e+02 1.050038e+00
3.228628e-01 1.974552e+02 1.049530e+00
3.288774e-01 2.367490e+02 1.049087e+00
3.350041e-01 2.828570e+02 1.048704e+00
3.412449e-01 3.367683e+02 1.048375e+00
3.476019e-01 3.995834e+02 1.048094e+00
3.540774e-01 4.725220e+02 1.047854e+00
3.606735e-01 5.569256e+02 1.047652e+00
3.673925e-01 6.542629e+02 1.047482e+00
3.742366e-01 7.661376e+02 1.047341e+00
3.812083e-01 8.942932e+02 1.047224e+00
3.883098e-01 1.040618e+03 1.047126e+00
3.955436e-01 1.207146e+03 1.047044e+00
4.029122e-01 1.396064e+03 1.046973e+00
4.104181e-01 1.609712e+03 1.046903e+00
4.180637e-01 1.850585e+03 1.046819e+00
4.258518e-01 2.121335e+03 1.046703e+00
4.337850e-01 2.424770e+03 1.046538e+00
4.418660e-01 2.763847e+03 1.046308e+00
4.500975e-01 3.141672e+03 1.045996e+00
4.584824e-01 3.561510e+03 1.045597e+00
4.670234e-01 4.026829e+03 1.045153e+00
4.757236e-01 4.541286e+03 1.044718e+00
4.845859e-01 5.108722e+03 1.044344e+00
4.936132e-01 5.733161e+03 1.044085e+00
5.028087e-01 6.418824e+03 1.043993e+00
5.121755e-01 7.170072e+03 1.044090e+00
5.217169e-01 7.991342e+03 1.044348e+00
5.314359e-01 8.887196e+03 1.044732e+00
5.413360e-01 9.862329e+03 1.045210e+00
5.514206e-01 1.092156e+04 1.045746e+00
5.616930e-01 1.206983e+04 1.046307e+00
5.721568e-01 1.331220e+04 1.046859e+00
5.828155e-01 1.465383e+04 1.047368e+00
5.936727e-01 1.610000e+04 1.047800e+00
6.047322e-01 1.765613e+04 1.048122e+00
6.159978e-01 1.932786e+04 1.048327e+00
6.274732e-01 2.112125e+04 1.048445e+00
6.391624e-01 2.304261e+04 1.048506e+00
6.510694e-01 2.509856e+04 1.048541e+00
6.631981e-01 2.729606e+04 1.048579e+00
6.755528e-01 2.964243e+04 1.048651e+00
6.881377e-01 3.214544e+04 1.048789e+00
7.009570e-01 3.481331e+04 1.049021e+00
7.140151e-01 3.765464e+04 1.049369e+00
7.273165e-01 4.067790e+04 1.049819e+00
7.408657e-01 4.389184e+04 1.050351e+00
7.546673e-01 4.730560e+04 1.050945e+00
7.687260e-01 5.092879e+04 1.051581e+00
7.830465e-01 5.477147e+04 1.052238e+00
7.976339e-01 5.884425e+04 1.052896e+00
8.124930e-01 6.315879e+04 1.053537e+00
8.276289e-01 6.773068e+04 1.054163e+00
8.430468e-01 7.257867e+04 1.054779e+00
8.587519e-01 7.772387e+04 1.055394e+00
8.747496e-01 8.319012e+04 1.056015e+00
8.910453e-01 8.900428e+04 1.056649e+00
9.076446e-01 9.519645e+04 1.057303e+00
9.245531e-01 1.017932e+05 1.057979e+00
9.417766e-01 1.088143e+05 1.058673e+00
9.593209e-01 1.162796e+05 1.059381e+00
9.771921e-01 1.242083e+05 1.060098e+00
9.953962e-01 1.326196e+05 1.060819e+00
1.013939e+00 1.415330e+05 1.061542e+00
1.032828e+00 1.509773e+05 1.062261e+00
1.052069e+00 1.609885e+05 1.062976e+00
1.071668e+00 1.716061e+05 1.063684e+00
1.091632e+00 1.828734e+05 1.064382e+00
1.111968e+00 1.948380e+05 1.065069e+00
1.132683e+00 2.075522e+05 1.065742e+00
1.153783e+00 2.210738e+05 1.066398e+00
1.175277e+00 2.354661e+05 1.067036e+00
1.197171e+00 2.507993e+05 1.067653e+00
1.219473e+00 2.671508e+05 1.068246e+00
1.242191e+00 2.846060e+05 1.068814e+00
1.265332e+00 3.032582e+05 1.069354e+00
1.288904e+00 3.231929e+05 1.069869e+00
