# He3 + a > Be7 + g   [He3_a__Be7_g]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 33 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 6.409763e-72 1.460895e+00
1.018629e-03 1.189625e-71 1.460895e+00
1.037605e-03 2.207894e-71 1.460895e+00
1.056935e-03 4.097759e-71 1.460895e+00
1.076624e-03 7.605269e-71 1.460895e+00
1.096681e-03 1.411506e-70 1.460895e+00
1.117111e-03 2.619696e-70 1.460895e+00
1.137921e-03 4.862045e-70 1.460895e+00
1.159120e-03 9.023753e-70 1.460895e+00
1.180713e-03 1.674771e-69 1.460895e+00
1.202708e-03 3.108303e-69 1.460895e+00
1.225114e-03 5.768882e-69 1.460895e+00
1.247936e-03 1.070680e-68 1.460895e+00
1.271184e-03 1.987138e-68 1.460895e+00
1.294865e-03 3.688044e-68 1.460895e+00
1.318987e-03 6.844855e-68 1.460895e+00
1.343558e-03 1.270376e-67 1.460895e+00
1.368587e-03 2.357765e-67 1.460895e+00
1.394083e-03 4.375913e-67 1.460895e+00
1.420053e-03 8.121510e-67 1.460895e+00
1.446507e-03 1.507318e-66 1.460895e+00
1.473454e-03 2.797519e-66 1.460895e+00
1.500903e-03 5.192079e-66 1.460895e+00
1.528864e-03 9.636280e-66 1.460895e+00
1.557345e-03 1.788453e-65 1.460895e+00
1.586357e-03 3.319294e-65 1.460895e+00
1.615909e-03 6.160470e-65 1.460895e+00
1.646011e-03 1.143357e-64 1.460895e+00
1.676675e-03 2.122023e-64 1.460895e+00
1.707910e-03 3.938386e-64 1.460895e+00
1.739726e-03 7.309479e-64 1.460895e+00
1.772136e-03 1.356609e-63 1.460895e+00
1.805149e-03 2.517809e-63 1.460895e+00
1.838777e-03 4.672948e-63 1.460895e+00
1.873032e-03 8.672795e-63 1.460895e+00
1.907924e-03 1.609634e-62 1.460895e+00
1.943467e-03 2.987414e-62 1.460895e+00
1.979672e-03 5.544514e-62 1.460895e+00
2.016551e-03 1.029039e-61 1.460895e+00
2.054117e-03 1.909852e-61 1.460895e+00
2.092383e-03 3.544606e-61 1.460895e+00
2.131362e-03 6.578640e-61 1.460895e+00
2.171068e-03 1.220968e-60 1.460895e+00
2.211512e-03 2.266065e-60 1.460895e+00
2.252711e-03 4.205722e-60 1.460895e+00
2.294676e-03 7.805644e-60 1.460895e+00
2.337424e-03 1.448695e-59 1.460895e+00
2.380968e-03 2.688717e-59 1.460895e+00
2.425323e-03 4.990145e-59 1.460895e+00
2.470504e-03 9.261500e-59 1.460895e+00
2.516527e-03 1.718895e-58 1.460895e+00
2.563407e-03 3.190198e-58 1.460895e+00
2.611161e-03 5.920873e-58 1.460895e+00
2.659804e-03 1.098889e-57 1.460895e+00
2.709354e-03 2.039492e-57 1.460895e+00
2.759826e-03 3.785212e-57 1.460895e+00
2.811239e-03 7.025194e-57 1.460895e+00
2.863610e-03 1.303847e-56 1.460895e+00
2.916956e-03 2.419885e-56 1.460895e+00
2.971296e-03 4.491204e-56 1.460895e+00
