# He3 + t > He4 + d   [He3_t__a_d]   ref=Caughlan& Fowler 1988
# forward[T9] = With[{T9A=T9/(1.+0.128*T9),T932=T9^(3/2)},With[{T9A13=T9A^(1./3.),T9A56=T9A^(5./6.)},5.46*^9*T9A56/T932*Exp[-7.733/T9A13] ]]   uncertainty factor f = 10
# T9                 rate                error
1.000000e-03   1.418147e-22   1.000000e+01
1.018629e-03   2.250872e-22   1.000000e+01
1.037605e-03   3.562187e-22   1.000000e+01
1.056935e-03   5.621169e-22   1.000000e+01
1.076624e-03   8.844806e-22   1.000000e+01
1.096681e-03   1.387744e-21   1.000000e+01
1.117111e-03   2.171188e-21   1.000000e+01
1.137921e-03   3.387349e-21   1.000000e+01
1.159120e-03   5.269927e-21   1.000000e+01
1.180713e-03   8.175959e-21   1.000000e+01
1.202708e-03   1.264940e-20   1.000000e+01
1.225114e-03   1.951665e-20   1.000000e+01
1.247936e-03   3.002978e-20   1.000000e+01
1.271184e-03   4.608061e-20   1.000000e+01
1.294865e-03   7.051968e-20   1.000000e+01
1.318987e-03   1.076306e-19   1.000000e+01
1.343558e-03   1.638332e-19   1.000000e+01
1.368587e-03   2.487227e-19   1.000000e+01
1.394083e-03   3.766029e-19   1.000000e+01
1.420053e-03   5.687399e-19   1.000000e+01
1.446507e-03   8.566677e-19   1.000000e+01
1.473454e-03   1.287024e-18   1.000000e+01
1.500903e-03   1.928606e-18   1.000000e+01
1.528864e-03   2.882634e-18   1.000000e+01
1.557345e-03   4.297658e-18   1.000000e+01
1.586357e-03   6.391121e-18   1.000000e+01
1.615909e-03   9.480514e-18   1.000000e+01
1.646012e-03   1.402824e-17   1.000000e+01
1.676675e-03   2.070605e-17   1.000000e+01
1.707910e-03   3.048744e-17   1.000000e+01
1.739726e-03   4.477965e-17   1.000000e+01
1.772136e-03   6.561199e-17   1.000000e+01
1.805149e-03   9.590358e-17   1.000000e+01
1.838777e-03   1.398434e-16   1.000000e+01
1.873032e-03   2.034282e-16   1.000000e+01
1.907924e-03   2.952219e-16   1.000000e+01
1.943467e-03   4.274257e-16   1.000000e+01
1.979672e-03   6.173815e-16   1.000000e+01
2.016551e-03   8.896799e-16   1.000000e+01
2.054117e-03   1.279108e-15   1.000000e+01
2.092383e-03   1.834765e-15   1.000000e+01
2.131362e-03   2.625785e-15   1.000000e+01
2.171068e-03   3.749296e-15   1.000000e+01
2.211512e-03   5.341437e-15   1.000000e+01
2.252711e-03   7.592595e-15   1.000000e+01
2.294676e-03   1.076843e-14   1.000000e+01
2.337424e-03   1.523877e-14   1.000000e+01
2.380968e-03   2.151738e-14   1.000000e+01
2.425323e-03   3.031631e-14   1.000000e+01
2.470504e-03   4.262031e-14   1.000000e+01
2.516527e-03   5.978828e-14   1.000000e+01
2.563407e-03   8.369133e-14   1.000000e+01
2.611161e-03   1.169003e-13   1.000000e+01
2.659804e-03   1.629397e-13   1.000000e+01
2.709354e-03   2.266315e-13   1.000000e+01
2.759826e-03   3.145584e-13   1.000000e+01
2.811239e-03   4.356879e-13   1.000000e+01
2.863610e-03   6.022108e-13   1.000000e+01
2.916956e-03   8.306648e-13   1.000000e+01
2.971296e-03   1.143439e-12   1.000000e+01
3.026648e-03   1.570779e-12   1.000000e+01
3.083031e-03   2.153466e-12   1.000000e+01
3.140465e-03   2.946368e-12   1.000000e+01
3.198969e-03   4.023159e-12   1.000000e+01
3.258562e-03   5.482570e-12   1.000000e+01
