# He3 + d > a + p   [He3dTOap]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 218 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 2.695030e-02 1.438766e+01
1.018629e-03 2.865545e-02 1.438766e+01
1.037605e-03 3.046848e-02 1.438766e+01
1.056935e-03 3.239622e-02 1.438766e+01
1.076624e-03 3.444593e-02 1.438766e+01
1.096681e-03 3.662532e-02 1.438766e+01
1.117111e-03 3.894261e-02 1.438766e+01
1.137921e-03 4.140650e-02 1.438766e+01
1.159120e-03 4.402629e-02 1.438766e+01
1.180713e-03 4.681184e-02 1.438766e+01
1.202708e-03 4.977362e-02 1.438766e+01
1.225114e-03 5.292280e-02 1.438766e+01
1.247936e-03 5.627122e-02 1.438766e+01
1.271184e-03 5.983150e-02 1.438766e+01
1.294865e-03 6.361704e-02 1.438766e+01
1.318987e-03 6.764209e-02 1.438766e+01
1.343558e-03 7.192181e-02 1.438766e+01
1.368587e-03 7.647230e-02 1.438766e+01
1.394083e-03 8.131070e-02 1.438766e+01
1.420053e-03 8.645523e-02 1.438766e+01
1.446507e-03 9.192525e-02 1.438766e+01
1.473454e-03 9.774136e-02 1.438766e+01
1.500903e-03 1.039255e-01 1.438766e+01
1.528864e-03 1.105008e-01 1.438766e+01
1.557345e-03 1.174922e-01 1.438766e+01
1.586357e-03 1.249259e-01 1.438766e+01
1.615909e-03 1.328300e-01 1.438766e+01
1.646011e-03 1.412342e-01 1.438766e+01
1.676675e-03 1.501700e-01 1.438766e+01
1.707910e-03 1.596713e-01 1.438766e+01
1.739726e-03 1.697737e-01 1.438766e+01
1.772136e-03 1.805153e-01 1.438766e+01
1.805149e-03 1.919365e-01 1.438766e+01
1.838777e-03 2.040803e-01 1.438766e+01
1.873032e-03 2.169925e-01 1.438766e+01
1.907924e-03 2.307216e-01 1.438766e+01
1.943467e-03 2.453193e-01 1.438766e+01
1.979672e-03 2.608407e-01 1.438766e+01
2.016551e-03 2.773441e-01 1.438766e+01
2.054117e-03 2.948916e-01 1.438766e+01
2.092383e-03 3.135494e-01 1.438766e+01
2.131362e-03 3.333877e-01 1.438766e+01
2.171068e-03 3.544811e-01 1.438766e+01
2.211512e-03 3.769091e-01 1.438766e+01
2.252711e-03 4.007562e-01 1.438766e+01
2.294676e-03 4.261120e-01 1.438766e+01
2.337424e-03 4.530721e-01 1.438766e+01
2.380968e-03 4.817380e-01 1.438766e+01
2.425323e-03 5.122176e-01 1.438766e+01
2.470504e-03 5.446256e-01 1.438766e+01
2.516527e-03 5.790840e-01 1.438766e+01
2.563407e-03 6.157227e-01 1.438766e+01
2.611161e-03 6.546794e-01 1.438766e+01
2.659804e-03 6.961010e-01 1.438766e+01
2.709354e-03 7.401433e-01 1.438766e+01
2.759826e-03 7.869722e-01 1.438766e+01
2.811239e-03 8.367639e-01 1.438766e+01
2.863610e-03 8.897059e-01 1.438766e+01
2.916956e-03 9.459976e-01 1.438766e+01
2.971296e-03 1.005851e+00 1.438766e+01
3.026648e-03 1.069491e+00 1.438766e+01
3.083031e-03 1.137158e+00 1.438766e+01
3.140465e-03 1.209106e+00 1.438766e+01
3.198969e-03 1.285606e+00 1.438766e+01
3.258562e-03 1.366946e+00 1.438766e+01
3.319266e-03 1.453433e+00 1.438766e+01
3.381101e-03 1.545391e+00 1.438766e+01
3.444087e-03 1.643168e+00 1.438766e+01
3.508247e-03 1.747132e+00 1.438766e+01
3.573602e-03 1.857673e+00 1.438766e+01
3.640175e-03 1.975208e+00 1.438766e+01
3.707988e-03 2.100179e+00 1.438766e+01
3.777064e-03 2.233057e+00 1.438766e+01
3.847427e-03 2.374343e+00 1.438766e+01
3.919100e-03 2.524567e+00 1.438766e+01
3.992109e-03 2.684297e+00 1.438766e+01
4.066478e-03 2.854132e+00 1.438766e+01
4.142232e-03 3.034713e+00 1.438766e+01
4.219398e-03 3.226720e+00 1.438766e+01
4.298001e-03 3.430874e+00 1.438766e+01
4.378069e-03 3.647945e+00 1.438766e+01
4.459628e-03 3.878751e+00 1.438766e+01
4.542706e-03 4.124159e+00 1.438766e+01
4.627332e-03 4.385095e+00 1.438766e+01
4.713535e-03 4.662540e+00 1.438766e+01
4.801343e-03 4.957539e+00 1.438766e+01
4.890787e-03 5.271202e+00 1.438766e+01
4.981898e-03 5.604711e+00 1.438766e+01
5.074705e-03 5.959321e+00 1.438766e+01
5.169242e-03 6.336368e+00 1.438766e+01
5.265540e-03 6.737269e+00 1.438766e+01
5.363631e-03 7.163536e+00 1.438766e+01
5.463550e-03 7.616773e+00 1.438766e+01
5.565331e-03 8.098687e+00 1.438766e+01
5.669007e-03 8.611090e+00 1.438766e+01
5.774615e-03 9.155914e+00 1.438766e+01
5.882190e-03 9.735209e+00 1.438766e+01
5.991770e-03 1.035116e+01 1.438766e+01
6.103390e-03 1.100607e+01 1.438766e+01
6.217090e-03 1.170243e+01 1.438766e+01
6.332908e-03 1.244284e+01 1.438766e+01
6.450884e-03 1.323010e+01 1.438766e+01
6.571058e-03 1.406717e+01 1.438766e+01
6.693470e-03 1.495720e+01 1.438766e+01
6.818162e-03 1.590354e+01 1.438766e+01
6.945178e-03 1.690975e+01 1.438766e+01
7.074559e-03 1.797963e+01 1.438766e+01
7.206351e-03 1.911721e+01 1.438766e+01
7.340598e-03 2.032675e+01 1.438766e+01
7.477346e-03 2.161282e+01 1.438766e+01
7.616642e-03 2.298027e+01 1.438766e+01
7.758532e-03 2.443423e+01 1.438766e+01
7.903066e-03 2.598018e+01 1.438766e+01
8.050292e-03 2.762395e+01 1.438766e+01
8.200261e-03 2.937172e+01 1.438766e+01
8.353023e-03 3.123006e+01 1.438766e+01
8.508632e-03 3.320599e+01 1.438766e+01
8.667139e-03 3.530693e+01 1.438766e+01
8.828599e-03 3.754080e+01 1.438766e+01
8.993067e-03 3.991601e+01 1.438766e+01
9.160598e-03 4.244149e+01 1.438766e+01
9.331251e-03 4.512677e+01 1.438766e+01
9.505083e-03 4.798194e+01 1.438766e+01
9.682153e-03 5.101776e+01 1.438766e+01
9.862522e-03 5.424565e+01 1.438766e+01
1.004625e-02 5.767777e+01 1.438766e+01
1.023340e-02 6.132704e+01 1.438766e+01
1.042404e-02 6.520721e+01 1.438766e+01
1.061823e-02 6.933286e+01 1.438766e+01
1.081604e-02 7.371955e+01 1.438766e+01
1.101753e-02 7.838379e+01 1.438766e+01
1.122277e-02 8.334313e+01 1.438766e+01
1.143184e-02 8.861625e+01 1.438766e+01
1.164481e-02 9.422300e+01 1.438766e+01
1.186174e-02 1.001845e+02 1.438766e+01
1.208271e-02 1.065232e+02 1.438766e+01
1.230780e-02 1.132629e+02 1.438766e+01
1.253708e-02 1.204290e+02 1.438766e+01
1.277063e-02 1.280486e+02 1.438766e+01
1.300854e-02 1.361502e+02 1.438766e+01
1.325087e-02 1.447644e+02 1.438766e+01
1.349772e-02 1.539237e+02 1.438766e+01
1.374917e-02 1.636624e+02 1.438766e+01
1.400531e-02 1.740173e+02 1.438766e+01
1.426621e-02 1.850274e+02 1.438766e+01
1.453198e-02 1.967341e+02 1.438766e+01
1.480269e-02 2.091815e+02 1.438766e+01
1.507845e-02 2.224164e+02 1.438766e+01
1.535935e-02 2.364887e+02 1.438766e+01
1.564548e-02 2.514513e+02 1.438766e+01
