# Li7 + He3 > B10 + g   [Li7_He3__B10_g]   ref=TALYS2
# detailed balance: alpha=3.4649e+10 beta=1.5 gamma=-206.429  Q=17.7887
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.009374e-35 1.000000e+02
1.037605e-03 1.016313e-35 1.000000e+02
1.056935e-03 1.020854e-35 1.000000e+02
1.076624e-03 1.023054e-35 1.000000e+02
1.096681e-03 1.022986e-35 1.000000e+02
1.117111e-03 1.020740e-35 1.000000e+02
1.137921e-03 1.016419e-35 1.000000e+02
1.159120e-03 1.010136e-35 1.000000e+02
1.180713e-03 1.002016e-35 1.000000e+02
1.202708e-03 9.921900e-36 1.000000e+02
1.225114e-03 9.807945e-36 1.000000e+02
1.247936e-03 9.679703e-36 1.000000e+02
1.271184e-03 9.538600e-36 1.000000e+02
1.294865e-03 9.386068e-36 1.000000e+02
1.318987e-03 9.223525e-36 1.000000e+02
1.343558e-03 9.052366e-36 1.000000e+02
1.368587e-03 8.873951e-36 1.000000e+02
1.394083e-03 8.689593e-36 1.000000e+02
1.420053e-03 8.500552e-36 1.000000e+02
1.446507e-03 8.308027e-36 1.000000e+02
1.473454e-03 8.113150e-36 1.000000e+02
1.500903e-03 7.916982e-36 1.000000e+02
1.528864e-03 7.720515e-36 1.000000e+02
1.557345e-03 7.524661e-36 1.000000e+02
1.586357e-03 7.330264e-36 1.000000e+02
1.615909e-03 7.138089e-36 1.000000e+02
1.646012e-03 6.948832e-36 1.000000e+02
1.676675e-03 6.763117e-36 1.000000e+02
1.707910e-03 6.581502e-36 1.000000e+02
1.739726e-03 6.404480e-36 1.000000e+02
1.772136e-03 6.232487e-36 1.000000e+02
1.805149e-03 6.065900e-36 1.000000e+02
1.838777e-03 5.905045e-36 1.000000e+02
1.873032e-03 5.750202e-36 1.000000e+02
1.907924e-03 5.601607e-36 1.000000e+02
1.943467e-03 5.459459e-36 1.000000e+02
1.979672e-03 5.323924e-36 1.000000e+02
2.016551e-03 5.195138e-36 1.000000e+02
2.054117e-03 5.073212e-36 1.000000e+02
2.092383e-03 4.958241e-36 1.000000e+02
2.131362e-03 4.850298e-36 1.000000e+02
2.171068e-03 4.749451e-36 1.000000e+02
2.211512e-03 4.655757e-36 1.000000e+02
2.252711e-03 4.569269e-36 1.000000e+02
2.294676e-03 4.490045e-36 1.000000e+02
2.337424e-03 4.418143e-36 1.000000e+02
2.380968e-03 4.353634e-36 1.000000e+02
2.425323e-03 4.296598e-36 1.000000e+02
2.470504e-03 4.247135e-36 1.000000e+02
2.516527e-03 4.205365e-36 1.000000e+02
2.563407e-03 4.171435e-36 1.000000e+02
2.611161e-03 4.145520e-36 1.000000e+02
2.659804e-03 4.127834e-36 1.000000e+02
2.709354e-03 4.118630e-36 1.000000e+02
2.759826e-03 4.118210e-36 1.000000e+02
2.811239e-03 4.126931e-36 1.000000e+02
2.863610e-03 4.145211e-36 1.000000e+02
