# Li7 + d > a + a + n   [Li7_d__a_a_n]   ref=CGXSV12
# detailed balance: alpha=9.9435e-10 beta=-1.5 gamma=-175.492  Q=15.1227
# T9                 rate                error
1.000000e-03 7.692400e-32 5.270400e+00
1.018629e-03 1.424679e-31 5.270443e+00
1.037605e-03 2.628640e-31 5.270484e+00
1.056935e-03 4.831840e-31 5.270521e+00
1.076624e-03 8.848496e-31 5.270556e+00
1.096681e-03 1.614395e-30 5.270588e+00
1.117111e-03 2.934553e-30 5.270617e+00
1.137921e-03 5.314641e-30 5.270643e+00
1.159120e-03 9.589891e-30 5.270667e+00
1.180713e-03 1.724128e-29 5.270688e+00
1.202708e-03 3.088513e-29 5.270707e+00
1.225114e-03 5.512666e-29 5.270723e+00
1.247936e-03 9.804247e-29 5.270738e+00
1.271184e-03 1.737462e-28 5.270750e+00
1.294865e-03 3.068125e-28 5.270760e+00
1.318987e-03 5.398780e-28 5.270768e+00
1.343558e-03 9.466534e-28 5.270774e+00
1.368587e-03 1.654121e-27 5.270779e+00
1.394083e-03 2.880268e-27 5.270781e+00
1.420053e-03 4.997992e-27 5.270782e+00
1.446507e-03 8.642984e-27 5.270782e+00
1.473454e-03 1.489516e-26 5.270779e+00
1.500903e-03 2.558282e-26 5.270776e+00
1.528864e-03 4.379065e-26 5.270771e+00
1.557345e-03 7.470542e-26 5.270765e+00
1.586357e-03 1.270190e-25 5.270758e+00
1.615909e-03 2.152483e-25 5.270749e+00
1.646012e-03 3.635572e-25 5.270740e+00
1.676675e-03 6.120348e-25 5.270729e+00
1.707910e-03 1.026970e-24 5.270718e+00
1.739726e-03 1.717617e-24 5.270706e+00
1.772136e-03 2.863449e-24 5.270694e+00
1.805149e-03 4.758339e-24 5.270680e+00
1.838777e-03 7.881925e-24 5.270667e+00
1.873032e-03 1.301452e-23 5.270653e+00
1.907924e-03 2.142157e-23 5.270638e+00
1.943467e-03 3.514875e-23 5.270623e+00
1.979672e-03 5.749257e-23 5.270608e+00
2.016551e-03 9.374868e-23 5.270593e+00
2.054117e-03 1.523976e-22 5.270578e+00
2.092383e-03 2.469785e-22 5.270563e+00
2.131362e-03 3.990396e-22 5.270548e+00
2.171068e-03 6.427719e-22 5.270534e+00
2.211512e-03 1.032262e-21 5.270519e+00
2.252711e-03 1.652811e-21 5.270505e+00
2.294676e-03 2.638548e-21 5.270492e+00
2.337424e-03 4.199748e-21 5.270479e+00
2.380968e-03 6.665091e-21 5.270467e+00
2.425323e-03 1.054683e-20 5.270455e+00
2.470504e-03 1.664096e-20 5.270444e+00
2.516527e-03 2.618086e-20 5.270434e+00
2.563407e-03 4.107207e-20 5.270425e+00
2.611161e-03 6.425021e-20 5.270417e+00
2.659804e-03 1.002250e-19 5.270411e+00
2.709354e-03 1.559045e-19 5.270405e+00
2.759826e-03 2.418417e-19 5.270401e+00
2.811239e-03 3.741118e-19 5.270398e+00
2.863610e-03 5.771352e-19 5.270397e+00
2.916956e-03 8.879073e-19 5.270397e+00
2.971296e-03 1.362322e-18 5.270398e+00
3.026648e-03 2.084597e-18 5.270402e+00
3.083031e-03 3.181282e-18 5.270407e+00
3.140465e-03 4.842017e-18 5.270413e+00
3.198969e-03 7.350237e-18 5.270421e+00
3.258562e-03 1.112843e-17 5.270429e+00
3.319266e-03 1.680467e-17 5.270438e+00
3.381101e-03 2.531028e-17 5.270447e+00
3.444087e-03 3.802253e-17 5.270456e+00
3.508247e-03 5.697297e-17 5.270465e+00
3.573602e-03 8.515047e-17 5.270474e+00
3.640175e-03 1.269411e-16 5.270482e+00
3.707988e-03 1.887647e-16 5.270488e+00
3.777064e-03 2.799945e-16 5.270494e+00
3.847427e-03 4.142809e-16 5.270498e+00
3.919100e-03 6.114538e-16 5.270500e+00
3.992109e-03 9.002481e-16 5.270500e+00
4.066478e-03 1.322200e-15 5.270498e+00
4.142232e-03 1.937203e-15 5.270494e+00
4.219398e-03 2.831407e-15 5.270488e+00
4.298001e-03 4.128433e-15 5.270480e+00
4.378069e-03 6.005236e-15 5.270471e+00
4.459628e-03 8.714518e-15 5.270462e+00
4.542706e-03 1.261629e-14 5.270451e+00
4.627332e-03 1.822220e-14 5.270441e+00
4.713535e-03 2.625777e-14 5.270430e+00
4.801343e-03 3.774928e-14 5.270420e+00
4.890787e-03 5.414520e-14 5.270410e+00
4.981898e-03 7.748507e-14 5.270402e+00
5.074705e-03 1.106341e-13 5.270394e+00
5.169242e-03 1.576084e-13 5.270388e+00
