# Li7 + t > Be10 + g   [Li7_t__Be10_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=2.4252e+11 beta=1.5 gamma=-200.192  Q=17.2512
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.076289e-35   1.000000e+02
1.037605e-03   1.163446e-35   1.000000e+02
1.056935e-03   1.263200e-35   1.000000e+02
1.076624e-03   1.377610e-35   1.000000e+02
1.096681e-03   1.509135e-35   1.000000e+02
1.117111e-03   1.660723e-35   1.000000e+02
1.137921e-03   1.835920e-35   1.000000e+02
1.159120e-03   2.038999e-35   1.000000e+02
1.180713e-03   2.275133e-35   1.000000e+02
1.202708e-03   2.550603e-35   1.000000e+02
1.225114e-03   2.873062e-35   1.000000e+02
1.247936e-03   3.251867e-35   1.000000e+02
1.271184e-03   3.698502e-35   1.000000e+02
1.294865e-03   4.227114e-35   1.000000e+02
1.318987e-03   4.855196e-35   1.000000e+02
1.343558e-03   5.604464e-35   1.000000e+02
1.368587e-03   6.501978e-35   1.000000e+02
1.394083e-03   7.581598e-35   1.000000e+02
1.420053e-03   8.885860e-35   1.000000e+02
1.446507e-03   1.046843e-34   1.000000e+02
1.473454e-03   1.239728e-34   1.000000e+02
1.500903e-03   1.475889e-34   1.000000e+02
1.528864e-03   1.766378e-34   1.000000e+02
1.557345e-03   2.125374e-34   1.000000e+02
1.586357e-03   2.571159e-34   1.000000e+02
1.615909e-03   3.127402e-34   1.000000e+02
1.646012e-03   3.824896e-34   1.000000e+02
1.676675e-03   4.703882e-34   1.000000e+02
1.707910e-03   5.817195e-34   1.000000e+02
1.739726e-03   7.234541e-34   1.000000e+02
1.772136e-03   9.048325e-34   1.000000e+02
1.805149e-03   1.138164e-33   1.000000e+02
1.838777e-03   1.439929e-33   1.000000e+02
1.873032e-03   1.832298e-33   1.000000e+02
1.907924e-03   2.345253e-33   1.000000e+02
1.943467e-03   3.019546e-33   1.000000e+02
1.979672e-03   3.910855e-33   1.000000e+02
2.016551e-03   5.095648e-33   1.000000e+02
2.054117e-03   6.679510e-33   1.000000e+02
2.092383e-03   8.809006e-33   1.000000e+02
2.131362e-03   1.168869e-32   1.000000e+02
2.171068e-03   1.560564e-32   1.000000e+02
2.211512e-03   2.096493e-32   1.000000e+02
2.252711e-03   2.834140e-32   1.000000e+02
2.294676e-03   3.855535e-32   1.000000e+02
2.337424e-03   5.278411e-32   1.000000e+02
2.380968e-03   7.272720e-32   1.000000e+02
2.425323e-03   1.008522e-31   1.000000e+02
2.470504e-03   1.407628e-31   1.000000e+02
2.516527e-03   1.977537e-31   1.000000e+02
2.563407e-03   2.796503e-31   1.000000e+02
2.611161e-03   3.980882e-31   1.000000e+02
2.659804e-03   5.704748e-31   1.000000e+02
2.709354e-03   8.230126e-31   1.000000e+02
2.759826e-03   1.195389e-30   1.000000e+02
2.811239e-03   1.748091e-30   1.000000e+02
2.863610e-03   2.573894e-30   1.000000e+02
2.916956e-03   3.816007e-30   1.000000e+02
2.971296e-03   5.696904e-30   1.000000e+02
3.026648e-03   8.564791e-30   1.000000e+02
3.083031e-03   1.298111e-29   1.000000e+02
3.140465e-03   1.987699e-29   1.000000e+02
3.198969e-03   3.081630e-29   1.000000e+02
3.258562e-03   4.847858e-29   1.000000e+02
3.319266e-03   7.755443e-29   1.000000e+02
3.381101e-03   1.264441e-28   1.000000e+02
3.444087e-03   2.105590e-28   1.000000e+02
3.508247e-03   3.589056e-28   1.000000e+02
3.573602e-03   6.275753e-28   1.000000e+02
3.640175e-03   1.128180e-27   1.000000e+02
3.707988e-03   2.089615e-27   1.000000e+02
3.777064e-03   3.996476e-27   1.000000e+02
3.847427e-03   7.909684e-27   1.000000e+02
3.919100e-03   1.623529e-26   1.000000e+02
3.992109e-03   3.463600e-26   1.000000e+02
4.066478e-03   7.686647e-26   1.000000e+02
4.142232e-03   1.763166e-25   1.000000e+02
4.219398e-03   4.142986e-25   1.000000e+02
4.298001e-03   9.883579e-25   1.000000e+02
4.378069e-03   2.372529e-24   1.000000e+02
4.459628e-03   5.679650e-24   1.000000e+02
4.542706e-03   1.343880e-23   1.000000e+02
4.627332e-03   3.114904e-23   1.000000e+02
4.713535e-03   7.009548e-23   1.000000e+02
4.801343e-03   1.517794e-22   1.000000e+02
4.890787e-03   3.134219e-22   1.000000e+02
4.981898e-03   6.117244e-22   1.000000e+02
5.074705e-03   1.120161e-21   1.000000e+02
5.169242e-03   1.931991e-21   1.000000e+02
5.265540e-03   3.166735e-21   1.000000e+02
5.363631e-03   4.977284e-21   1.000000e+02
5.463550e-03   7.569014e-21   1.000000e+02
5.565331e-03   1.123684e-20   1.000000e+02
5.669007e-03   1.643234e-20   1.000000e+02
5.774615e-03   2.388344e-20   1.000000e+02
5.882190e-03   3.481196e-20   1.000000e+02
5.991770e-03   5.134361e-20   1.000000e+02
6.103390e-03   7.718770e-20   1.000000e+02
6.217090e-03   1.181726e-19   1.000000e+02
6.332908e-03   1.836030e-19   1.000000e+02
6.450884e-03   2.884858e-19   1.000000e+02
6.571058e-03   4.568121e-19   1.000000e+02
6.693470e-03   7.264513e-19   1.000000e+02
6.818162e-03   1.156161e-18   1.000000e+02
6.945178e-03   1.835100e-18   1.000000e+02
7.074559e-03   2.895182e-18   1.000000e+02
7.206351e-03   4.534907e-18   1.000000e+02
7.340598e-03   7.057124e-18   1.000000e+02
7.477346e-03   1.091863e-17   1.000000e+02
7.616642e-03   1.680751e-17   1.000000e+02
7.758532e-03   2.576012e-17   1.000000e+02
7.903066e-03   3.933829e-17   1.000000e+02
8.050292e-03   5.989814e-17   1.000000e+02
8.200261e-03   9.091651e-17   1.000000e+02
8.353023e-03   1.373367e-16   1.000000e+02
8.508632e-03   2.060988e-16   1.000000e+02
8.667139e-03   3.067190e-16   1.000000e+02
8.828599e-03   4.518690e-16   1.000000e+02
8.993067e-03   6.578431e-16   1.000000e+02
9.160598e-03   9.453210e-16   1.000000e+02
9.331251e-03   1.343250e-15   1.000000e+02
9.505083e-03   1.892286e-15   1.000000e+02
9.682153e-03   2.649722e-15   1.000000e+02
9.862522e-03   3.697675e-15   1.000000e+02
1.004625e-02   5.155866e-15   1.000000e+02
1.023340e-02   7.197542e-15   1.000000e+02
1.042404e-02   1.006768e-14   1.000000e+02
1.061823e-02   1.411987e-14   1.000000e+02
1.081604e-02   1.986931e-14   1.000000e+02
1.101753e-02   2.807234e-14   1.000000e+02
1.122277e-02   3.984070e-14   1.000000e+02
1.143184e-02   5.678983e-14   1.000000e+02
1.164481e-02   8.128327e-14   1.000000e+02
1.186174e-02   1.167913e-13   1.000000e+02
1.208271e-02   1.684193e-13   1.000000e+02
1.230780e-02   2.437147e-13   1.000000e+02
1.253708e-02   3.538994e-13   1.000000e+02
1.277063e-02   5.156914e-13   1.000000e+02
1.300854e-02   7.540773e-13   1.000000e+02
1.325087e-02   1.106503e-12   1.000000e+02
1.349772e-02   1.629158e-12   1.000000e+02
1.374917e-02   2.406598e-12   1.000000e+02
1.400531e-02   3.566391e-12   1.000000e+02
1.426621e-02   5.301446e-12   1.000000e+02
1.453198e-02   7.904050e-12   1.000000e+02
1.480269e-02   1.181800e-11   1.000000e+02
1.507845e-02   1.771849e-11   1.000000e+02
1.535935e-02   2.663480e-11   1.000000e+02
1.564548e-02   4.013921e-11   1.000000e+02
1.593694e-02   6.063760e-11   1.000000e+02
1.623382e-02   9.181641e-11   1.000000e+02
1.653624e-02   1.393183e-10   1.000000e+02
1.684430e-02   2.117819e-10   1.000000e+02
1.715809e-02   3.224369e-10   1.000000e+02
1.747773e-02   4.915402e-10   1.000000e+02
1.780332e-02   7.500920e-10   1.000000e+02
1.813498e-02   1.145501e-09   1.000000e+02
1.847281e-02   1.750401e-09   1.000000e+02
1.881694e-02   2.676359e-09   1.000000e+02
1.916748e-02   4.094704e-09   1.000000e+02
1.952456e-02   6.268728e-09   1.000000e+02
1.988828e-02   9.603339e-09   1.000000e+02
2.025878e-02   1.472101e-08   1.000000e+02
2.063618e-02   2.256811e-08   1.000000e+02
2.102061e-02   3.457292e-08   1.000000e+02
2.141220e-02   5.288102e-08   1.000000e+02
2.181109e-02   8.069110e-08   1.000000e+02
2.221741e-02   1.227306e-07   1.000000e+02
2.263130e-02   1.859177e-07   1.000000e+02
2.305289e-02   2.802648e-07   1.000000e+02
2.348235e-02   4.200838e-07   1.000000e+02
2.391980e-02   6.255498e-07   1.000000e+02
2.436540e-02   9.246681e-07   1.000000e+02
2.481930e-02   1.355649e-06   1.000000e+02
2.528166e-02   1.969764e-06   1.000000e+02
2.575263e-02   2.837107e-06   1.000000e+02
2.623238e-02   4.054517e-06   1.000000e+02
2.672106e-02   5.754657e-06   1.000000e+02
2.721885e-02   8.119545e-06   1.000000e+02
2.772591e-02   1.139963e-05   1.000000e+02
2.824241e-02   1.594087e-05   1.000000e+02
2.876854e-02   2.222338e-05   1.000000e+02
2.930447e-02   3.091722e-05   1.000000e+02
2.985038e-02   4.296330e-05   1.000000e+02
3.040646e-02   5.966977e-05   1.000000e+02
3.097291e-02   8.258577e-05   1.000000e+02
3.154990e-02   1.133594e-04   1.000000e+02
3.213764e-02   1.535712e-04   1.000000e+02
3.273634e-02   2.043436e-04   1.000000e+02
3.334618e-02   2.657724e-04   1.000000e+02
3.396739e-02   3.362447e-04   1.000000e+02
3.460016e-02   4.118095e-04   1.000000e+02
3.524473e-02   4.858827e-04   1.000000e+02
3.590130e-02   5.496162e-04   1.000000e+02
3.657011e-02   5.931704e-04   1.000000e+02
3.725137e-02   6.078410e-04   1.000000e+02
3.794533e-02   5.885590e-04   1.000000e+02
3.865221e-02   5.358933e-04   1.000000e+02
3.937226e-02   4.566187e-04   1.000000e+02
4.010573e-02   3.623424e-04   1.000000e+02
4.085286e-02   2.677963e-04   1.000000e+02
4.161391e-02   1.867320e-04   1.000000e+02
4.238913e-02   1.247021e-04   1.000000e+02
4.317880e-02   8.096208e-05   1.000000e+02
4.398317e-02   5.187457e-05   1.000000e+02
4.480254e-02   3.329695e-05   1.000000e+02
4.563716e-02   2.173420e-05   1.000000e+02
4.648734e-02   1.464482e-05   1.000000e+02
4.735335e-02   1.034042e-05   1.000000e+02
4.823549e-02   7.766359e-06   1.000000e+02
4.913407e-02   6.298462e-06   1.000000e+02
5.004939e-02   5.598879e-06   1.000000e+02
5.098176e-02   5.506465e-06   1.000000e+02
5.193150e-02   5.932448e-06   1.000000e+02
5.289893e-02   6.903773e-06   1.000000e+02
5.388438e-02   8.557214e-06   1.000000e+02
5.488820e-02   1.113971e-05   1.000000e+02
5.591071e-02   1.501802e-05   1.000000e+02
5.695227e-02   2.067525e-05   1.000000e+02
5.801323e-02   2.866096e-05   1.000000e+02
5.909396e-02   3.944882e-05   1.000000e+02
