# Li8 + He3 > Be10 + p   [Li8He3TOBe10p]   ref=TALYS2
# detailed balance: alpha=18.562 beta=0 gamma=-185.468  Q=15.9824
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.012773e-35 1.000000e+02
1.037605e-03 1.022282e-35 1.000000e+02
1.056935e-03 1.028552e-35 1.000000e+02
1.076624e-03 1.031644e-35 1.000000e+02
1.096681e-03 1.031650e-35 1.000000e+02
1.117111e-03 1.028691e-35 1.000000e+02
1.137921e-03 1.022913e-35 1.000000e+02
1.159120e-03 1.014482e-35 1.000000e+02
1.180713e-03 1.003582e-35 1.000000e+02
1.202708e-03 9.904109e-36 1.000000e+02
1.225114e-03 9.751758e-36 1.000000e+02
1.247936e-03 9.580901e-36 1.000000e+02
1.271184e-03 9.393700e-36 1.000000e+02
1.294865e-03 9.192316e-36 1.000000e+02
1.318987e-03 8.978878e-36 1.000000e+02
1.343558e-03 8.755461e-36 1.000000e+02
1.368587e-03 8.524066e-36 1.000000e+02
1.394083e-03 8.286600e-36 1.000000e+02
1.420053e-03 8.044865e-36 1.000000e+02
1.446507e-03 7.800545e-36 1.000000e+02
1.473454e-03 7.555198e-36 1.000000e+02
1.500903e-03 7.310254e-36 1.000000e+02
1.528864e-03 7.067013e-36 1.000000e+02
1.557345e-03 6.826639e-36 1.000000e+02
1.586357e-03 6.590171e-36 1.000000e+02
1.615909e-03 6.358521e-36 1.000000e+02
1.646012e-03 6.132481e-36 1.000000e+02
1.676675e-03 5.912728e-36 1.000000e+02
1.707910e-03 5.699833e-36 1.000000e+02
1.739726e-03 5.494271e-36 1.000000e+02
1.772136e-03 5.296421e-36 1.000000e+02
1.805149e-03 5.106584e-36 1.000000e+02
1.838777e-03 4.924987e-36 1.000000e+02
1.873032e-03 4.751789e-36 1.000000e+02
1.907924e-03 4.587094e-36 1.000000e+02
1.943467e-03 4.430959e-36 1.000000e+02
1.979672e-03 4.283396e-36 1.000000e+02
2.016551e-03 4.144385e-36 1.000000e+02
2.054117e-03 4.013881e-36 1.000000e+02
2.092383e-03 3.891815e-36 1.000000e+02
2.131362e-03 3.778108e-36 1.000000e+02
2.171068e-03 3.672670e-36 1.000000e+02
2.211512e-03 3.575409e-36 1.000000e+02
2.252711e-03 3.486237e-36 1.000000e+02
2.294676e-03 3.405073e-36 1.000000e+02
2.337424e-03 3.331848e-36 1.000000e+02
2.380968e-03 3.266512e-36 1.000000e+02
2.425323e-03 3.209036e-36 1.000000e+02
2.470504e-03 3.159418e-36 1.000000e+02
2.516527e-03 3.117690e-36 1.000000e+02
2.563407e-03 3.083918e-36 1.000000e+02
