# Li8 + He3 > a + a + t   [Li8He3TOaat]   ref=TALYS2
# detailed balance: alpha=3.5907e-10 beta=-1.5 gamma=-186.582  Q=16.0784
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.013543e-35 1.000000e+02
1.037605e-03 1.023635e-35 1.000000e+02
1.056935e-03 1.030298e-35 1.000000e+02
1.076624e-03 1.033591e-35 1.000000e+02
1.096681e-03 1.033611e-35 1.000000e+02
1.117111e-03 1.030485e-35 1.000000e+02
1.137921e-03 1.024371e-35 1.000000e+02
1.159120e-03 1.015446e-35 1.000000e+02
1.180713e-03 1.003911e-35 1.000000e+02
1.202708e-03 9.899780e-36 1.000000e+02
1.225114e-03 9.738732e-36 1.000000e+02
1.247936e-03 9.558278e-36 1.000000e+02
1.271184e-03 9.360762e-36 1.000000e+02
1.294865e-03 9.148524e-36 1.000000e+02
1.318987e-03 8.923869e-36 1.000000e+02
1.343558e-03 8.689035e-36 1.000000e+02
1.368587e-03 8.446177e-36 1.000000e+02
1.394083e-03 8.197342e-36 1.000000e+02
1.420053e-03 7.944455e-36 1.000000e+02
1.446507e-03 7.689310e-36 1.000000e+02
1.473454e-03 7.433559e-36 1.000000e+02
1.500903e-03 7.178708e-36 1.000000e+02
1.528864e-03 6.926119e-36 1.000000e+02
1.557345e-03 6.677006e-36 1.000000e+02
1.586357e-03 6.432438e-36 1.000000e+02
1.615909e-03 6.193348e-36 1.000000e+02
1.646012e-03 5.960538e-36 1.000000e+02
1.676675e-03 5.734683e-36 1.000000e+02
1.707910e-03 5.516344e-36 1.000000e+02
1.739726e-03 5.305976e-36 1.000000e+02
1.772136e-03 5.103936e-36 1.000000e+02
1.805149e-03 4.910493e-36 1.000000e+02
1.838777e-03 4.725838e-36 1.000000e+02
1.873032e-03 4.550095e-36 1.000000e+02
1.907924e-03 4.383328e-36 1.000000e+02
1.943467e-03 4.225552e-36 1.000000e+02
1.979672e-03 4.076737e-36 1.000000e+02
2.016551e-03 3.936821e-36 1.000000e+02
2.054117e-03 3.805718e-36 1.000000e+02
2.092383e-03 3.683318e-36 1.000000e+02
2.131362e-03 3.569502e-36 1.000000e+02
2.171068e-03 3.464142e-36 1.000000e+02
