# Li8 + d > Be10 + g   [Li8_d__Be10_g]   ref=TALYS2
# detailed balance: alpha=3.0342e+11 beta=1.5 gamma=-249.217  Q=21.4759
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.084795e-35 1.000000e+02
1.037605e-03 1.182541e-35 1.000000e+02
1.056935e-03 1.295468e-35 1.000000e+02
1.076624e-03 1.426263e-35 1.000000e+02
1.096681e-03 1.578179e-35 1.000000e+02
1.117111e-03 1.755163e-35 1.000000e+02
1.137921e-03 1.962024e-35 1.000000e+02
1.159120e-03 2.204640e-35 1.000000e+02
1.180713e-03 2.490226e-35 1.000000e+02
1.202708e-03 2.827667e-35 1.000000e+02
1.225114e-03 3.227954e-35 1.000000e+02
1.247936e-03 3.704733e-35 1.000000e+02
1.271184e-03 4.275018e-35 1.000000e+02
1.294865e-03 4.960112e-35 1.000000e+02
1.318987e-03 5.786800e-35 1.000000e+02
1.343558e-03 6.788907e-35 1.000000e+02
1.368587e-03 8.009337e-35 1.000000e+02
1.394083e-03 9.502758e-35 1.000000e+02
1.420053e-03 1.133914e-34 1.000000e+02
1.446507e-03 1.360846e-34 1.000000e+02
1.473454e-03 1.642695e-34 1.000000e+02
1.500903e-03 1.994552e-34 1.000000e+02
1.528864e-03 2.436099e-34 1.000000e+02
1.557345e-03 2.993138e-34 1.000000e+02
1.586357e-03 3.699659e-34 1.000000e+02
1.615909e-03 4.600668e-34 1.000000e+02
1.646012e-03 5.756059e-34 1.000000e+02
1.676675e-03 7.245957e-34 1.000000e+02
1.707910e-03 9.178112e-34 1.000000e+02
1.739726e-03 1.169820e-33 1.000000e+02
1.772136e-03 1.500423e-33 1.000000e+02
1.805149e-03 1.936683e-33 1.000000e+02
1.838777e-03 2.515790e-33 1.000000e+02
1.873032e-03 3.289139e-33 1.000000e+02
1.907924e-03 4.328157e-33 1.000000e+02
1.943467e-03 5.732680e-33 1.000000e+02
1.979672e-03 7.643061e-33 1.000000e+02
2.016551e-03 1.025777e-32 1.000000e+02
2.054117e-03 1.385911e-32 1.000000e+02
2.092383e-03 1.885105e-32 1.000000e+02
2.131362e-03 2.581516e-32 1.000000e+02
2.171068e-03 3.559375e-32 1.000000e+02
2.211512e-03 4.941439e-32 1.000000e+02
2.252711e-03 6.907724e-32 1.000000e+02
2.294676e-03 9.723871e-32 1.000000e+02
