# Li8 + d > Li7 + t   [Li8_d__Li7_t]   ref=Has09c  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T923=T9^(2/3),T913=T9^(1/3)},(3.02*^8/T9^0.624*Exp[-3.51/T9]+5.82*^11/T923*Exp[-19.72/T913]*(1.0+0.280*T913))]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03 1.361583e-72 3.000000e+00
1.018629e-03 4.508957e-72 3.000000e+00
1.037605e-03 1.482130e-71 3.000000e+00
1.056935e-03 4.836095e-71 3.000000e+00
1.076624e-03 1.566467e-70 3.000000e+00
1.096681e-03 5.037149e-70 3.000000e+00
1.117111e-03 1.608071e-69 3.000000e+00
1.137921e-03 5.096847e-69 3.000000e+00
1.159120e-03 1.603959e-68 3.000000e+00
1.180713e-03 5.011862e-68 3.000000e+00
1.202708e-03 1.555028e-67 3.000000e+00
1.225114e-03 4.791034e-67 3.000000e+00
1.247936e-03 1.465855e-66 3.000000e+00
1.271184e-03 4.453917e-66 3.000000e+00
1.294865e-03 1.344005e-65 3.000000e+00
1.318987e-03 4.027967e-65 3.000000e+00
1.343558e-03 1.198989e-64 3.000000e+00
1.368587e-03 3.544925e-64 3.000000e+00
1.394083e-03 1.041069e-63 3.000000e+00
1.420053e-03 3.037038e-63 3.000000e+00
1.446507e-03 8.801105e-63 3.000000e+00
1.473454e-03 2.533717e-62 3.000000e+00
1.500903e-03 7.246539e-62 3.000000e+00
1.528864e-03 2.059075e-61 3.000000e+00
1.557345e-03 5.812995e-61 3.000000e+00
1.586357e-03 1.630540e-60 3.000000e+00
1.615909e-03 4.544475e-60 3.000000e+00
1.646012e-03 1.258560e-59 3.000000e+00
1.676675e-03 3.463528e-59 3.000000e+00
1.707910e-03 9.471861e-59 3.000000e+00
1.739726e-03 2.574188e-58 3.000000e+00
1.772136e-03 6.952646e-58 3.000000e+00
1.805149e-03 1.866301e-57 3.000000e+00
1.838777e-03 4.979103e-57 3.000000e+00
1.873032e-03 1.320307e-56 3.000000e+00
1.907924e-03 3.479920e-56 3.000000e+00
1.943467e-03 9.116964e-56 3.000000e+00
1.979672e-03 2.374291e-55 3.000000e+00
2.016551e-03 6.146620e-55 3.000000e+00
2.054117e-03 1.581879e-54 3.000000e+00
2.092383e-03 4.047254e-54 3.000000e+00
2.131362e-03 1.029469e-53 3.000000e+00
2.171068e-03 2.603442e-53 3.000000e+00
2.211512e-03 6.546050e-53 3.000000e+00
2.252711e-03 1.636526e-52 3.000000e+00
2.294676e-03 4.068123e-52 3.000000e+00
2.337424e-03 1.005560e-51 3.000000e+00
2.380968e-03 2.471607e-51 3.000000e+00
2.425323e-03 6.041208e-51 3.000000e+00
2.470504e-03 1.468439e-50 3.000000e+00
2.516527e-03 3.549689e-50 3.000000e+00
2.563407e-03 8.533789e-50 3.000000e+00
2.611161e-03 2.040447e-49 3.000000e+00
2.659804e-03 4.852382e-49 3.000000e+00
2.709354e-03 1.147745e-48 3.000000e+00
2.759826e-03 2.700294e-48 3.000000e+00
2.811239e-03 6.319258e-48 3.000000e+00
2.863610e-03 1.471041e-47 3.000000e+00
2.916956e-03 3.406441e-47 3.000000e+00
2.971296e-03 7.847092e-47 3.000000e+00
3.026648e-03 1.798300e-46 3.000000e+00
3.083031e-03 4.099917e-46 3.000000e+00
3.140465e-03 9.299532e-46 3.000000e+00
3.198969e-03 2.098621e-45 3.000000e+00
3.258562e-03 4.712022e-45 3.000000e+00
3.319266e-03 1.052676e-44 3.000000e+00
3.381101e-03 2.339964e-44 3.000000e+00
3.444087e-03 5.175643e-44 3.000000e+00
3.508247e-03 1.139130e-43 3.000000e+00
3.573602e-03 2.494880e-43 3.000000e+00
3.640175e-03 5.437585e-43 3.000000e+00
3.707988e-03 1.179385e-42 3.000000e+00
3.777064e-03 2.545724e-42 3.000000e+00
3.847427e-03 5.468725e-42 3.000000e+00
3.919100e-03 1.169210e-41 3.000000e+00
3.992109e-03 2.487960e-41 3.000000e+00
4.066478e-03 5.269280e-41 3.000000e+00
4.142232e-03 1.110782e-40 3.000000e+00
4.219398e-03 2.330711e-40 3.000000e+00
4.298001e-03 4.867908e-40 3.000000e+00
4.378069e-03 1.012053e-39 3.000000e+00
4.459628e-03 2.094512e-39 3.000000e+00
4.542706e-03 4.315128e-39 3.000000e+00
