# Li8 + d > Li9 + p   [Li8_d__Li9_p]   ref=Bal95  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T923=T9^(2/3),T913=T9^(1/3)},9.63*^6/T923*Exp[-10.324/T913]*(1.+0.404*T913)*74.]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03 1.080180e-34 3.000000e+00
1.018629e-03 2.010331e-34 3.000000e+00
1.037605e-03 3.726945e-34 3.000000e+00
1.056935e-03 6.882757e-34 3.000000e+00
1.076624e-03 1.266212e-33 3.000000e+00
1.096681e-03 2.320571e-33 3.000000e+00
1.117111e-03 4.236803e-33 3.000000e+00
1.137921e-03 7.706312e-33 3.000000e+00
1.159120e-03 1.396464e-32 3.000000e+00
1.180713e-03 2.521146e-32 3.000000e+00
1.202708e-03 4.534830e-32 3.000000e+00
1.225114e-03 8.126972e-32 3.000000e+00
1.247936e-03 1.451145e-31 3.000000e+00
1.271184e-03 2.581769e-31 3.000000e+00
1.294865e-03 4.576755e-31 3.000000e+00
1.318987e-03 8.084282e-31 3.000000e+00
1.343558e-03 1.422913e-30 3.000000e+00
1.368587e-03 2.495616e-30 3.000000e+00
1.394083e-03 4.361633e-30 3.000000e+00
1.420053e-03 7.596297e-30 3.000000e+00
1.446507e-03 1.318395e-29 3.000000e+00
1.473454e-03 2.280284e-29 3.000000e+00
1.500903e-03 3.930443e-29 3.000000e+00
1.528864e-03 6.751689e-29 3.000000e+00
1.557345e-03 1.155875e-28 3.000000e+00
1.586357e-03 1.972176e-28 3.000000e+00
1.615909e-03 3.353712e-28 3.000000e+00
1.646012e-03 5.684084e-28 3.000000e+00
1.676675e-03 9.601926e-28 3.000000e+00
1.707910e-03 1.616696e-27 3.000000e+00
1.739726e-03 2.713183e-27 3.000000e+00
1.772136e-03 4.538574e-27 3.000000e+00
1.805149e-03 7.567597e-27 3.000000e+00
1.838777e-03 1.257776e-26 3.000000e+00
1.873032e-03 2.083839e-26 3.000000e+00
1.907924e-03 3.441507e-26 3.000000e+00
1.943467e-03 5.665857e-26 3.000000e+00
1.979672e-03 9.298722e-26 3.000000e+00
2.016551e-03 1.521353e-25 3.000000e+00
2.054117e-03 2.481385e-25 3.000000e+00
2.092383e-03 4.034816e-25 3.000000e+00
2.131362e-03 6.540745e-25 3.000000e+00
2.171068e-03 1.057092e-24 3.000000e+00
2.211512e-03 1.703288e-24 3.000000e+00
2.252711e-03 2.736287e-24 3.000000e+00
2.294676e-03 4.382695e-24 3.000000e+00
2.337424e-03 6.998982e-24 3.000000e+00
2.380968e-03 1.114424e-23 3.000000e+00
2.425323e-03 1.769277e-23 3.000000e+00
2.470504e-03 2.800778e-23 3.000000e+00
2.516527e-03 4.420861e-23 3.000000e+00
2.563407e-03 6.958058e-23 3.000000e+00
2.611161e-03 1.092018e-22 3.000000e+00
2.659804e-03 1.708992e-22 3.000000e+00
2.709354e-03 2.667020e-22 3.000000e+00
2.759826e-03 4.150454e-22 3.000000e+00
2.811239e-03 6.441039e-22 3.000000e+00
2.863610e-03 9.968147e-22 3.000000e+00
2.916956e-03 1.538433e-21 3.000000e+00
2.971296e-03 2.367859e-21 3.000000e+00
3.026648e-03 3.634572e-21 3.000000e+00
3.083031e-03 5.563887e-21 3.000000e+00
3.140465e-03 8.494504e-21 3.000000e+00
3.198969e-03 1.293420e-20 3.000000e+00
3.258562e-03 1.964221e-20 3.000000e+00
3.319266e-03 2.975068e-20 3.000000e+00
3.381101e-03 4.494348e-20 3.000000e+00
3.444087e-03 6.771838e-20 3.000000e+00
3.508247e-03 1.017708e-19 3.000000e+00
3.573602e-03 1.525542e-19 3.000000e+00
