# Li8 + t > Be11 + g   [Li8_t__Be11_g]   ref=TALYS2
# detailed balance: alpha=1.605e+11 beta=1.5 gamma=-182.453  Q=15.7226
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.074557e-35 1.000000e+02
1.037605e-03 1.159519e-35 1.000000e+02
1.056935e-03 1.256506e-35 1.000000e+02
1.076624e-03 1.367447e-35 1.000000e+02
1.096681e-03 1.494634e-35 1.000000e+02
1.117111e-03 1.640809e-35 1.000000e+02
1.137921e-03 1.809257e-35 1.000000e+02
1.159120e-03 2.003923e-35 1.000000e+02
1.180713e-03 2.229569e-35 1.000000e+02
1.202708e-03 2.491952e-35 1.000000e+02
1.225114e-03 2.798062e-35 1.000000e+02
1.247936e-03 3.156414e-35 1.000000e+02
1.271184e-03 3.577418e-35 1.000000e+02
1.294865e-03 4.073844e-35 1.000000e+02
1.318987e-03 4.661420e-35 1.000000e+02
1.343558e-03 5.359584e-35 1.000000e+02
1.368587e-03 6.192459e-35 1.000000e+02
1.394083e-03 7.190090e-35 1.000000e+02
1.420053e-03 8.390054e-35 1.000000e+02
1.446507e-03 9.839531e-35 1.000000e+02
1.473454e-03 1.159800e-34 1.000000e+02
1.500903e-03 1.374078e-34 1.000000e+02
1.528864e-03 1.636360e-34 1.000000e+02
1.557345e-03 1.958871e-34 1.000000e+02
1.586357e-03 2.357285e-34 1.000000e+02
1.615909e-03 2.851791e-34 1.000000e+02
1.646012e-03 3.468509e-34 1.000000e+02
1.676675e-03 4.241382e-34 1.000000e+02
1.707910e-03 5.214726e-34 1.000000e+02
1.739726e-03 6.446665e-34 1.000000e+02
1.772136e-03 8.013797e-34 1.000000e+02
1.805149e-03 1.001754e-33 1.000000e+02
1.838777e-03 1.259284e-33 1.000000e+02
1.873032e-03 1.592009e-33 1.000000e+02
1.907924e-03 2.024172e-33 1.000000e+02
1.943467e-03 2.588504e-33 1.000000e+02
1.979672e-03 3.329432e-33 1.000000e+02
2.016551e-03 4.307558e-33 1.000000e+02
2.054117e-03 5.605986e-33 1.000000e+02
2.092383e-03 7.339267e-33 1.000000e+02
2.131362e-03 9.666143e-33 1.000000e+02
2.171068e-03 1.280778e-32 1.000000e+02
2.211512e-03 1.707395e-32 1.000000e+02
2.252711e-03 2.290100e-32 1.000000e+02
2.294676e-03 3.090686e-32 1.000000e+02
2.337424e-03 4.197158e-32 1.000000e+02
2.380968e-03 5.735559e-32 1.000000e+02
2.425323e-03 7.887444e-32 1.000000e+02
2.470504e-03 1.091584e-31 1.000000e+02
2.516527e-03 1.520400e-31 1.000000e+02
2.563407e-03 2.131370e-31 1.000000e+02
2.611161e-03 3.007323e-31 1.000000e+02
2.659804e-03 4.271118e-31 1.000000e+02
2.709354e-03 6.106092e-31 1.000000e+02
2.759826e-03 8.787501e-31 1.000000e+02
2.811239e-03 1.273115e-30 1.000000e+02
2.863610e-03 1.856909e-30 1.000000e+02
2.916956e-03 2.726803e-30 1.000000e+02
2.971296e-03 4.031599e-30 1.000000e+02
3.026648e-03 6.002027e-30 1.000000e+02
3.083031e-03 9.006821e-30 1.000000e+02
3.140465e-03 1.365203e-29 1.000000e+02
3.198969e-03 2.094571e-29 1.000000e+02
3.258562e-03 3.259761e-29 1.000000e+02
3.319266e-03 5.156905e-29 1.000000e+02
3.381101e-03 8.310472e-29 1.000000e+02
3.444087e-03 1.367148e-28 1.000000e+02
3.508247e-03 2.300801e-28 1.000000e+02
3.573602e-03 3.969506e-28 1.000000e+02
3.640175e-03 7.035711e-28 1.000000e+02
3.707988e-03 1.283849e-27 1.000000e+02
3.777064e-03 2.416988e-27 1.000000e+02
3.847427e-03 4.704462e-27 1.000000e+02
3.919100e-03 9.487255e-27 1.000000e+02
3.992109e-03 1.986491e-26 1.000000e+02
4.066478e-03 4.322285e-26 1.000000e+02
4.142232e-03 9.712240e-26 1.000000e+02
4.219398e-03 2.234343e-25 1.000000e+02
4.298001e-03 5.217337e-25 1.000000e+02
4.378069e-03 1.225917e-24 1.000000e+02
4.459628e-03 2.873626e-24 1.000000e+02
4.542706e-03 6.661942e-24 1.000000e+02
4.627332e-03 1.514318e-23 1.000000e+02
4.713535e-03 3.345981e-23 1.000000e+02
4.801343e-03 7.124657e-23 1.000000e+02
4.890787e-03 1.449382e-22 1.000000e+02
4.981898e-03 2.792701e-22 1.000000e+02
5.074705e-03 5.060378e-22 1.000000e+02
5.169242e-03 8.655724e-22 1.000000e+02
5.265540e-03 1.409741e-21 1.000000e+02
5.363631e-03 2.205228e-21 1.000000e+02
5.463550e-03 3.342019e-21 1.000000e+02
5.565331e-03 4.949585e-21 1.000000e+02
5.669007e-03 7.225966e-21 1.000000e+02
5.774615e-03 1.048946e-20 1.000000e+02
5.882190e-03 1.527228e-20 1.000000e+02
5.991770e-03 2.249628e-20 1.000000e+02
6.103390e-03 3.376346e-20 1.000000e+02
6.217090e-03 5.158627e-20 1.000000e+02
6.332908e-03 7.996807e-20 1.000000e+02
6.450884e-03 1.253540e-19 1.000000e+02
6.571058e-03 1.980356e-19 1.000000e+02
6.693470e-03 3.142503e-19 1.000000e+02
6.818162e-03 4.992053e-19 1.000000e+02
6.945178e-03 7.912213e-19 1.000000e+02
7.074559e-03 1.247186e-18 1.000000e+02
7.206351e-03 1.952960e-18 1.000000e+02
7.340598e-03 3.039862e-18 1.000000e+02
7.477346e-03 4.706573e-18 1.000000e+02
7.616642e-03 7.253337e-18 1.000000e+02
7.758532e-03 1.113384e-17 1.000000e+02
7.903066e-03 1.703405e-17 1.000000e+02
8.050292e-03 2.599216e-17 1.000000e+02
8.200261e-03 3.954972e-17 1.000000e+02
8.353023e-03 5.992338e-17 1.000000e+02
8.508632e-03 9.026727e-17 1.000000e+02
8.667139e-03 1.349816e-16 1.000000e+02
8.828599e-03 2.000590e-16 1.000000e+02
8.993067e-03 2.934338e-16 1.000000e+02
9.160598e-03 4.254760e-16 1.000000e+02
9.331251e-03 6.106217e-16 1.000000e+02
9.505083e-03 8.689561e-16 1.000000e+02
9.682153e-03 1.228423e-15 1.000000e+02
9.862522e-03 1.728295e-15 1.000000e+02
1.004625e-02 2.424398e-15 1.000000e+02
1.023340e-02 3.396534e-15 1.000000e+02
1.042404e-02 4.759025e-15 1.000000e+02
1.061823e-02 6.677894e-15 1.000000e+02
1.081604e-02 9.397014e-15 1.000000e+02
1.101753e-02 1.327879e-14 1.000000e+02
1.122277e-02 1.886109e-14 1.000000e+02
1.143184e-02 2.692258e-14 1.000000e+02
1.164481e-02 3.860204e-14 1.000000e+02
1.186174e-02 5.557116e-14 1.000000e+02
1.208271e-02 8.028569e-14 1.000000e+02
1.230780e-02 1.163779e-13 1.000000e+02
1.253708e-02 1.692654e-13 1.000000e+02
1.277063e-02 2.470364e-13 1.000000e+02
1.300854e-02 3.618089e-13 1.000000e+02
1.325087e-02 5.317883e-13 1.000000e+02
1.349772e-02 7.843336e-13 1.000000e+02
1.374917e-02 1.160686e-12 1.000000e+02
1.400531e-02 1.723175e-12 1.000000e+02
1.426621e-02 2.566225e-12 1.000000e+02
1.453198e-02 3.833188e-12 1.000000e+02
1.480269e-02 5.742158e-12 1.000000e+02
1.507845e-02 8.625605e-12 1.000000e+02
1.535935e-02 1.299140e-11 1.000000e+02
1.564548e-02 1.961699e-11 1.000000e+02
1.593694e-02 2.969455e-11 1.000000e+02
1.623382e-02 4.505484e-11 1.000000e+02
1.653624e-02 6.850645e-11 1.000000e+02
1.684430e-02 1.043589e-10 1.000000e+02
1.715809e-02 1.592274e-10 1.000000e+02
1.747773e-02 2.432649e-10 1.000000e+02
1.780332e-02 3.720463e-10 1.000000e+02
1.813498e-02 5.694484e-10 1.000000e+02
1.847281e-02 8.721433e-10 1.000000e+02
1.881694e-02 1.336597e-09 1.000000e+02
1.916748e-02 2.049747e-09 1.000000e+02
1.952456e-02 3.145536e-09 1.000000e+02
1.988828e-02 4.830490e-09 1.000000e+02
2.025878e-02 7.422955e-09 1.000000e+02
2.063618e-02 1.140833e-08 1.000000e+02
2.102061e-02 1.752137e-08 1.000000e+02
2.141220e-02 2.686919e-08 1.000000e+02
2.181109e-02 4.110753e-08 1.000000e+02
2.221741e-02 6.269142e-08 1.000000e+02
2.263130e-02 9.522573e-08 1.000000e+02
2.305289e-02 1.439460e-07 1.000000e+02
2.348235e-02 2.163635e-07 1.000000e+02
2.391980e-02 3.231074e-07 1.000000e+02
2.436540e-02 4.789917e-07 1.000000e+02
2.481930e-02 7.043151e-07 1.000000e+02
2.528166e-02 1.026437e-06 1.000000e+02
2.575263e-02 1.482903e-06 1.000000e+02
2.623238e-02 2.125759e-06 1.000000e+02
2.672106e-02 3.026566e-06 1.000000e+02
2.721885e-02 4.283856e-06 1.000000e+02
2.772591e-02 6.033675e-06 1.000000e+02
2.824241e-02 8.464576e-06 1.000000e+02
2.876854e-02 1.183910e-05 1.000000e+02
2.930447e-02 1.652478e-05 1.000000e+02
2.985038e-02 2.303937e-05 1.000000e+02
3.040646e-02 3.210514e-05 1.000000e+02
3.097291e-02 4.458453e-05 1.000000e+02
3.154990e-02 6.140580e-05 1.000000e+02
3.213764e-02 8.347418e-05 1.000000e+02
3.273634e-02 1.114588e-04 1.000000e+02
3.334618e-02 1.454782e-04 1.000000e+02
3.396739e-02 1.847161e-04 1.000000e+02
3.460016e-02 2.270579e-04 1.000000e+02
3.524473e-02 2.689029e-04 1.000000e+02
3.590130e-02 3.053397e-04 1.000000e+02
3.657011e-02 3.308276e-04 1.000000e+02
3.725137e-02 3.403712e-04 1.000000e+02
3.794533e-02 3.309317e-04 1.000000e+02
3.865221e-02 3.025941e-04 1.000000e+02
3.937226e-02 2.589529e-04 1.000000e+02
4.010573e-02 2.064075e-04 1.000000e+02
4.085286e-02 1.532508e-04 1.000000e+02
4.161391e-02 1.073614e-04 1.000000e+02
4.238913e-02 7.203733e-05 1.000000e+02
4.317880e-02 4.699245e-05 1.000000e+02
4.398317e-02 3.025214e-05 1.000000e+02
4.480254e-02 1.950914e-05 1.000000e+02
4.563716e-02 1.279296e-05 1.000000e+02
4.648734e-02 8.658662e-06 1.000000e+02
4.735335e-02 6.140086e-06 1.000000e+02
4.823549e-02 4.630612e-06 1.000000e+02
4.913407e-02 3.769982e-06 1.000000e+02
5.004939e-02 3.363359e-06 1.000000e+02
5.098176e-02 3.318843e-06 1.000000e+02
