# Li9 + d > Be11 + g   [Li9_d__Be11_g]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=1.2544e+11 beta=1.5 gamma=-207.906  Q=17.916
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+02
1.018629e-03   1.081198e-35   1.000000e+02
1.037605e-03   1.174337e-35   1.000000e+02
1.056935e-03   1.281396e-35   1.000000e+02
1.076624e-03   1.404751e-35   1.000000e+02
1.096681e-03   1.547255e-35   1.000000e+02
1.117111e-03   1.712350e-35   1.000000e+02
1.137921e-03   1.904201e-35   1.000000e+02
1.159120e-03   2.127865e-35   1.000000e+02
1.180713e-03   2.389506e-35   1.000000e+02
1.202708e-03   2.696661e-35   1.000000e+02
1.225114e-03   3.058582e-35   1.000000e+02
1.247936e-03   3.486673e-35   1.000000e+02
1.271184e-03   3.995039e-35   1.000000e+02
1.294865e-03   4.601199e-35   1.000000e+02
1.318987e-03   5.327001e-35   1.000000e+02
1.343558e-03   6.199801e-35   1.000000e+02
1.368587e-03   7.254000e-35   1.000000e+02
1.394083e-03   8.533037e-35   1.000000e+02
1.420053e-03   1.009201e-34   1.000000e+02
1.446507e-03   1.200109e-34   1.000000e+02
1.473454e-03   1.435009e-34   1.000000e+02
1.500903e-03   1.725445e-34   1.000000e+02
1.528864e-03   2.086322e-34   1.000000e+02
1.557345e-03   2.536980e-34   1.000000e+02
1.586357e-03   3.102627e-34   1.000000e+02
1.615909e-03   3.816283e-34   1.000000e+02
1.646012e-03   4.721408e-34   1.000000e+02
1.676675e-03   5.875487e-34   1.000000e+02
1.707910e-03   7.354941e-34   1.000000e+02
1.739726e-03   9.261877e-34   1.000000e+02
1.772136e-03   1.173342e-33   1.000000e+02
1.805149e-03   1.495471e-33   1.000000e+02
1.838777e-03   1.917699e-33   1.000000e+02
1.873032e-03   2.474306e-33   1.000000e+02
1.907924e-03   3.212316e-33   1.000000e+02
1.943467e-03   4.196592e-33   1.000000e+02
1.979672e-03   5.517094e-33   1.000000e+02
2.016551e-03   7.299290e-33   1.000000e+02
2.054117e-03   9.719165e-33   1.000000e+02
2.092383e-03   1.302498e-32   1.000000e+02
2.131362e-03   1.756896e-32   1.000000e+02
2.171068e-03   2.385382e-32   1.000000e+02
2.211512e-03   3.260122e-32   1.000000e+02
2.252711e-03   4.485342e-32   1.000000e+02
2.294676e-03   6.212472e-32   1.000000e+02
2.337424e-03   8.662875e-32   1.000000e+02
2.380968e-03   1.216214e-31   1.000000e+02
2.425323e-03   1.719213e-31   1.000000e+02
2.470504e-03   2.447048e-31   1.000000e+02
2.516527e-03   3.507279e-31   1.000000e+02
2.563407e-03   5.062142e-31   1.000000e+02
2.611161e-03   7.357939e-31   1.000000e+02
2.659804e-03   1.077103e-30   1.000000e+02
2.709354e-03   1.588033e-30   1.000000e+02
2.759826e-03   2.358218e-30   1.000000e+02
2.811239e-03   3.527380e-30   1.000000e+02
2.863610e-03   5.314788e-30   1.000000e+02
2.916956e-03   8.066899e-30   1.000000e+02
2.971296e-03   1.233490e-29   1.000000e+02
3.026648e-03   1.900259e-29   1.000000e+02
3.083031e-03   2.952795e-29   1.000000e+02
3.140465e-03   4.638473e-29   1.000000e+02
3.198969e-03   7.383093e-29   1.000000e+02
3.258562e-03   1.193504e-28   1.000000e+02
3.319266e-03   1.963958e-28   1.000000e+02
3.381101e-03   3.297341e-28   1.000000e+02
3.444087e-03   5.661340e-28   1.000000e+02
3.508247e-03   9.963206e-28   1.000000e+02
3.573602e-03   1.801374e-27   1.000000e+02
3.640175e-03   3.353777e-27   1.000000e+02
3.707988e-03   6.444519e-27   1.000000e+02
3.777064e-03   1.281072e-26   1.000000e+02
3.847427e-03   2.640484e-26   1.000000e+02
3.919100e-03   5.656156e-26   1.000000e+02
3.992109e-03   1.262082e-25   1.000000e+02
4.066478e-03   2.936151e-25   1.000000e+02
4.142232e-03   7.073813e-25   1.000000e+02
4.219398e-03   1.748342e-24   1.000000e+02
4.298001e-03   4.391460e-24   1.000000e+02
4.378069e-03   1.110487e-23   1.000000e+02
4.459628e-03   2.800607e-23   1.000000e+02
4.542706e-03   6.978101e-23   1.000000e+02
4.627332e-03   1.701692e-22   1.000000e+02
4.713535e-03   4.023419e-22   1.000000e+02
4.801343e-03   9.136768e-22   1.000000e+02
4.890787e-03   1.974173e-21   1.000000e+02
4.981898e-03   4.020545e-21   1.000000e+02
5.074705e-03   7.657936e-21   1.000000e+02
5.169242e-03   1.369792e-20   1.000000e+02
5.265540e-03   2.322721e-20   1.000000e+02
5.363631e-03   3.769061e-20   1.000000e+02
5.463550e-03   5.908221e-20   1.000000e+02
5.565331e-03   9.031540e-20   1.000000e+02
5.669007e-03   1.359071e-19   1.000000e+02
5.774615e-03   2.032320e-19   1.000000e+02
5.882190e-03   3.048633e-19   1.000000e+02
5.991770e-03   4.631007e-19   1.000000e+02
6.103390e-03   7.178708e-19   1.000000e+02
6.217090e-03   1.134503e-18   1.000000e+02
6.332908e-03   1.821251e-18   1.000000e+02
6.450884e-03   2.959059e-18   1.000000e+02
6.571058e-03   4.848119e-18   1.000000e+02
6.693470e-03   7.980753e-18   1.000000e+02
6.818162e-03   1.315168e-17   1.000000e+02
6.945178e-03   2.161725e-17   1.000000e+02
7.074559e-03   3.531647e-17   1.000000e+02
7.206351e-03   5.727655e-17   1.000000e+02
7.340598e-03   9.227444e-17   1.000000e+02
7.477346e-03   1.477737e-16   1.000000e+02
7.616642e-03   2.354131e-16   1.000000e+02
7.758532e-03   3.733258e-16   1.000000e+02
7.903066e-03   5.897603e-16   1.000000e+02
8.050292e-03   9.287381e-16   1.000000e+02
8.200261e-03   1.457697e-15   1.000000e+02
