# N12 + p > O13 + g   [N12_p__O13_g]   ref=TALYS2
# detailed balance: alpha=1.3275e+10 beta=1.5 gamma=-17.5468  Q=1.5151
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.016812e-35 1.000000e+02
1.037605e-03 1.029392e-35 1.000000e+02
1.056935e-03 1.037737e-35 1.000000e+02
1.076624e-03 1.041902e-35 1.000000e+02
1.096681e-03 1.041996e-35 1.000000e+02
1.117111e-03 1.038178e-35 1.000000e+02
1.137921e-03 1.030647e-35 1.000000e+02
1.159120e-03 1.019643e-35 1.000000e+02
1.180713e-03 1.005430e-35 1.000000e+02
1.202708e-03 9.882995e-36 1.000000e+02
1.225114e-03 9.685557e-36 1.000000e+02
1.247936e-03 9.465130e-36 1.000000e+02
1.271184e-03 9.224889e-36 1.000000e+02
1.294865e-03 8.967985e-36 1.000000e+02
1.318987e-03 8.697499e-36 1.000000e+02
1.343558e-03 8.416400e-36 1.000000e+02
1.368587e-03 8.127508e-36 1.000000e+02
1.394083e-03 7.833468e-36 1.000000e+02
1.420053e-03 7.536731e-36 1.000000e+02
1.446507e-03 7.239538e-36 1.000000e+02
1.473454e-03 6.943912e-36 1.000000e+02
1.500903e-03 6.651655e-36 1.000000e+02
1.528864e-03 6.364349e-36 1.000000e+02
1.557345e-03 6.083361e-36 1.000000e+02
1.586357e-03 5.809854e-36 1.000000e+02
1.615909e-03 5.544794e-36 1.000000e+02
1.646012e-03 5.288967e-36 1.000000e+02
1.676675e-03 5.042990e-36 1.000000e+02
1.707910e-03 4.807329e-36 1.000000e+02
1.739726e-03 4.582312e-36 1.000000e+02
1.772136e-03 4.368146e-36 1.000000e+02
1.805149e-03 4.164932e-36 1.000000e+02
1.838777e-03 3.972681e-36 1.000000e+02
1.873032e-03 3.791325e-36 1.000000e+02
1.907924e-03 3.620732e-36 1.000000e+02
1.943467e-03 3.460721e-36 1.000000e+02
1.979672e-03 3.311069e-36 1.000000e+02
2.016551e-03 3.171523e-36 1.000000e+02
2.054117e-03 3.041811e-36 1.000000e+02
2.092383e-03 2.921647e-36 1.000000e+02
2.131362e-03 2.810743e-36 1.000000e+02
2.171068e-03 2.708813e-36 1.000000e+02
2.211512e-03 2.615580e-36 1.000000e+02
2.252711e-03 2.530782e-36 1.000000e+02
2.294676e-03 2.454177e-36 1.000000e+02
2.337424e-03 2.385547e-36 1.000000e+02
2.380968e-03 2.324703e-36 1.000000e+02
2.425323e-03 2.271493e-36 1.000000e+02
2.470504e-03 2.225799e-36 1.000000e+02
2.516527e-03 2.187550e-36 1.000000e+02
2.563407e-03 2.156722e-36 1.000000e+02
2.611161e-03 2.133344e-36 1.000000e+02
2.659804e-03 2.117507e-36 1.000000e+02
2.709354e-03 2.109371e-36 1.000000e+02
2.759826e-03 2.109169e-36 1.000000e+02
2.811239e-03 2.117225e-36 1.000000e+02
2.863610e-03 2.133960e-36 1.000000e+02
2.916956e-03 2.159912e-36 1.000000e+02
2.971296e-03 2.195750e-36 1.000000e+02
3.026648e-03 2.242258e-36 1.000000e+02
3.083031e-03 2.299367e-36 1.000000e+02
3.140465e-03 2.365970e-36 1.000000e+02
3.198969e-03 2.440827e-36 1.000000e+02
3.258562e-03 2.522551e-36 1.000000e+02
3.319266e-03 2.609556e-36 1.000000e+02
3.381101e-03 2.700010e-36 1.000000e+02
3.444087e-03 2.791801e-36 1.000000e+02
3.508247e-03 2.882522e-36 1.000000e+02
