# N15 + p > C12 + a   [N15_p__C12_a]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=0.70631 beta=0 gamma=-57.6221  Q=4.9655
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   4.888211e-36   9.970001e-01
1.037605e-03   2.544724e-36   9.942719e-01
1.056935e-03   1.407993e-36   9.918049e-01
1.076624e-03   8.263375e-37   9.895888e-01
1.096681e-03   5.133808e-37   9.876137e-01
1.117111e-03   3.369574e-37   9.858697e-01
1.137921e-03   2.331803e-37   9.843474e-01
1.159120e-03   1.697924e-37   9.830376e-01
1.180713e-03   1.298322e-37   9.819310e-01
1.202708e-03   1.040428e-37   9.810187e-01
1.225114e-03   8.720389e-38   9.802919e-01
1.247936e-03   7.629244e-38   9.797420e-01
1.271184e-03   6.953080e-38   9.793605e-01
1.294865e-03   6.587962e-38   9.791388e-01
1.318987e-03   6.476365e-38   9.790685e-01
1.343558e-03   6.592436e-38   9.791415e-01
1.368587e-03   6.934625e-38   9.793495e-01
1.394083e-03   7.522994e-38   9.796844e-01
1.420053e-03   8.399959e-38   9.801379e-01
1.446507e-03   9.634085e-38   9.807020e-01
1.473454e-03   1.132710e-37   9.813687e-01
1.500903e-03   1.362479e-37   9.821298e-01
1.528864e-03   1.673295e-37   9.829773e-01
1.557345e-03   2.093988e-37   9.839031e-01
1.586357e-03   2.664791e-37   9.848991e-01
1.615909e-03   3.441659e-37   9.859573e-01
1.646012e-03   4.502109e-37   9.870695e-01
1.676675e-03   5.952999e-37   9.882276e-01
1.707910e-03   7.940640e-37   9.894234e-01
1.739726e-03   1.066358e-36   9.906486e-01
1.772136e-03   1.438821e-36   9.918951e-01
1.805149e-03   1.946680e-36   9.931545e-01
1.838777e-03   2.635691e-36   9.944185e-01
1.873032e-03   3.563977e-36   9.956788e-01
1.907924e-03   4.803344e-36   9.969268e-01
1.943467e-03   6.439455e-36   9.981542e-01
1.979672e-03   8.569968e-36   9.993524e-01
2.016551e-03   1.129957e-35   1.000513e+00
2.054117e-03   1.473078e-35   1.001627e+00
2.092383e-03   1.894954e-35   1.002687e+00
2.131362e-03   2.400537e-35   1.003682e+00
2.171068e-03   2.988708e-35   1.004606e+00
2.211512e-03   3.649656e-35   1.005449e+00
2.252711e-03   4.362564e-35   1.006202e+00
2.294676e-03   5.094261e-35   1.006857e+00
2.337424e-03   5.799602e-35   1.007406e+00
2.380968e-03   6.424229e-35   1.007838e+00
2.425323e-03   6.909995e-35   1.008147e+00
2.470504e-03   7.202717e-35   1.008322e+00
2.516527e-03   7.261145e-35   1.008356e+00
2.563407e-03   7.065323e-35   1.008241e+00
2.611161e-03   6.622246e-35   1.007967e+00
