# N15 + p > O16 + g   [N15_p__O16_g]   ref=NACRE II
# detailed balance: alpha=3.6271e+10 beta=1.5 gamma=-140.733  Q=12.1274
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+00
1.018629e-03 9.070667e-36 9.990498e-01
1.037605e-03 8.298589e-36 9.981840e-01
1.056935e-03 7.655550e-36 9.973996e-01
1.076624e-03 7.119290e-36 9.966939e-01
1.096681e-03 6.672159e-36 9.960640e-01
1.117111e-03 6.300090e-36 9.955072e-01
1.137921e-03 5.991821e-36 9.950205e-01
1.159120e-03 5.738308e-36 9.946014e-01
1.180713e-03 5.532266e-36 9.942470e-01
1.202708e-03 5.367815e-36 9.939546e-01
1.225114e-03 5.240208e-36 9.937216e-01
1.247936e-03 5.145614e-36 9.935451e-01
1.271184e-03 5.080949e-36 9.934227e-01
1.294865e-03 5.043737e-36 9.933515e-01
1.318987e-03 5.032008e-36 9.933290e-01
1.343558e-03 5.044204e-36 9.933524e-01
1.368587e-03 5.079109e-36 9.934192e-01
1.394083e-03 5.135790e-36 9.935266e-01
1.420053e-03 5.213542e-36 9.936721e-01
1.446507e-03 5.311849e-36 9.938531e-01
1.473454e-03 5.430339e-36 9.940668e-01
1.500903e-03 5.568749e-36 9.943107e-01
1.528864e-03 5.726893e-36 9.945821e-01
1.557345e-03 5.904626e-36 9.948784e-01
1.586357e-03 6.101812e-36 9.951969e-01
1.615909e-03 6.318289e-36 9.955352e-01
1.646012e-03 6.553836e-36 9.958904e-01
1.676675e-03 6.808138e-36 9.962599e-01
1.707910e-03 7.080744e-36 9.966412e-01
1.739726e-03 7.371035e-36 9.970316e-01
1.772136e-03 7.678178e-36 9.974283e-01
1.805149e-03 8.001093e-36 9.978289e-01
1.838777e-03 8.338405e-36 9.982306e-01
1.873032e-03 8.688411e-36 9.986307e-01
1.907924e-03 9.049044e-36 9.990266e-01
1.943467e-03 9.417836e-36 9.994156e-01
1.979672e-03 9.791896e-36 9.997951e-01
2.016551e-03 1.016789e-35 1.000162e+00
2.054117e-03 1.054204e-35 1.000515e+00
2.092383e-03 1.091012e-35 1.000849e+00
2.131362e-03 1.126746e-35 1.001164e+00
2.171068e-03 1.160903e-35 1.001455e+00
2.211512e-03 1.192945e-35 1.001721e+00
2.252711e-03 1.222307e-35 1.001958e+00
2.294676e-03 1.248409e-35 1.002165e+00
2.337424e-03 1.270666e-35 1.002337e+00
2.380968e-03 1.288502e-35 1.002474e+00
2.425323e-03 1.301365e-35 1.002571e+00
2.470504e-03 1.308743e-35 1.002626e+00
2.516527e-03 1.310185e-35 1.002637e+00
2.563407e-03 1.305313e-35 1.002600e+00
2.611161e-03 1.293843e-35 1.002514e+00
2.659804e-03 1.275601e-35 1.002375e+00
2.709354e-03 1.250534e-35 1.002181e+00
2.759826e-03 1.218723e-35 1.001930e+00
2.811239e-03 1.180386e-35 1.001618e+00
2.863610e-03 1.135884e-35 1.001243e+00
