# Ne18 + n > F18 + p   [Ne18_n__F18_p]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.33388 beta=0 gamma=-60.643  Q=5.2258
# T9                 rate                error
1.000000e-03   3.363000e+08   1.000000e+02
1.018629e-03   3.361383e+08   1.000000e+02
1.037605e-03   3.359795e+08   1.000000e+02
1.056935e-03   3.358237e+08   1.000000e+02
1.076624e-03   3.356708e+08   1.000000e+02
1.096681e-03   3.355209e+08   1.000000e+02
1.117111e-03   3.353740e+08   1.000000e+02
1.137921e-03   3.352301e+08   1.000000e+02
1.159120e-03   3.350893e+08   1.000000e+02
1.180713e-03   3.349515e+08   1.000000e+02
1.202708e-03   3.348169e+08   1.000000e+02
1.225114e-03   3.346853e+08   1.000000e+02
1.247936e-03   3.345569e+08   1.000000e+02
1.271184e-03   3.344317e+08   1.000000e+02
1.294865e-03   3.343096e+08   1.000000e+02
1.318987e-03   3.341907e+08   1.000000e+02
1.343558e-03   3.340751e+08   1.000000e+02
1.368587e-03   3.339627e+08   1.000000e+02
1.394083e-03   3.338535e+08   1.000000e+02
1.420053e-03   3.337477e+08   1.000000e+02
1.446507e-03   3.336452e+08   1.000000e+02
1.473454e-03   3.335460e+08   1.000000e+02
1.500903e-03   3.334502e+08   1.000000e+02
1.528864e-03   3.333577e+08   1.000000e+02
1.557345e-03   3.332687e+08   1.000000e+02
1.586357e-03   3.331831e+08   1.000000e+02
1.615909e-03   3.331010e+08   1.000000e+02
1.646012e-03   3.330223e+08   1.000000e+02
1.676675e-03   3.329471e+08   1.000000e+02
1.707910e-03   3.328755e+08   1.000000e+02
1.739726e-03   3.328074e+08   1.000000e+02
1.772136e-03   3.327428e+08   1.000000e+02
1.805149e-03   3.326819e+08   1.000000e+02
1.838777e-03   3.326246e+08   1.000000e+02
1.873032e-03   3.325709e+08   1.000000e+02
1.907924e-03   3.325209e+08   1.000000e+02
1.943467e-03   3.324746e+08   1.000000e+02
1.979672e-03   3.324320e+08   1.000000e+02
2.016551e-03   3.323931e+08   1.000000e+02
2.054117e-03   3.323580e+08   1.000000e+02
2.092383e-03   3.323267e+08   1.000000e+02
2.131362e-03   3.322992e+08   1.000000e+02
2.171068e-03   3.322755e+08   1.000000e+02
2.211512e-03   3.322557e+08   1.000000e+02
2.252711e-03   3.322398e+08   1.000000e+02
2.294676e-03   3.322277e+08   1.000000e+02
2.337424e-03   3.322197e+08   1.000000e+02
2.380968e-03   3.322156e+08   1.000000e+02
2.425323e-03   3.322154e+08   1.000000e+02
2.470504e-03   3.322193e+08   1.000000e+02
2.516527e-03   3.322272e+08   1.000000e+02
2.563407e-03   3.322392e+08   1.000000e+02
2.611161e-03   3.322553e+08   1.000000e+02
2.659804e-03   3.322755e+08   1.000000e+02
2.709354e-03   3.322998e+08   1.000000e+02
2.759826e-03   3.323283e+08   1.000000e+02
2.811239e-03   3.323610e+08   1.000000e+02
2.863610e-03   3.323980e+08   1.000000e+02
2.916956e-03   3.324392e+08   1.000000e+02
2.971296e-03   3.324846e+08   1.000000e+02
3.026648e-03   3.325345e+08   1.000000e+02
3.083031e-03   3.325908e+08   1.000000e+02
3.140465e-03   3.326580e+08   1.000000e+02
3.198969e-03   3.327404e+08   1.000000e+02
3.258562e-03   3.328423e+08   1.000000e+02
3.319266e-03   3.329683e+08   1.000000e+02
3.381101e-03   3.331227e+08   1.000000e+02
3.444087e-03   3.333099e+08   1.000000e+02
3.508247e-03   3.335344e+08   1.000000e+02
3.573602e-03   3.338006e+08   1.000000e+02
3.640175e-03   3.341132e+08   1.000000e+02
3.707988e-03   3.344765e+08   1.000000e+02
3.777064e-03   3.348952e+08   1.000000e+02
3.847427e-03   3.353739e+08   1.000000e+02
3.919100e-03   3.359173e+08   1.000000e+02
3.992109e-03   3.365301e+08   1.000000e+02
4.066478e-03   3.372146e+08   1.000000e+02
4.142232e-03   3.379585e+08   1.000000e+02
4.219398e-03   3.387446e+08   1.000000e+02
4.298001e-03   3.395554e+08   1.000000e+02
4.378069e-03   3.403735e+08   1.000000e+02
4.459628e-03   3.411811e+08   1.000000e+02
4.542706e-03   3.419602e+08   1.000000e+02
4.627332e-03   3.426930e+08   1.000000e+02
4.713535e-03   3.433610e+08   1.000000e+02
4.801343e-03   3.439462e+08   1.000000e+02
4.890787e-03   3.444300e+08   1.000000e+02
4.981898e-03   3.447941e+08   1.000000e+02
5.074705e-03   3.450232e+08   1.000000e+02
5.169242e-03   3.451246e+08   1.000000e+02
5.265540e-03   3.451157e+08   1.000000e+02
5.363631e-03   3.450140e+08   1.000000e+02
5.463550e-03   3.448370e+08   1.000000e+02
5.565331e-03   3.446025e+08   1.000000e+02
5.669007e-03   3.443281e+08   1.000000e+02
5.774615e-03   3.440312e+08   1.000000e+02
5.882190e-03   3.437296e+08   1.000000e+02
5.991770e-03   3.434405e+08   1.000000e+02
6.103390e-03   3.431783e+08   1.000000e+02
6.217090e-03   3.429409e+08   1.000000e+02
6.332908e-03   3.427216e+08   1.000000e+02
6.450884e-03   3.425135e+08   1.000000e+02
6.571058e-03   3.423096e+08   1.000000e+02
6.693470e-03   3.421032e+08   1.000000e+02
6.818162e-03   3.418874e+08   1.000000e+02
6.945178e-03   3.416554e+08   1.000000e+02
7.074559e-03   3.414008e+08   1.000000e+02
7.206351e-03   3.411222e+08   1.000000e+02
7.340598e-03   3.408226e+08   1.000000e+02
7.477346e-03   3.405052e+08   1.000000e+02
7.616642e-03   3.401729e+08   1.000000e+02
7.758532e-03   3.398289e+08   1.000000e+02
7.903066e-03   3.394762e+08   1.000000e+02
8.050292e-03   3.391178e+08   1.000000e+02
8.200261e-03   3.387524e+08   1.000000e+02
8.353023e-03   3.383720e+08   1.000000e+02
8.508632e-03   3.379682e+08   1.000000e+02
8.667139e-03   3.375326e+08   1.000000e+02
8.828599e-03   3.370570e+08   1.000000e+02
8.993067e-03   3.365331e+08   1.000000e+02
9.160598e-03   3.359582e+08   1.000000e+02
9.331251e-03   3.353555e+08   1.000000e+02
9.505083e-03   3.347552e+08   1.000000e+02
9.682153e-03   3.341871e+08   1.000000e+02
9.862522e-03   3.336810e+08   1.000000e+02
1.004625e-02   3.332664e+08   1.000000e+02
1.023340e-02   3.329542e+08   1.000000e+02
1.042404e-02   3.327195e+08   1.000000e+02
1.061823e-02   3.325337e+08   1.000000e+02
1.081604e-02   3.323680e+08   1.000000e+02
1.101753e-02   3.321939e+08   1.000000e+02
1.122277e-02   3.319908e+08   1.000000e+02
1.143184e-02   3.317628e+08   1.000000e+02
1.164481e-02   3.315188e+08   1.000000e+02
1.186174e-02   3.312675e+08   1.000000e+02
1.208271e-02   3.310177e+08   1.000000e+02
1.230780e-02   3.307735e+08   1.000000e+02
1.253708e-02   3.305328e+08   1.000000e+02
1.277063e-02   3.302930e+08   1.000000e+02
1.300854e-02   3.300513e+08   1.000000e+02
1.325087e-02   3.298060e+08   1.000000e+02
1.349772e-02   3.295575e+08   1.000000e+02
1.374917e-02   3.293068e+08   1.000000e+02
1.400531e-02   3.290548e+08   1.000000e+02
1.426621e-02   3.288024e+08   1.000000e+02
1.453198e-02   3.285491e+08   1.000000e+02
1.480269e-02   3.282942e+08   1.000000e+02
1.507845e-02   3.280371e+08   1.000000e+02
1.535935e-02   3.277776e+08   1.000000e+02
1.564548e-02   3.275168e+08   1.000000e+02
1.593694e-02   3.272558e+08   1.000000e+02
1.623382e-02   3.269955e+08   1.000000e+02
1.653624e-02   3.267361e+08   1.000000e+02
1.684430e-02   3.264775e+08   1.000000e+02
1.715809e-02   3.262193e+08   1.000000e+02
1.747773e-02   3.259614e+08   1.000000e+02
1.780332e-02   3.257036e+08   1.000000e+02
1.813498e-02   3.254455e+08   1.000000e+02
1.847281e-02   3.251874e+08   1.000000e+02
1.881694e-02   3.249292e+08   1.000000e+02
1.916748e-02   3.246714e+08   1.000000e+02
1.952456e-02   3.244141e+08   1.000000e+02
1.988828e-02   3.241576e+08   1.000000e+02
2.025878e-02   3.239022e+08   1.000000e+02
2.063618e-02   3.236484e+08   1.000000e+02
2.102061e-02   3.233966e+08   1.000000e+02
2.141220e-02   3.231477e+08   1.000000e+02
2.181109e-02   3.229021e+08   1.000000e+02
2.221741e-02   3.226605e+08   1.000000e+02
2.263130e-02   3.224235e+08   1.000000e+02
2.305289e-02   3.221917e+08   1.000000e+02
2.348235e-02   3.219657e+08   1.000000e+02
2.391980e-02   3.217461e+08   1.000000e+02
2.436540e-02   3.215334e+08   1.000000e+02
2.481930e-02   3.213284e+08   1.000000e+02
2.528166e-02   3.211315e+08   1.000000e+02
2.575263e-02   3.209425e+08   1.000000e+02
2.623238e-02   3.207606e+08   1.000000e+02
2.672106e-02   3.205852e+08   1.000000e+02
2.721885e-02   3.204152e+08   1.000000e+02
2.772591e-02   3.202501e+08   1.000000e+02
2.824241e-02   3.200889e+08   1.000000e+02
2.876854e-02   3.199310e+08   1.000000e+02
2.930447e-02   3.197754e+08   1.000000e+02
2.985038e-02   3.196215e+08   1.000000e+02
3.040646e-02   3.194688e+08   1.000000e+02
3.097291e-02   3.193194e+08   1.000000e+02
3.154990e-02   3.191772e+08   1.000000e+02
3.213764e-02   3.190459e+08   1.000000e+02
