# O14 + a > F17 + p   [O14_a__F17_p]   ref=Bar97C  (analytic, PRIMAT-main.m)
# forward[T9] = With[{T932=T9^(3/2),T923=T9^(2/3),T913=T9^(1/3),T943=T9^(4/3),T953=T9^(5/3)}, With[{offset=1.330*^5/T932*Exp[-11.86/T9]+8.42*^-47*T932*Exp[-0.453/T9]+6.74*^4/T932*Exp[-13.60/T9]+1.21*^7/T932*Exp[-22.51/T9]+1.26*^8/T932*Exp[-26.00/T9]}, (offset+If[T9<1, 7.906*^15/T923*Exp[-40.33/T913]*(1.-1.884*^1*T913+2.446*^2*T923-7.735*^2*T9+9.485*^2*T943-3.961*^2*T953),0])]]   uncertainty factor f = 3
# T9                 rate                error
1.000000e-03 4.911038e-158 3.000000e+00
1.018629e-03 5.798756e-157 3.000000e+00
1.037605e-03 6.744151e-156 3.000000e+00
1.056935e-03 7.726641e-155 3.000000e+00
1.076624e-03 8.720975e-154 3.000000e+00
1.096681e-03 9.698168e-153 3.000000e+00
1.117111e-03 1.062684e-151 3.000000e+00
1.137921e-03 1.147485e-150 3.000000e+00
1.159120e-03 1.221118e-149 3.000000e+00
1.180713e-03 1.280780e-148 3.000000e+00
1.202708e-03 1.324146e-147 3.000000e+00
1.225114e-03 1.349521e-146 3.000000e+00
1.247936e-03 1.355951e-145 3.000000e+00
1.271184e-03 1.343280e-144 3.000000e+00
1.294865e-03 1.312153e-143 3.000000e+00
1.318987e-03 1.263965e-142 3.000000e+00
1.343558e-03 1.200757e-141 3.000000e+00
1.368587e-03 1.125075e-140 3.000000e+00
1.394083e-03 1.039801e-139 3.000000e+00
1.420053e-03 9.479784e-139 3.000000e+00
1.446507e-03 8.526317e-138 3.000000e+00
1.473454e-03 7.566155e-137 3.000000e+00
1.500903e-03 6.624840e-136 3.000000e+00
1.528864e-03 5.723968e-135 3.000000e+00
1.557345e-03 4.880630e-134 3.000000e+00
1.586357e-03 4.107204e-133 3.000000e+00
1.615909e-03 3.411483e-132 3.000000e+00
1.646012e-03 2.797055e-131 3.000000e+00
1.676675e-03 2.263883e-130 3.000000e+00
1.707910e-03 1.808990e-129 3.000000e+00
1.739726e-03 1.427189e-128 3.000000e+00
1.772136e-03 1.111792e-127 3.000000e+00
1.805149e-03 8.552552e-127 3.000000e+00
1.838777e-03 6.497276e-126 3.000000e+00
1.873032e-03 4.874872e-125 3.000000e+00
1.907924e-03 3.612638e-124 3.000000e+00
1.943467e-03 2.644523e-123 3.000000e+00
1.979672e-03 1.912338e-122 3.000000e+00
2.016551e-03 1.366181e-121 3.000000e+00
2.054117e-03 9.642960e-121 3.000000e+00
2.092383e-03 6.725161e-120 3.000000e+00
2.131362e-03 4.634649e-119 3.000000e+00
