# O14 + n > C11 + a   [O14_n__C11_a]   ref=TALYS2, Koning et al. 2023
# detailed balance: alpha=0.090762 beta=0 gamma=-34.8537  Q=3.0035
# T9                 rate                error
1.000000e-03   1.439200e+08   1.000000e+02
1.018629e-03   1.438349e+08   1.000000e+02
1.037605e-03   1.437507e+08   1.000000e+02
1.056935e-03   1.436674e+08   1.000000e+02
1.076624e-03   1.435851e+08   1.000000e+02
1.096681e-03   1.435036e+08   1.000000e+02
1.117111e-03   1.434231e+08   1.000000e+02
1.137921e-03   1.433436e+08   1.000000e+02
1.159120e-03   1.432650e+08   1.000000e+02
1.180713e-03   1.431874e+08   1.000000e+02
1.202708e-03   1.431107e+08   1.000000e+02
1.225114e-03   1.430351e+08   1.000000e+02
1.247936e-03   1.429604e+08   1.000000e+02
1.271184e-03   1.428868e+08   1.000000e+02
1.294865e-03   1.428142e+08   1.000000e+02
1.318987e-03   1.427427e+08   1.000000e+02
1.343558e-03   1.426722e+08   1.000000e+02
1.368587e-03   1.426028e+08   1.000000e+02
1.394083e-03   1.425344e+08   1.000000e+02
1.420053e-03   1.424671e+08   1.000000e+02
1.446507e-03   1.424010e+08   1.000000e+02
1.473454e-03   1.423359e+08   1.000000e+02
1.500903e-03   1.422720e+08   1.000000e+02
1.528864e-03   1.422091e+08   1.000000e+02
1.557345e-03   1.421475e+08   1.000000e+02
1.586357e-03   1.420870e+08   1.000000e+02
1.615909e-03   1.420276e+08   1.000000e+02
1.646012e-03   1.419694e+08   1.000000e+02
1.676675e-03   1.419124e+08   1.000000e+02
1.707910e-03   1.418566e+08   1.000000e+02
1.739726e-03   1.418020e+08   1.000000e+02
1.772136e-03   1.417487e+08   1.000000e+02
1.805149e-03   1.416966e+08   1.000000e+02
1.838777e-03   1.416457e+08   1.000000e+02
1.873032e-03   1.415960e+08   1.000000e+02
1.907924e-03   1.415477e+08   1.000000e+02
1.943467e-03   1.415006e+08   1.000000e+02
1.979672e-03   1.414548e+08   1.000000e+02
2.016551e-03   1.414103e+08   1.000000e+02
2.054117e-03   1.413671e+08   1.000000e+02
2.092383e-03   1.413253e+08   1.000000e+02
2.131362e-03   1.412847e+08   1.000000e+02
2.171068e-03   1.412455e+08   1.000000e+02
2.211512e-03   1.412077e+08   1.000000e+02
2.252711e-03   1.411713e+08   1.000000e+02
2.294676e-03   1.411362e+08   1.000000e+02
2.337424e-03   1.411025e+08   1.000000e+02
2.380968e-03   1.410703e+08   1.000000e+02
2.425323e-03   1.410394e+08   1.000000e+02
2.470504e-03   1.410100e+08   1.000000e+02
2.516527e-03   1.409820e+08   1.000000e+02
2.563407e-03   1.409555e+08   1.000000e+02
2.611161e-03   1.409304e+08   1.000000e+02
2.659804e-03   1.409068e+08   1.000000e+02
2.709354e-03   1.408847e+08   1.000000e+02
2.759826e-03   1.408641e+08   1.000000e+02
2.811239e-03   1.408450e+08   1.000000e+02
2.863610e-03   1.408274e+08   1.000000e+02
2.916956e-03   1.408114e+08   1.000000e+02
2.971296e-03   1.407969e+08   1.000000e+02
3.026648e-03   1.407840e+08   1.000000e+02
3.083031e-03   1.407737e+08   1.000000e+02
3.140465e-03   1.407677e+08   1.000000e+02
3.198969e-03   1.407679e+08   1.000000e+02
3.258562e-03   1.407763e+08   1.000000e+02
3.319266e-03   1.407948e+08   1.000000e+02
3.381101e-03   1.408252e+08   1.000000e+02
3.444087e-03   1.408695e+08   1.000000e+02
3.508247e-03   1.409295e+08   1.000000e+02
3.573602e-03   1.410073e+08   1.000000e+02
3.640175e-03   1.411046e+08   1.000000e+02
3.707988e-03   1.412235e+08   1.000000e+02
3.777064e-03   1.413659e+08   1.000000e+02
3.847427e-03   1.415338e+08   1.000000e+02
3.919100e-03   1.417292e+08   1.000000e+02
3.992109e-03   1.419541e+08   1.000000e+02
4.066478e-03   1.422094e+08   1.000000e+02
4.142232e-03   1.424900e+08   1.000000e+02
4.219398e-03   1.427883e+08   1.000000e+02
4.298001e-03   1.430970e+08   1.000000e+02
4.378069e-03   1.434086e+08   1.000000e+02
4.459628e-03   1.437153e+08   1.000000e+02
4.542706e-03   1.440097e+08   1.000000e+02
4.627332e-03   1.442839e+08   1.000000e+02
4.713535e-03   1.445302e+08   1.000000e+02
4.801343e-03   1.447409e+08   1.000000e+02
4.890787e-03   1.449081e+08   1.000000e+02
4.981898e-03   1.450239e+08   1.000000e+02
5.074705e-03   1.450820e+08   1.000000e+02
5.169242e-03   1.450854e+08   1.000000e+02
5.265540e-03   1.450415e+08   1.000000e+02
5.363631e-03   1.449579e+08   1.000000e+02
5.463550e-03   1.448420e+08   1.000000e+02
5.565331e-03   1.447015e+08   1.000000e+02
5.669007e-03   1.445437e+08   1.000000e+02
5.774615e-03   1.443762e+08   1.000000e+02
5.882190e-03   1.442065e+08   1.000000e+02
5.991770e-03   1.440418e+08   1.000000e+02
6.103390e-03   1.438884e+08   1.000000e+02
6.217090e-03   1.437453e+08   1.000000e+02
6.332908e-03   1.436096e+08   1.000000e+02
6.450884e-03   1.434786e+08   1.000000e+02
6.571058e-03   1.433493e+08   1.000000e+02
6.693470e-03   1.432188e+08   1.000000e+02
6.818162e-03   1.430843e+08   1.000000e+02
6.945178e-03   1.429430e+08   1.000000e+02
7.074559e-03   1.427921e+08   1.000000e+02
7.206351e-03   1.426311e+08   1.000000e+02
7.340598e-03   1.424612e+08   1.000000e+02
7.477346e-03   1.422838e+08   1.000000e+02
7.616642e-03   1.421000e+08   1.000000e+02
7.758532e-03   1.419112e+08   1.000000e+02
7.903066e-03   1.417187e+08   1.000000e+02
8.050292e-03   1.415235e+08   1.000000e+02
8.200261e-03   1.413253e+08   1.000000e+02
8.353023e-03   1.411208e+08   1.000000e+02
8.508632e-03   1.409065e+08   1.000000e+02
8.667139e-03   1.406791e+08   1.000000e+02
8.828599e-03   1.404352e+08   1.000000e+02
8.993067e-03   1.401715e+08   1.000000e+02
9.160598e-03   1.398869e+08   1.000000e+02
9.331251e-03   1.395909e+08   1.000000e+02
9.505083e-03   1.392960e+08   1.000000e+02
9.682153e-03   1.390144e+08   1.000000e+02
9.862522e-03   1.387582e+08   1.000000e+02
1.004625e-02   1.385395e+08   1.000000e+02
1.023340e-02   1.383626e+08   1.000000e+02
1.042404e-02   1.382171e+08   1.000000e+02
1.061823e-02   1.380910e+08   1.000000e+02
1.081604e-02   1.379723e+08   1.000000e+02
1.101753e-02   1.378489e+08   1.000000e+02
1.122277e-02   1.377123e+08   1.000000e+02
1.143184e-02   1.375644e+08   1.000000e+02
1.164481e-02   1.374090e+08   1.000000e+02
1.186174e-02   1.372500e+08   1.000000e+02
1.208271e-02   1.370911e+08   1.000000e+02
1.230780e-02   1.369341e+08   1.000000e+02
1.253708e-02   1.367780e+08   1.000000e+02
1.277063e-02   1.366218e+08   1.000000e+02
1.300854e-02   1.364644e+08   1.000000e+02
1.325087e-02   1.363048e+08   1.000000e+02
1.349772e-02   1.361433e+08   1.000000e+02
1.374917e-02   1.359804e+08   1.000000e+02
1.400531e-02   1.358166e+08   1.000000e+02
1.426621e-02   1.356522e+08   1.000000e+02
1.453198e-02   1.354870e+08   1.000000e+02
1.480269e-02   1.353205e+08   1.000000e+02
1.507845e-02   1.351523e+08   1.000000e+02
1.535935e-02   1.349823e+08   1.000000e+02
1.564548e-02   1.348105e+08   1.000000e+02
1.593694e-02   1.346373e+08   1.000000e+02
1.623382e-02   1.344626e+08   1.000000e+02
1.653624e-02   1.342867e+08   1.000000e+02
