# O16 + a > Ne20 + g   [O16_a__Ne20_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=5.6551e+10 beta=1.5 gamma=-54.8875  Q=4.7298
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   9.891523e-36   1.000052e+00
1.037605e-03   9.793613e-36   1.000100e+00
1.056935e-03   9.705682e-36   1.000144e+00
1.076624e-03   9.627184e-36   1.000183e+00
1.096681e-03   9.557608e-36   1.000218e+00
1.117111e-03   9.496480e-36   1.000249e+00
1.137921e-03   9.443355e-36   1.000276e+00
1.159120e-03   9.397815e-36   1.000299e+00
1.180713e-03   9.359466e-36   1.000319e+00
1.202708e-03   9.327936e-36   1.000335e+00
1.225114e-03   9.302874e-36   1.000348e+00
1.247936e-03   9.283944e-36   1.000358e+00
1.271184e-03   9.270824e-36   1.000364e+00
1.294865e-03   9.263207e-36   1.000368e+00
1.318987e-03   9.260795e-36   1.000370e+00
1.343558e-03   9.263303e-36   1.000368e+00
1.368587e-03   9.270449e-36   1.000365e+00
1.394083e-03   9.281960e-36   1.000359e+00
1.420053e-03   9.297569e-36   1.000351e+00
1.446507e-03   9.317011e-36   1.000340e+00
1.473454e-03   9.340024e-36   1.000329e+00
1.500903e-03   9.366347e-36   1.000315e+00
1.528864e-03   9.395722e-36   1.000300e+00
1.557345e-03   9.427888e-36   1.000284e+00
1.586357e-03   9.462583e-36   1.000266e+00
1.615909e-03   9.499544e-36   1.000247e+00
1.646012e-03   9.538504e-36   1.000227e+00
1.676675e-03   9.579195e-36   1.000207e+00
1.707910e-03   9.621341e-36   1.000186e+00
1.739726e-03   9.664666e-36   1.000164e+00
1.772136e-03   9.708886e-36   1.000142e+00
1.805149e-03   9.753714e-36   1.000120e+00
1.838777e-03   9.798856e-36   1.000098e+00
1.873032e-03   9.844014e-36   1.000076e+00
1.907924e-03   9.888883e-36   1.000054e+00
1.943467e-03   9.933154e-36   1.000032e+00
1.979672e-03   9.976512e-36   1.000011e+00
2.016551e-03   1.001864e-35   9.999910e-01
2.054117e-03   1.005920e-35   9.999716e-01
2.092383e-03   1.009788e-35   9.999531e-01
2.131362e-03   1.013434e-35   9.999358e-01
2.171068e-03   1.016824e-35   9.999197e-01
2.211512e-03   1.019924e-35   9.999051e-01
2.252711e-03   1.022701e-35   9.998920e-01
