# O16 + p > F17 + g   [O16pTOF17g]   ref=ILCCF10
# detailed balance: alpha=3.0369e+09 beta=1.5 gamma=-6.9658  Q=0.6003
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+00
1.018629e-03 1.003435e-35 1.000010e+00
1.037605e-03 1.006578e-35 1.000020e+00
1.056935e-03 1.009436e-35 1.000028e+00
1.076624e-03 1.012017e-35 1.000036e+00
1.096681e-03 1.014327e-35 1.000043e+00
1.117111e-03 1.016375e-35 1.000049e+00
1.137921e-03 1.018170e-35 1.000054e+00
1.159120e-03 1.019718e-35 1.000059e+00
1.180713e-03 1.021030e-35 1.000062e+00
1.202708e-03 1.022114e-35 1.000066e+00
1.225114e-03 1.022979e-35 1.000068e+00
1.247936e-03 1.023634e-35 1.000070e+00
1.271184e-03 1.024089e-35 1.000071e+00
1.294865e-03 1.024354e-35 1.000072e+00
1.318987e-03 1.024438e-35 1.000072e+00
1.343558e-03 1.024350e-35 1.000072e+00
1.368587e-03 1.024102e-35 1.000071e+00
1.394083e-03 1.023703e-35 1.000070e+00
1.420053e-03 1.023162e-35 1.000069e+00
1.446507e-03 1.022490e-35 1.000067e+00
1.473454e-03 1.021698e-35 1.000064e+00
1.500903e-03 1.020794e-35 1.000062e+00
1.528864e-03 1.019790e-35 1.000059e+00
1.557345e-03 1.018694e-35 1.000056e+00
1.586357e-03 1.017519e-35 1.000052e+00
1.615909e-03 1.016272e-35 1.000048e+00
1.646012e-03 1.014965e-35 1.000045e+00
1.676675e-03 1.013608e-35 1.000041e+00
1.707910e-03 1.012210e-35 1.000036e+00
1.739726e-03 1.010781e-35 1.000032e+00
1.772136e-03 1.009332e-35 1.000028e+00
1.805149e-03 1.007871e-35 1.000024e+00
1.838777e-03 1.006409e-35 1.000019e+00
1.873032e-03 1.004955e-35 1.000015e+00
1.907924e-03 1.003519e-35 1.000011e+00
1.943467e-03 1.002111e-35 1.000006e+00
1.979672e-03 1.000740e-35 1.000002e+00
2.016551e-03 9.994148e-36 9.999982e-01
2.054117e-03 9.981460e-36 9.999944e-01
2.092383e-03 9.969424e-36 9.999908e-01
2.131362e-03 9.958135e-36 9.999874e-01
2.171068e-03 9.947685e-36 9.999843e-01
2.211512e-03 9.938168e-36 9.999814e-01
2.252711e-03 9.929677e-36 9.999788e-01
2.294676e-03 9.922303e-36 9.999766e-01
2.337424e-03 9.916141e-36 9.999747e-01
2.380968e-03 9.911283e-36 9.999733e-01
2.425323e-03 9.907822e-36 9.999722e-01
2.470504e-03 9.905853e-36 9.999716e-01
2.516527e-03 9.905470e-36 9.999715e-01
2.563407e-03 9.906767e-36 9.999719e-01
2.611161e-03 9.909842e-36 9.999728e-01
2.659804e-03 9.914790e-36 9.999743e-01
2.709354e-03 9.921710e-36 9.999764e-01
2.759826e-03 9.930702e-36 9.999791e-01
2.811239e-03 9.941867e-36 9.999825e-01
2.863610e-03 9.955308e-36 9.999866e-01
2.916956e-03 9.971130e-36 9.999913e-01
2.971296e-03 9.989440e-36 9.999968e-01
3.026648e-03 1.001033e-35 1.000003e+00
