# O18 + p > N15 + a   [O18_p__N15_a]   ref=Iliadis et al. 2010
# detailed balance: alpha=0.16607 beta=0 gamma=-46.1989  Q=3.9811
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.018629e-03   1.004882e-35   1.000035e+00
1.037605e-03   1.009355e-35   1.000068e+00
1.056935e-03   1.013428e-35   1.000097e+00
1.076624e-03   1.017110e-35   1.000123e+00
1.096681e-03   1.020409e-35   1.000147e+00
1.117111e-03   1.023337e-35   1.000168e+00
1.137921e-03   1.025903e-35   1.000186e+00
1.159120e-03   1.028120e-35   1.000201e+00
1.180713e-03   1.029999e-35   1.000215e+00
1.202708e-03   1.031552e-35   1.000226e+00
1.225114e-03   1.032792e-35   1.000234e+00
1.247936e-03   1.033732e-35   1.000241e+00
1.271184e-03   1.034385e-35   1.000246e+00
1.294865e-03   1.034764e-35   1.000248e+00
1.318987e-03   1.034885e-35   1.000249e+00
1.343558e-03   1.034760e-35   1.000248e+00
1.368587e-03   1.034403e-35   1.000246e+00
1.394083e-03   1.033830e-35   1.000242e+00
1.420053e-03   1.033055e-35   1.000236e+00
1.446507e-03   1.032092e-35   1.000229e+00
1.473454e-03   1.030956e-35   1.000221e+00
1.500903e-03   1.029661e-35   1.000212e+00
1.528864e-03   1.028222e-35   1.000202e+00
1.557345e-03   1.026654e-35   1.000191e+00
1.586357e-03   1.024972e-35   1.000179e+00
1.615909e-03   1.023189e-35   1.000166e+00
1.646012e-03   1.021321e-35   1.000153e+00
1.676675e-03   1.019382e-35   1.000139e+00
1.707910e-03   1.017385e-35   1.000125e+00
1.739726e-03   1.015346e-35   1.000111e+00
1.772136e-03   1.013279e-35   1.000096e+00
1.805149e-03   1.011197e-35   1.000081e+00
1.838777e-03   1.009114e-35   1.000066e+00
1.873032e-03   1.007045e-35   1.000051e+00
1.907924e-03   1.005002e-35   1.000036e+00
1.943467e-03   1.002999e-35   1.000022e+00
1.979672e-03   1.001051e-35   1.000008e+00
2.016551e-03   9.991690e-36   9.999940e-01
2.054117e-03   9.973679e-36   9.999809e-01
2.092383e-03   9.956603e-36   9.999684e-01
2.131362e-03   9.940594e-36   9.999567e-01
2.171068e-03   9.925783e-36   9.999459e-01
