# O19 + a > Ne22 + n   [O19_a__Ne22_n]   ref=TALYS2
# detailed balance: alpha=19.05 beta=0 gamma=-66.299  Q=5.7132
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 9.998289e-36 1.000000e+02
1.037605e-03 9.996729e-36 1.000000e+02
1.056935e-03 9.995315e-36 1.000000e+02
1.076624e-03 9.994042e-36 1.000000e+02
1.096681e-03 9.992905e-36 1.000000e+02
1.117111e-03 9.991899e-36 1.000000e+02
1.137921e-03 9.991020e-36 1.000000e+02
1.159120e-03 9.990262e-36 1.000000e+02
1.180713e-03 9.989621e-36 1.000000e+02
1.202708e-03 9.989093e-36 1.000000e+02
1.225114e-03 9.988671e-36 1.000000e+02
1.247936e-03 9.988352e-36 1.000000e+02
1.271184e-03 9.988130e-36 1.000000e+02
1.294865e-03 9.988002e-36 1.000000e+02
1.318987e-03 9.987961e-36 1.000000e+02
1.343558e-03 9.988003e-36 1.000000e+02
1.368587e-03 9.988124e-36 1.000000e+02
1.394083e-03 9.988319e-36 1.000000e+02
1.420053e-03 9.988582e-36 1.000000e+02
1.446507e-03 9.988909e-36 1.000000e+02
1.473454e-03 9.989296e-36 1.000000e+02
1.500903e-03 9.989737e-36 1.000000e+02
1.528864e-03 9.990227e-36 1.000000e+02
1.557345e-03 9.990763e-36 1.000000e+02
1.586357e-03 9.991339e-36 1.000000e+02
1.615909e-03 9.991950e-36 1.000000e+02
1.646012e-03 9.992591e-36 1.000000e+02
1.676675e-03 9.993258e-36 1.000000e+02
1.707910e-03 9.993947e-36 1.000000e+02
1.739726e-03 9.994651e-36 1.000000e+02
1.772136e-03 9.995367e-36 1.000000e+02
1.805149e-03 9.996089e-36 1.000000e+02
1.838777e-03 9.996813e-36 1.000000e+02
1.873032e-03 9.997534e-36 1.000000e+02
1.907924e-03 9.998247e-36 1.000000e+02
1.943467e-03 9.998948e-36 1.000000e+02
1.979672e-03 9.999631e-36 1.000000e+02
2.016551e-03 1.000029e-35 1.000000e+02
2.054117e-03 1.000093e-35 1.000000e+02
2.092383e-03 1.000153e-35 1.000000e+02
2.131362e-03 1.000209e-35 1.000000e+02
2.171068e-03 1.000262e-35 1.000000e+02
2.211512e-03 1.000310e-35 1.000000e+02
2.252711e-03 1.000352e-35 1.000000e+02
2.294676e-03 1.000389e-35 1.000000e+02
2.337424e-03 1.000420e-35 1.000000e+02
2.380968e-03 1.000445e-35 1.000000e+02
2.425323e-03 1.000462e-35 1.000000e+02
2.470504e-03 1.000472e-35 1.000000e+02
2.516527e-03 1.000474e-35 1.000000e+02
2.563407e-03 1.000467e-35 1.000000e+02
