# O19 + n > O20 + g   [O19nTOO20g]   ref=TALYS2
# detailed balance: alpha=1.1108e+11 beta=1.5 gamma=-88.2954  Q=7.6087
# T9                 rate                error
1.000000e-03 6.512500e+04 1.000000e+02
1.018629e-03 6.475880e+04 1.000000e+02
1.037605e-03 6.438955e+04 1.000000e+02
1.056935e-03 6.401742e+04 1.000000e+02
1.076624e-03 6.364258e+04 1.000000e+02
1.096681e-03 6.326520e+04 1.000000e+02
1.117111e-03 6.288544e+04 1.000000e+02
1.137921e-03 6.250346e+04 1.000000e+02
1.159120e-03 6.211943e+04 1.000000e+02
1.180713e-03 6.173350e+04 1.000000e+02
1.202708e-03 6.134583e+04 1.000000e+02
1.225114e-03 6.095657e+04 1.000000e+02
1.247936e-03 6.056587e+04 1.000000e+02
1.271184e-03 6.017389e+04 1.000000e+02
1.294865e-03 5.978076e+04 1.000000e+02
1.318987e-03 5.938663e+04 1.000000e+02
1.343558e-03 5.899165e+04 1.000000e+02
1.368587e-03 5.859594e+04 1.000000e+02
1.394083e-03 5.819966e+04 1.000000e+02
1.420053e-03 5.780292e+04 1.000000e+02
1.446507e-03 5.740586e+04 1.000000e+02
1.473454e-03 5.700862e+04 1.000000e+02
1.500903e-03 5.661131e+04 1.000000e+02
1.528864e-03 5.621406e+04 1.000000e+02
1.557345e-03 5.581699e+04 1.000000e+02
1.586357e-03 5.542021e+04 1.000000e+02
1.615909e-03 5.502385e+04 1.000000e+02
1.646012e-03 5.462801e+04 1.000000e+02
1.676675e-03 5.423281e+04 1.000000e+02
1.707910e-03 5.383835e+04 1.000000e+02
1.739726e-03 5.344474e+04 1.000000e+02
1.772136e-03 5.305207e+04 1.000000e+02
1.805149e-03 5.266045e+04 1.000000e+02
1.838777e-03 5.226998e+04 1.000000e+02
1.873032e-03 5.188075e+04 1.000000e+02
1.907924e-03 5.149285e+04 1.000000e+02
1.943467e-03 5.110637e+04 1.000000e+02
1.979672e-03 5.072140e+04 1.000000e+02
2.016551e-03 5.033802e+04 1.000000e+02
2.054117e-03 4.995631e+04 1.000000e+02
2.092383e-03 4.957636e+04 1.000000e+02
2.131362e-03 4.919824e+04 1.000000e+02
2.171068e-03 4.882202e+04 1.000000e+02
2.211512e-03 4.844778e+04 1.000000e+02
2.252711e-03 4.807559e+04 1.000000e+02
2.294676e-03 4.770551e+04 1.000000e+02
2.337424e-03 4.733761e+04 1.000000e+02
2.380968e-03 4.697195e+04 1.000000e+02
2.425323e-03 4.660860e+04 1.000000e+02
2.470504e-03 4.624761e+04 1.000000e+02
2.516527e-03 4.588904e+04 1.000000e+02
2.563407e-03 4.553294e+04 1.000000e+02
2.611161e-03 4.517937e+04 1.000000e+02
2.659804e-03 4.482838e+04 1.000000e+02
2.709354e-03 4.448002e+04 1.000000e+02
2.759826e-03 4.413432e+04 1.000000e+02
2.811239e-03 4.379135e+04 1.000000e+02
2.863610e-03 4.345113e+04 1.000000e+02
2.916956e-03 4.311371e+04 1.000000e+02
2.971296e-03 4.277914e+04 1.000000e+02
3.026648e-03 4.244748e+04 1.000000e+02
3.083031e-03 4.211985e+04 1.000000e+02
3.140465e-03 4.179842e+04 1.000000e+02
3.198969e-03 4.148533e+04 1.000000e+02
3.258562e-03 4.118267e+04 1.000000e+02
3.319266e-03 4.089247e+04 1.000000e+02
3.381101e-03 4.061669e+04 1.000000e+02
3.444087e-03 4.035727e+04 1.000000e+02
3.508247e-03 4.011610e+04 1.000000e+02
3.573602e-03 3.989502e+04 1.000000e+02
3.640175e-03 3.969589e+04 1.000000e+02
3.707988e-03 3.952052e+04 1.000000e+02
3.777064e-03 3.937076e+04 1.000000e+02
3.847427e-03 3.924844e+04 1.000000e+02
3.919100e-03 3.915544e+04 1.000000e+02
3.992109e-03 3.909368e+04 1.000000e+02
4.066478e-03 3.906406e+04 1.000000e+02
4.142232e-03 3.906170e+04 1.000000e+02
4.219398e-03 3.907975e+04 1.000000e+02
4.298001e-03 3.911139e+04 1.000000e+02
4.378069e-03 3.914980e+04 1.000000e+02
4.459628e-03 3.918815e+04 1.000000e+02
4.542706e-03 3.921955e+04 1.000000e+02
4.627332e-03 3.923714e+04 1.000000e+02
4.713535e-03 3.923402e+04 1.000000e+02
4.801343e-03 3.920333e+04 1.000000e+02
