# O19 + p > N16 + a   [O19pTON16a]   ref=TALYS2
# detailed balance: alpha=0.39228 beta=0 gamma=-29.1883  Q=2.5153
# T9                 rate                error
1.000000e-03 1.000000e-35 1.000000e+02
1.018629e-03 1.011513e-35 1.000000e+02
1.037605e-03 1.020060e-35 1.000000e+02
1.056935e-03 1.025674e-35 1.000000e+02
1.076624e-03 1.028414e-35 1.000000e+02
1.096681e-03 1.028366e-35 1.000000e+02
1.117111e-03 1.025641e-35 1.000000e+02
1.137921e-03 1.020368e-35 1.000000e+02
1.159120e-03 1.012695e-35 1.000000e+02
1.180713e-03 1.002781e-35 1.000000e+02
1.202708e-03 9.908006e-36 1.000000e+02
1.225114e-03 9.769333e-36 1.000000e+02
1.247936e-03 9.613653e-36 1.000000e+02
1.271184e-03 9.442846e-36 1.000000e+02
1.294865e-03 9.258798e-36 1.000000e+02
1.318987e-03 9.063369e-36 1.000000e+02
1.343558e-03 8.858380e-36 1.000000e+02
1.368587e-03 8.645592e-36 1.000000e+02
1.394083e-03 8.426693e-36 1.000000e+02
1.420053e-03 8.203284e-36 1.000000e+02
1.446507e-03 7.976874e-36 1.000000e+02
1.473454e-03 7.748868e-36 1.000000e+02
1.500903e-03 7.520567e-36 1.000000e+02
1.528864e-03 7.293161e-36 1.000000e+02
1.557345e-03 7.067735e-36 1.000000e+02
1.586357e-03 6.845261e-36 1.000000e+02
1.615909e-03 6.626609e-36 1.000000e+02
1.646012e-03 6.412545e-36 1.000000e+02
1.676675e-03 6.203739e-36 1.000000e+02
1.707910e-03 6.000766e-36 1.000000e+02
1.739726e-03 5.804117e-36 1.000000e+02
1.772136e-03 5.614205e-36 1.000000e+02
1.805149e-03 5.431366e-36 1.000000e+02
1.838777e-03 5.255872e-36 1.000000e+02
1.873032e-03 5.087936e-36 1.000000e+02
1.907924e-03 4.927717e-36 1.000000e+02
1.943467e-03 4.775331e-36 1.000000e+02
1.979672e-03 4.630852e-36 1.000000e+02
2.016551e-03 4.494322e-36 1.000000e+02
2.054117e-03 4.365758e-36 1.000000e+02
2.092383e-03 4.245154e-36 1.000000e+02
2.131362e-03 4.132489e-36 1.000000e+02
2.171068e-03 4.027732e-36 1.000000e+02
2.211512e-03 3.930850e-36 1.000000e+02
2.252711e-03 3.841806e-36 1.000000e+02
2.294676e-03 3.760570e-36 1.000000e+02
2.337424e-03 3.687121e-36 1.000000e+02
2.380968e-03 3.621452e-36 1.000000e+02
2.425323e-03 3.563576e-36 1.000000e+02
2.470504e-03 3.513528e-36 1.000000e+02
2.516527e-03 3.471372e-36 1.000000e+02
2.563407e-03 3.437203e-36 1.000000e+02
